,unit_id,topic,text,jobids,majority,agreement,NK,NPR,AM,KN,SH,NR,JE,WA,GPT-1shot,GPT-5shot,GPT-16shot,GPT-35shot
28,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-67-PVV,Environment,"na de verkiezingen wordt alles vloeibaar en kan men niet om PVV heen**PVV-leider** **Wilders** wil dure plannen, zoals het verlagen van de AOW-leeftijd, vooral betalen met de miljarden die nu zijn gereserveerd voor stikstof- en klimaatmaatregelen.Dat geldt ook voor het afschaffen van het eigen risico in de zorg en het verlagen van de btw op boodschappen naar nul procent, zo zei hij in het NOS Radio 1 Journaal.",619,R,1.0,R,,,,R,,,,R,,,
29,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-93-D66,Environment,"De twee verwachten verder dat er na 22 november minder partijen in de Tweede Kamer zullen komen dan er nu in zitten, gezien de peilingen.En opende Timmermans op de juiste wijze de aanval op **Jetten** over het klimaatbeleid?En natuurlijk het RTL Verkiezingsdebat van gisteravond met de lijsttrekkers van VVD, D66, PVV, SP, Partij voor de Dieren en BBB.",600,N,1.0,N,,,,,N,,,N,,,
30,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-93-GL/PvdA,Environment,"De twee verwachten verder dat er na 22 november minder partijen in de Tweede Kamer zullen komen dan er nu in zitten, gezien de peilingen.En opende **Timmermans** op de juiste wijze de aanval op Jetten over het klimaatbeleid?En natuurlijk het RTL Verkiezingsdebat van gisteravond met de lijsttrekkers van VVD, D66, PVV, SP, Partij voor de Dieren en BBB.",619,N,1.0,N,,,,N,,,,N,,,
31,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-94-BBB,Environment,"En opende Timmermans op de juiste wijze de aanval op Jetten over het klimaatbeleid?En natuurlijk het RTL Verkiezingsdebat van gisteravond met de lijsttrekkers van VVD, D66, PVV, SP, Partij voor de Dieren en **BBB**.Ze misten Timmermans en Omtzigt niet.",619,N,1.0,N,,,,N,,,,N,N,,
32,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-94-D66,Environment,"En opende Timmermans op de juiste wijze de aanval op Jetten over het klimaatbeleid?En natuurlijk het RTL Verkiezingsdebat van gisteravond met de lijsttrekkers van VVD, **D66**, PVV, SP, Partij voor de Dieren en BBB.Ze misten Timmermans en Omtzigt niet.",619,N,1.0,N,,,,N,,,,N,N,,
33,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-94-PvdD,Environment,"En opende Timmermans op de juiste wijze de aanval op Jetten over het klimaatbeleid?En natuurlijk het RTL Verkiezingsdebat van gisteravond met de lijsttrekkers van VVD, D66, PVV, SP, Partij voor de **Dieren** en BBB.Ze misten Timmermans en Omtzigt niet.","624,623",N,1.0,N,,,N,,,N,,N,N,,
34,01018e0a4795c152ff96f5f2b443baf30454b1d33076f705427a5945-16-JA21,Environment,"Dan maar een rechtse coalitie?Vooruit maar, met **Ja21**?Geen goed nieuws voor mensen die niet goed kunnen meekomen en al helemaal niet voor onze aarde, die steeds meer leeg geplunderd wordt.",620,R,1.0,,,,R,,,R,,L,L,,
35,01018e0a4795c152ff96f5f2b443baf30454b1d33076f705427a5945-18-Denk,Environment,"Geen goed nieuws voor mensen die niet goed kunnen meekomen en al helemaal niet voor onze aarde, die steeds meer leeg geplunderd wordt.Kom op, Pieter, **denk** nog eens goed na - het is nog geen 22 november.Jeroen Houben Huijbergen",620,N,1.0,,,,N,,,N,,L,L,,
36,010c9b27e637fc68b6610e8e15e8bfd1c06afec2191d5947f2970242-84-CDA,CivilRights,"Hij wist welke ziekmakende impact dit op ons heeft.”Raadslid Scott van den Broek (**CDA**) houdt zich in de oppositie intensief met dit dossier bezig.„Het is mensonterend hoe de gemeente deze mensen behandelt”, waarschuwt hij.",518,N,1.0,,,N,N,,,,,L,,,
37,010c9b27e637fc68b6610e8e15e8bfd1c06afec2191d5947f2970242-84-CDA,Immigration,"Hij wist welke ziekmakende impact dit op ons heeft.”Raadslid Scott van den Broek (**CDA**) houdt zich in de oppositie intensief met dit dossier bezig.„Het is mensonterend hoe de gemeente deze mensen behandelt”, waarschuwt hij.",542,N,1.0,N,,N,,,,,,L,L,L,
38,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-20-SGP,CivilRights,"Dat betekent: geen echtscheiding, abortus of euthanasie, maar wel herinvoering van de doodstraf.De **SGP** is een uitgesproken mannenclub:vrouwen mogen pas lid worden sinds 2006, toen de rechter de partij daartoe dwong.",526,R,1.0,R,R,,,,,,,R,,,
39,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-23-SGP,CivilRights,"Ze staan nog steeds niet op de kandidatenlijst.De overheid moet zo klein mogelijk zijn en zich niet bemoeien met privézaken, vindt de **SGP**.En er moet een einde komen aan het belastingnadeel voor gezinnen waar de vrouw thuisblijft om voor de kinderen te zorgen.",509,R,1.0,,,R,R,,,,,R,R,,
40,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-23-SGP,Economic,"Ze staan nog steeds niet op de kandidatenlijst.De overheid moet zo klein mogelijk zijn en zich niet bemoeien met privézaken, vindt de **SGP**.En er moet een einde komen aan het belastingnadeel voor gezinnen waar de vrouw thuisblijft om voor de kinderen te zorgen.",635,N,1.0,N,N,,N,,,,,,,,
41,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-Overig,CivilRights,"En er moet een einde komen aan het belastingnadeel voor gezinnen waar de vrouw thuisblijft om voor de kinderen te zorgen.In de ruim honderd jaar dat de SGP bestaat, is Chris Stoffer (49) pas de achtste **partijleider**.De vorige, Kees van der Staaij, was het dertien jaar.","509,654,666",N,0.5,R,N,N,R,,,,,R,R,R,R
42,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-Overig,Economic,"En er moet een einde komen aan het belastingnadeel voor gezinnen waar de vrouw thuisblijft om voor de kinderen te zorgen.In de ruim honderd jaar dat de SGP bestaat, is Chris Stoffer (49) pas de achtste **partijleider**.De vorige, Kees van der Staaij, was het dertien jaar.",635,N,0.6666666666666666,L,N,,N,,,,,,,,
43,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-SGP,CivilRights,"En er moet een einde komen aan het belastingnadeel voor gezinnen waar de vrouw thuisblijft om voor de kinderen te zorgen.In de ruim honderd jaar dat de **SGP** bestaat, is Chris **Stoffer** (49) pas de achtste partijleider.De vorige, Kees van der Staaij, was het dertien jaar.","509,654,665",R,0.75,R,R,N,R,,,,,R,R,R,R
44,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-SGP,Economic,"En er moet een einde komen aan het belastingnadeel voor gezinnen waar de vrouw thuisblijft om voor de kinderen te zorgen.In de ruim honderd jaar dat de **SGP** bestaat, is Chris **Stoffer** (49) pas de achtste partijleider.De vorige, Kees van der Staaij, was het dertien jaar.",635,N,0.6666666666666666,L,N,,N,,,,,,,,
45,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-32-SGP,CivilRights,"Hij wil zich inzetten voor het gezin, het leven (geen abortus of euthanasie) en de regio.**Stoffer** is zelf geworteld op de Veluwe, waar zijn opa Aart en oma Daatje al een fietsenwinkel hadden.Hij kan naar eigen zeggen goed relativeren en zoekt altijd de verbinding.",509,R,1.0,,,R,R,,,,,R,R,,
46,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-51-NSC,Environment,"De grootste crisis is de klimaatcrisis, die moeten we aanpakken.""**Omtzigt** voelt zich wel topfit, zei hij:07:01","624,623",L,0.6666666666666666,L,,,L,,,N,,L,L,L,L
47,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-54-GL/PvdA,Immigration,"Samenvatting van de dag van gisterenBij het eerste RTL-debat discussieerden Yesilgöz (VVD), **Timmermans** (**GL-PvdA**) en Omtzigt (NSC) over asielbeleid, en wat zij anders gaan doen dan de kabinetten-Rutte.Bij het NOS op 3-verkiezingsprogramma ging onder meer over zorg als je een handicap hebt en het al dan niet verhogen van het minimumloon.",534,N,1.0,,N,N,,,,,,L,L,L,
48,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-54-NSC,Immigration,"Samenvatting van de dag van gisterenBij het eerste RTL-debat discussieerden Yesilgöz (VVD), Timmermans (GL-PvdA) en **Omtzigt** (**NSC**) over asielbeleid, en wat zij anders gaan doen dan de kabinetten-Rutte.Bij het NOS op 3-verkiezingsprogramma ging onder meer over zorg als je een handicap hebt en het al dan niet verhogen van het minimumloon.",534,N,1.0,,N,N,,,,,,N,N,N,
49,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-54-VVD,Immigration,"Samenvatting van de dag van gisterenBij het eerste RTL-debat discussieerden **Yesilgöz** (**VVD**), Timmermans (GL-PvdA) en Omtzigt (NSC) over asielbeleid, en wat zij anders gaan doen dan de kabinetten-Rutte.Bij het NOS op 3-verkiezingsprogramma ging onder meer over zorg als je een handicap hebt en het al dan niet verhogen van het minimumloon.",534,N,1.0,,N,N,,,,,,N,N,N,
50,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-12-PVV,Immigration,"PVVUit de laatste peiling van Maurice de Hond blijkt dat de **PVV** 5 zetels is gestegen en samen met VVD aan kop staat.De heer Timmermans noemt dit zorgelijk, omdat de PVV volgens hem een miljoen moslims met een Nederlands paspoort uitsluit.",531,N,1.0,N,,,N,,,,,R,R,R,
51,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-12-VVD,Immigration,"PVVUit de laatste peiling van Maurice de Hond blijkt dat de PVV 5 zetels is gestegen en samen met **VVD** aan kop staat.De heer Timmermans noemt dit zorgelijk, omdat de PVV volgens hem een miljoen moslims met een Nederlands paspoort uitsluit.",531,N,1.0,N,,,N,,,,,R,N,N,
52,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-13-GL/PvdA,Immigration,"Uit de laatste peiling van Maurice de Hond blijkt dat de PVV 5 zetels is gestegen en samen met VVD aan kop staat.De heer **Timmermans** noemt dit zorgelijk, omdat de PVV volgens hem een miljoen moslims met een Nederlands paspoort uitsluit.Als dat al zo zou zijn, dan is het bijzonder dat Timmermans dit wel zorgelijk vindt, maar niet het feit dat al jaren ruim een miljoen PVV-kiezers worden uitgesloten.",531,N,1.0,N,,,N,,,,,L,L,L,
53,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-13-PVV,Immigration,"Uit de laatste peiling van Maurice de Hond blijkt dat de PVV 5 zetels is gestegen en samen met VVD aan kop staat.De heer Timmermans noemt dit zorgelijk, omdat de **PVV** volgens hem een miljoen moslims met een Nederlands paspoort uitsluit.Als dat al zo zou zijn, dan is het bijzonder dat Timmermans dit wel zorgelijk vindt, maar niet het feit dat al jaren ruim een miljoen PVV-kiezers worden uitgesloten.",531,N,1.0,N,,,N,,,,,R,R,R,
54,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-14-GL/PvdA,CivilRights,"De heer Timmermans noemt dit zorgelijk, omdat de PVV volgens hem een miljoen moslims met een Nederlands paspoort uitsluit.Als dat al zo zou zijn, dan is het bijzonder dat **Timmermans** dit wel zorgelijk vindt, maar niet het feit dat al jaren ruim een miljoen PVV-kiezers worden uitgesloten.Angelique Bosselaar",506,L,1.0,L,,L,,,,,,L,L,,
55,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-14-GL/PvdA,Immigration,"De heer Timmermans noemt dit zorgelijk, omdat de PVV volgens hem een miljoen moslims met een Nederlands paspoort uitsluit.Als dat al zo zou zijn, dan is het bijzonder dat **Timmermans** dit wel zorgelijk vindt, maar niet het feit dat al jaren ruim een miljoen PVV-kiezers worden uitgesloten.Angelique Bosselaar",531,N,1.0,N,,,N,,,,,L,N,N,
56,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-14-PVV,CivilRights,"De heer Timmermans noemt dit zorgelijk, omdat de PVV volgens hem een miljoen moslims met een Nederlands paspoort uitsluit.Als dat al zo zou zijn, dan is het bijzonder dat Timmermans dit wel zorgelijk vindt, maar niet het feit dat al jaren ruim een miljoen **PVV-kiezers** worden uitgesloten.Angelique Bosselaar",506,N,1.0,N,,N,,,,,,L,L,,
57,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-14-PVV,Immigration,"De heer Timmermans noemt dit zorgelijk, omdat de PVV volgens hem een miljoen moslims met een Nederlands paspoort uitsluit.Als dat al zo zou zijn, dan is het bijzonder dat Timmermans dit wel zorgelijk vindt, maar niet het feit dat al jaren ruim een miljoen **PVV-kiezers** worden uitgesloten.Angelique Bosselaar",531,N,1.0,N,,,N,,,,,N,N,N,
58,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-16-GL/PvdA,Economic,Angelique Bosselaar**Timmermans**Timmermans probeert zich in de debatten voor komende verkiezingen te profileren als de sympathieke weldoener die de armoede in dit land zal halveren.,632,L,1.0,L,L,,,,,,,,,,
59,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-17-GL/PvdA,Economic,"Timmermans**Timmermans** probeert zich in de debatten voor komende verkiezingen te profileren als de sympathieke weldoener die de armoede in dit land zal halveren.Om dit te realiseren komt hij met een plan om niet alleen de bedrijfswinsten af te romen, maar ook om de financieel draagkrachtigen, o.a. miljonairs, eens flink aan te pakken.",632,L,1.0,L,L,,,,,,,,,,
60,0242ca47c4d775fa9a94e08e1223bf2582d86547cff881a12a7f1f4d-16-NSC,Economic,"RTL bleef echter zoeken naar sensatie die er niet was.**Omtzigt** had het lef zelfs een dor onderwerp als pensioen te bespreken, een kwestie waarbij 1500 miljard op het spel staat:een getal met zoveel nullen dat die niet eens meer op een schoolbord past.",633,N,1.0,N,N,,,,,,,,,,
61,02495f7ca1df5eba6c0c60d30602a7a178f60e301e5d5bf22a85f1e2-18-PvdD,CivilRights,"In Doetinchem zijn straatnaambordjes zwart geschilderd, in Horst aan de Maas hingen onbekenden bordjes met daarop 'liegbeest', 'zwendelaar' en 'NSDAP-lid' op in de Prins Bernhardstraat.In Amersfoort gaan stemmen op om het standbeeld van Bernhard bij de Bernhardkazerne te verwijderen, en in Alkmaar riep de Partij voor de **Dieren** het college vergeefs op de naam van de Prins Bernhardstraat te veranderen.Het CDA en de VVD stemden donderdag in Utrecht tegen de motie, CDA'er Hessel Stellinga vroeg zich tijdens het debat af of er dan ook bordjes met historische context komen in de Che Guevarastraat, vernoemd naar de Argentijnse verzetsstrijder die Fidel Castro aan de macht hielp in Cuba.",525,N,1.0,N,N,,,,,,,N,N,,
62,02495f7ca1df5eba6c0c60d30602a7a178f60e301e5d5bf22a85f1e2-19-CDA,CivilRights,"In Amersfoort gaan stemmen op om het standbeeld van Bernhard bij de Bernhardkazerne te verwijderen, en in Alkmaar riep de Partij voor de Dieren het college vergeefs op de naam van de Prins Bernhardstraat te veranderen.Het **CDA** en de VVD stemden donderdag in Utrecht tegen de motie, **CDA'er** Hessel Stellinga vroeg zich tijdens het debat af of er dan ook bordjes met historische context komen in de Che Guevarastraat, vernoemd naar de Argentijnse verzetsstrijder die Fidel Castro aan de macht hielp in Cuba.'Wij staan zeker open voor discussie over andere namen die extra informatie behoeven', aldus Van Vliet.",508,N,1.0,,,N,,,,,,N,N,,
63,02495f7ca1df5eba6c0c60d30602a7a178f60e301e5d5bf22a85f1e2-19-VVD,CivilRights,"In Amersfoort gaan stemmen op om het standbeeld van Bernhard bij de Bernhardkazerne te verwijderen, en in Alkmaar riep de Partij voor de Dieren het college vergeefs op de naam van de Prins Bernhardstraat te veranderen.Het CDA en de **VVD** stemden donderdag in Utrecht tegen de motie, CDA'er Hessel Stellinga vroeg zich tijdens het debat af of er dan ook bordjes met historische context komen in de Che Guevarastraat, vernoemd naar de Argentijnse verzetsstrijder die Fidel Castro aan de macht hielp in Cuba.'Wij staan zeker open voor discussie over andere namen die extra informatie behoeven', aldus Van Vliet.",508,N,1.0,,,N,,,,,,N,N,,
