unit_id,gold,gpt_response,gpt_rank,gpt_token,gpt_logprob
46e86bec24ac356e587e545983233266e8b8308ce67ad4f7b7ba28e5-11-D66,Natuur en Klimaat,Environment,0,Environment,-0.0003836021
46e86bec24ac356e587e545983233266e8b8308ce67ad4f7b7ba28e5-11-D66,Natuur en Klimaat,Environment,1,Budget,-7.8753834
46e86bec24ac356e587e545983233266e8b8308ce67ad4f7b7ba28e5-11-D66,Natuur en Klimaat,Environment,2,**,-13.375383
46e86bec24ac356e587e545983233266e8b8308ce67ad4f7b7ba28e5-11-D66,Natuur en Klimaat,Environment,3,Code,-14.500383
46e86bec24ac356e587e545983233266e8b8308ce67ad4f7b7ba28e5-11-D66,Natuur en Klimaat,Environment,4,Business,-14.750383
46e86bec24ac356e587e545983233266e8b8308ce67ad4f7b7ba28e5-11-D66,Natuur en Klimaat,Environment,5,Environmental,-15.125383
46e86bec24ac356e587e545983233266e8b8308ce67ad4f7b7ba28e5-11-D66,Natuur en Klimaat,Environment,6, Environment,-15.375383
46e86bec24ac356e587e545983233266e8b8308ce67ad4f7b7ba28e5-11-D66,Natuur en Klimaat,Environment,7,Climate,-15.750383
46e86bec24ac356e587e545983233266e8b8308ce67ad4f7b7ba28e5-11-D66,Natuur en Klimaat,Environment,8,Econom,-15.875383
46e86bec24ac356e587e545983233266e8b8308ce67ad4f7b7ba28e5-11-D66,Natuur en Klimaat,Environment,9,Tax,-16.250383
7fcfaf7da187daab944a5d923b0c34aa1166d1d2f7dead95a55268d9-4-VVD,Internat.recht en ontw. samenwerking,Foreign,0,Foreign,-0.00010747691
7fcfaf7da187daab944a5d923b0c34aa1166d1d2f7dead95a55268d9-4-VVD,Internat.recht en ontw. samenwerking,Foreign,1,Defense,-9.625108
7fcfaf7da187daab944a5d923b0c34aa1166d1d2f7dead95a55268d9-4-VVD,Internat.recht en ontw. samenwerking,Foreign,2,**,-10.375108
7fcfaf7da187daab944a5d923b0c34aa1166d1d2f7dead95a55268d9-4-VVD,Internat.recht en ontw. samenwerking,Foreign,3,EU,-12.250108
7fcfaf7da187daab944a5d923b0c34aa1166d1d2f7dead95a55268d9-4-VVD,Internat.recht en ontw. samenwerking,Foreign,4,None,-13.250108
7fcfaf7da187daab944a5d923b0c34aa1166d1d2f7dead95a55268d9-4-VVD,Internat.recht en ontw. samenwerking,Foreign,5,Fore,-14.000108
7fcfaf7da187daab944a5d923b0c34aa1166d1d2f7dead95a55268d9-4-VVD,Internat.recht en ontw. samenwerking,Foreign,6, Foreign,-14.250108
7fcfaf7da187daab944a5d923b0c34aa1166d1d2f7dead95a55268d9-4-VVD,Internat.recht en ontw. samenwerking,Foreign,7,Order,-14.875108
7fcfaf7da187daab944a5d923b0c34aa1166d1d2f7dead95a55268d9-4-VVD,Internat.recht en ontw. samenwerking,Foreign,8,Rights,-15.625108
7fcfaf7da187daab944a5d923b0c34aa1166d1d2f7dead95a55268d9-4-VVD,Internat.recht en ontw. samenwerking,Foreign,9,San,-15.750108
e40507c33929662d0c57b978fa2ea578df93f88180ca17a40ae575a8-2-Overig,Investeren in onderwijs en wetenschap,Education,0,Education,-1.1041146e-05
e40507c33929662d0c57b978fa2ea578df93f88180ca17a40ae575a8-2-Overig,Investeren in onderwijs en wetenschap,Education,1,None,-11.500011
e40507c33929662d0c57b978fa2ea578df93f88180ca17a40ae575a8-2-Overig,Investeren in onderwijs en wetenschap,Education,2,E,-14.875011
e40507c33929662d0c57b978fa2ea578df93f88180ca17a40ae575a8-2-Overig,Investeren in onderwijs en wetenschap,Education,3, Education,-15.000011
e40507c33929662d0c57b978fa2ea578df93f88180ca17a40ae575a8-2-Overig,Investeren in onderwijs en wetenschap,Education,4,**,-16.000011
e40507c33929662d0c57b978fa2ea578df93f88180ca17a40ae575a8-2-Overig,Investeren in onderwijs en wetenschap,Education,5,Budget,-16.750011
e40507c33929662d0c57b978fa2ea578df93f88180ca17a40ae575a8-2-Overig,Investeren in onderwijs en wetenschap,Education,6,Government,-17.500011
e40507c33929662d0c57b978fa2ea578df93f88180ca17a40ae575a8-2-Overig,Investeren in onderwijs en wetenschap,Education,7,Labor,-17.500011
e40507c33929662d0c57b978fa2ea578df93f88180ca17a40ae575a8-2-Overig,Investeren in onderwijs en wetenschap,Education,8,Rights,-18.125011
e40507c33929662d0c57b978fa2ea578df93f88180ca17a40ae575a8-2-Overig,Investeren in onderwijs en wetenschap,Education,9,Health,-18.125011
5e85be697b8002e0972e508fad33f07c403ff859e7391c66f44a7e7e-158-VVD,Werkgelegenheid,Labor,0,Labor,-7.465036e-06
5e85be697b8002e0972e508fad33f07c403ff859e7391c66f44a7e7e-158-VVD,Werkgelegenheid,Labor,1,Lab,-12.375008
5e85be697b8002e0972e508fad33f07c403ff859e7391c66f44a7e7e-158-VVD,Werkgelegenheid,Labor,2,**,-13.375008
5e85be697b8002e0972e508fad33f07c403ff859e7391c66f44a7e7e-158-VVD,Werkgelegenheid,Labor,3, Labor,-13.500008
5e85be697b8002e0972e508fad33f07c403ff859e7391c66f44a7e7e-158-VVD,Werkgelegenheid,Labor,4,Social,-16.500008
5e85be697b8002e0972e508fad33f07c403ff859e7391c66f44a7e7e-158-VVD,Werkgelegenheid,Labor,5,None,-16.875008
5e85be697b8002e0972e508fad33f07c403ff859e7391c66f44a7e7e-158-VVD,Werkgelegenheid,Labor,6,Code,-16.875008
5e85be697b8002e0972e508fad33f07c403ff859e7391c66f44a7e7e-158-VVD,Werkgelegenheid,Labor,7,"
",-17.000008
5e85be697b8002e0972e508fad33f07c403ff859e7391c66f44a7e7e-158-VVD,Werkgelegenheid,Labor,8,Work,-17.250008
5e85be697b8002e0972e508fad33f07c403ff859e7391c66f44a7e7e-158-VVD,Werkgelegenheid,Labor,9,Budget,-17.750008
7631e8623dc532f2dbd31297e0ef2dfcab53ad8be49abf92d7b4e24c-11-D66,Investeren in onderwijs en wetenschap,Education,0,Education,-1.11603495e-05
7631e8623dc532f2dbd31297e0ef2dfcab53ad8be49abf92d7b4e24c-11-D66,Investeren in onderwijs en wetenschap,Education,1,**,-12.125011
7631e8623dc532f2dbd31297e0ef2dfcab53ad8be49abf92d7b4e24c-11-D66,Investeren in onderwijs en wetenschap,Education,2,Integration,-12.375011
7631e8623dc532f2dbd31297e0ef2dfcab53ad8be49abf92d7b4e24c-11-D66,Investeren in onderwijs en wetenschap,Education,3,E,-13.750011
7631e8623dc532f2dbd31297e0ef2dfcab53ad8be49abf92d7b4e24c-11-D66,Investeren in onderwijs en wetenschap,Education,4, Education,-15.750011
7631e8623dc532f2dbd31297e0ef2dfcab53ad8be49abf92d7b4e24c-11-D66,Investeren in onderwijs en wetenschap,Education,5,Code,-16.375011
7631e8623dc532f2dbd31297e0ef2dfcab53ad8be49abf92d7b4e24c-11-D66,Investeren in onderwijs en wetenschap,Education,6,###,-18.125011
7631e8623dc532f2dbd31297e0ef2dfcab53ad8be49abf92d7b4e24c-11-D66,Investeren in onderwijs en wetenschap,Education,7,The,-18.750011
7631e8623dc532f2dbd31297e0ef2dfcab53ad8be49abf92d7b4e24c-11-D66,Investeren in onderwijs en wetenschap,Education,8,"
",-19.000011
7631e8623dc532f2dbd31297e0ef2dfcab53ad8be49abf92d7b4e24c-11-D66,Investeren in onderwijs en wetenschap,Education,9,_E,-19.000011
26dc46e8512e64fdcd8eff841c308258667715865b5a8c28aa282a9d-12-Volt,Investeren in onderwijs en wetenschap,Education,0,Education,-6.0345924e-06
26dc46e8512e64fdcd8eff841c308258667715865b5a8c28aa282a9d-12-Volt,Investeren in onderwijs en wetenschap,Education,1,**,-12.500006
26dc46e8512e64fdcd8eff841c308258667715865b5a8c28aa282a9d-12-Volt,Investeren in onderwijs en wetenschap,Education,2, Education,-14.375006
26dc46e8512e64fdcd8eff841c308258667715865b5a8c28aa282a9d-12-Volt,Investeren in onderwijs en wetenschap,Education,3,Code,-14.375006
26dc46e8512e64fdcd8eff841c308258667715865b5a8c28aa282a9d-12-Volt,Investeren in onderwijs en wetenschap,Education,4,The,-15.250006
26dc46e8512e64fdcd8eff841c308258667715865b5a8c28aa282a9d-12-Volt,Investeren in onderwijs en wetenschap,Education,5,E,-15.375006
26dc46e8512e64fdcd8eff841c308258667715865b5a8c28aa282a9d-12-Volt,Investeren in onderwijs en wetenschap,Education,6,Issue,-15.625006
26dc46e8512e64fdcd8eff841c308258667715865b5a8c28aa282a9d-12-Volt,Investeren in onderwijs en wetenschap,Education,7,Integration,-16.125006
26dc46e8512e64fdcd8eff841c308258667715865b5a8c28aa282a9d-12-Volt,Investeren in onderwijs en wetenschap,Education,8,Answer,-16.375006
26dc46e8512e64fdcd8eff841c308258667715865b5a8c28aa282a9d-12-Volt,Investeren in onderwijs en wetenschap,Education,9,"
",-16.500006
3d371e7f47ad8d8f841dcd4d95224674fb1a60dfea2f9b53d696b245-12-VVD,Internat.recht en ontw. samenwerking,Foreign,0,Foreign,-3.6669935e-05
3d371e7f47ad8d8f841dcd4d95224674fb1a60dfea2f9b53d696b245-12-VVD,Internat.recht en ontw. samenwerking,Foreign,1,Defense,-10.625036
3d371e7f47ad8d8f841dcd4d95224674fb1a60dfea2f9b53d696b245-12-VVD,Internat.recht en ontw. samenwerking,Foreign,2,**,-12.125036
3d371e7f47ad8d8f841dcd4d95224674fb1a60dfea2f9b53d696b245-12-VVD,Internat.recht en ontw. samenwerking,Foreign,3,Code,-12.625036
3d371e7f47ad8d8f841dcd4d95224674fb1a60dfea2f9b53d696b245-12-VVD,Internat.recht en ontw. samenwerking,Foreign,4,Rights,-13.250036
3d371e7f47ad8d8f841dcd4d95224674fb1a60dfea2f9b53d696b245-12-VVD,Internat.recht en ontw. samenwerking,Foreign,5,Fore,-14.625036
3d371e7f47ad8d8f841dcd4d95224674fb1a60dfea2f9b53d696b245-12-VVD,Internat.recht en ontw. samenwerking,Foreign,6,None,-14.875036
3d371e7f47ad8d8f841dcd4d95224674fb1a60dfea2f9b53d696b245-12-VVD,Internat.recht en ontw. samenwerking,Foreign,7, Foreign,-14.875036
3d371e7f47ad8d8f841dcd4d95224674fb1a60dfea2f9b53d696b245-12-VVD,Internat.recht en ontw. samenwerking,Foreign,8,The,-15.750036
3d371e7f47ad8d8f841dcd4d95224674fb1a60dfea2f9b53d696b245-12-VVD,Internat.recht en ontw. samenwerking,Foreign,9,Order,-15.750036
9f411efe73b5782aeefabc5eb776c59312aeefd897f5a43826d07a3e-2-NSC,Geen onderwerp,None,0,None,-6.15835e-05
9f411efe73b5782aeefabc5eb776c59312aeefd897f5a43826d07a3e-2-NSC,Geen onderwerp,None,1,Government,-9.750062
9f411efe73b5782aeefabc5eb776c59312aeefd897f5a43826d07a3e-2-NSC,Geen onderwerp,None,2, None,-12.875062
9f411efe73b5782aeefabc5eb776c59312aeefd897f5a43826d07a3e-2-NSC,Geen onderwerp,None,3,Answer,-15.625062
9f411efe73b5782aeefabc5eb776c59312aeefd897f5a43826d07a3e-2-NSC,Geen onderwerp,None,4,_None,-15.625062
9f411efe73b5782aeefabc5eb776c59312aeefd897f5a43826d07a3e-2-NSC,Geen onderwerp,None,5,**,-16.500061
9f411efe73b5782aeefabc5eb776c59312aeefd897f5a43826d07a3e-2-NSC,Geen onderwerp,None,6,"
",-16.750061
9f411efe73b5782aeefabc5eb776c59312aeefd897f5a43826d07a3e-2-NSC,Geen onderwerp,None,7,(None,-16.875061
9f411efe73b5782aeefabc5eb776c59312aeefd897f5a43826d07a3e-2-NSC,Geen onderwerp,None,8,Code,-16.875061
9f411efe73b5782aeefabc5eb776c59312aeefd897f5a43826d07a3e-2-NSC,Geen onderwerp,None,9,Order,-17.500061
09aa20fff578fb82606e5d33e65952eeca3b31b6b85c3f6a99f08cad-92-Overig,Sociale zekerheid,Social,0,Social,-3.035214e-05
09aa20fff578fb82606e5d33e65952eeca3b31b6b85c3f6a99f08cad-92-Overig,Sociale zekerheid,Social,1,Labor,-10.5000305
09aa20fff578fb82606e5d33e65952eeca3b31b6b85c3f6a99f08cad-92-Overig,Sociale zekerheid,Social,2,**,-13.3750305
09aa20fff578fb82606e5d33e65952eeca3b31b6b85c3f6a99f08cad-92-Overig,Sociale zekerheid,Social,3,Code,-15.3750305
09aa20fff578fb82606e5d33e65952eeca3b31b6b85c3f6a99f08cad-92-Overig,Sociale zekerheid,Social,4,The,-15.5000305
09aa20fff578fb82606e5d33e65952eeca3b31b6b85c3f6a99f08cad-92-Overig,Sociale zekerheid,Social,5,"
",-15.6250305
09aa20fff578fb82606e5d33e65952eeca3b31b6b85c3f6a99f08cad-92-Overig,Sociale zekerheid,Social,6,None,-15.6250305
09aa20fff578fb82606e5d33e65952eeca3b31b6b85c3f6a99f08cad-92-Overig,Sociale zekerheid,Social,7, Social,-16.25003
09aa20fff578fb82606e5d33e65952eeca3b31b6b85c3f6a99f08cad-92-Overig,Sociale zekerheid,Social,8,Soc,-16.25003
09aa20fff578fb82606e5d33e65952eeca3b31b6b85c3f6a99f08cad-92-Overig,Sociale zekerheid,Social,9,Issue,-17.12503
35f9ca58f4f62edfe2414f3d4b1ce57990abcaacf9585018df2f0ced-3-GL/PvdA,Woningbouw,Housing,0,Housing,-1.4617256e-05
35f9ca58f4f62edfe2414f3d4b1ce57990abcaacf9585018df2f0ced-3-GL/PvdA,Woningbouw,Housing,1,**,-11.250014
35f9ca58f4f62edfe2414f3d4b1ce57990abcaacf9585018df2f0ced-3-GL/PvdA,Woningbouw,Housing,2, Housing,-14.000014
35f9ca58f4f62edfe2414f3d4b1ce57990abcaacf9585018df2f0ced-3-GL/PvdA,Woningbouw,Housing,3,The,-14.750014
35f9ca58f4f62edfe2414f3d4b1ce57990abcaacf9585018df2f0ced-3-GL/PvdA,Woningbouw,Housing,4,Answer,-16.500015
35f9ca58f4f62edfe2414f3d4b1ce57990abcaacf9585018df2f0ced-3-GL/PvdA,Woningbouw,Housing,5,"
",-16.875015
35f9ca58f4f62edfe2414f3d4b1ce57990abcaacf9585018df2f0ced-3-GL/PvdA,Woningbouw,Housing,6,Code,-17.375015
35f9ca58f4f62edfe2414f3d4b1ce57990abcaacf9585018df2f0ced-3-GL/PvdA,Woningbouw,Housing,7,Issue,-17.375015
35f9ca58f4f62edfe2414f3d4b1ce57990abcaacf9585018df2f0ced-3-GL/PvdA,Woningbouw,Housing,8,House,-17.750015
35f9ca58f4f62edfe2414f3d4b1ce57990abcaacf9585018df2f0ced-3-GL/PvdA,Woningbouw,Housing,9,###,-17.875015
af119e273fec28e0b9bc8f9a64ae0ac64c71e9214eafd5e027af547d-3-Overig,Ander onderwerp,None,0,None,-0.18526362
af119e273fec28e0b9bc8f9a64ae0ac64c71e9214eafd5e027af547d-3-Overig,Ander onderwerp,None,1,Government,-2.0602636
af119e273fec28e0b9bc8f9a64ae0ac64c71e9214eafd5e027af547d-3-Overig,Ander onderwerp,None,2,Housing,-3.4352636
af119e273fec28e0b9bc8f9a64ae0ac64c71e9214eafd5e027af547d-3-Overig,Ander onderwerp,None,3,Environment,-4.9352636
af119e273fec28e0b9bc8f9a64ae0ac64c71e9214eafd5e027af547d-3-Overig,Ander onderwerp,None,4,Infrastructure,-6.3102636
af119e273fec28e0b9bc8f9a64ae0ac64c71e9214eafd5e027af547d-3-Overig,Ander onderwerp,None,5,Future,-8.185264
af119e273fec28e0b9bc8f9a64ae0ac64c71e9214eafd5e027af547d-3-Overig,Ander onderwerp,None,6,Planning,-9.560264
af119e273fec28e0b9bc8f9a64ae0ac64c71e9214eafd5e027af547d-3-Overig,Ander onderwerp,None,7,Order,-9.935264
af119e273fec28e0b9bc8f9a64ae0ac64c71e9214eafd5e027af547d-3-Overig,Ander onderwerp,None,8,Defense,-10.810264
af119e273fec28e0b9bc8f9a64ae0ac64c71e9214eafd5e027af547d-3-Overig,Ander onderwerp,None,9, None,-11.685264
45fd1cf60c758be5584b5dc4a05b5acf28c5d472cb33e7023579f867-2-D66,Internat.recht en ontw. samenwerking,Defense,0,Defense,-3.650519e-06
45fd1cf60c758be5584b5dc4a05b5acf28c5d472cb33e7023579f867-2-D66,Internat.recht en ontw. samenwerking,Defense,1,**,-12.875004
45fd1cf60c758be5584b5dc4a05b5acf28c5d472cb33e7023579f867-2-D66,Internat.recht en ontw. samenwerking,Defense,2,Code,-14.875004
45fd1cf60c758be5584b5dc4a05b5acf28c5d472cb33e7023579f867-2-D66,Internat.recht en ontw. samenwerking,Defense,3, Defense,-15.125004
45fd1cf60c758be5584b5dc4a05b5acf28c5d472cb33e7023579f867-2-D66,Internat.recht en ontw. samenwerking,Defense,4,Def,-15.250004
45fd1cf60c758be5584b5dc4a05b5acf28c5d472cb33e7023579f867-2-D66,Internat.recht en ontw. samenwerking,Defense,5,"
",-15.875004
45fd1cf60c758be5584b5dc4a05b5acf28c5d472cb33e7023579f867-2-D66,Internat.recht en ontw. samenwerking,Defense,6,The,-17.625004
45fd1cf60c758be5584b5dc4a05b5acf28c5d472cb33e7023579f867-2-D66,Internat.recht en ontw. samenwerking,Defense,7,None,-18.000004
45fd1cf60c758be5584b5dc4a05b5acf28c5d472cb33e7023579f867-2-D66,Internat.recht en ontw. samenwerking,Defense,8,```,-18.375004
45fd1cf60c758be5584b5dc4a05b5acf28c5d472cb33e7023579f867-2-D66,Internat.recht en ontw. samenwerking,Defense,9,Answer,-18.875004
1db7f68c49b88559529fd3f7d21ab9b3b31a1a040f873c3ab6efedce-1-SP,Geen onderwerp,None,0,None,-0.38725778
1db7f68c49b88559529fd3f7d21ab9b3b31a1a040f873c3ab6efedce-1-SP,Geen onderwerp,None,1,Government,-1.1372578
1db7f68c49b88559529fd3f7d21ab9b3b31a1a040f873c3ab6efedce-1-SP,Geen onderwerp,None,2,Integration,-8.012258
1db7f68c49b88559529fd3f7d21ab9b3b31a1a040f873c3ab6efedce-1-SP,Geen onderwerp,None,3, None,-11.887258
1db7f68c49b88559529fd3f7d21ab9b3b31a1a040f873c3ab6efedce-1-SP,Geen onderwerp,None,4,Labor,-11.887258
1db7f68c49b88559529fd3f7d21ab9b3b31a1a040f873c3ab6efedce-1-SP,Geen onderwerp,None,5,Govern,-12.012258
1db7f68c49b88559529fd3f7d21ab9b3b31a1a040f873c3ab6efedce-1-SP,Geen onderwerp,None,6,Housing,-12.012258
1db7f68c49b88559529fd3f7d21ab9b3b31a1a040f873c3ab6efedce-1-SP,Geen onderwerp,None,7,The,-12.137258
1db7f68c49b88559529fd3f7d21ab9b3b31a1a040f873c3ab6efedce-1-SP,Geen onderwerp,None,8,Issue,-12.512258
1db7f68c49b88559529fd3f7d21ab9b3b31a1a040f873c3ab6efedce-1-SP,Geen onderwerp,None,9,**,-13.137258
0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-35-NSC,Beter Bestuur,Government,0,Government,-3.888926e-06
0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-35-NSC,Beter Bestuur,Government,1,**,-13.000004
0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-35-NSC,Beter Bestuur,Government,2,Code,-14.250004
0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-35-NSC,Beter Bestuur,Government,3, Government,-14.625004
0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-35-NSC,Beter Bestuur,Government,4,Govern,-15.875004
0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-35-NSC,Beter Bestuur,Government,5,"
",-16.750004
0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-35-NSC,Beter Bestuur,Government,6,None,-17.125004
0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-35-NSC,Beter Bestuur,Government,7,```,-17.125004
0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-35-NSC,Beter Bestuur,Government,8,O,-17.250004
0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-35-NSC,Beter Bestuur,Government,9,G,-17.500004
2ee78c944041db7cc217cb9e827501b9b88d19a9b446e1bc1593d2a9-1-GL/PvdA,Woningbouw,Housing,0,Housing,-5.9153886e-06
2ee78c944041db7cc217cb9e827501b9b88d19a9b446e1bc1593d2a9-1-GL/PvdA,Woningbouw,Housing,1,**,-12.125006
2ee78c944041db7cc217cb9e827501b9b88d19a9b446e1bc1593d2a9-1-GL/PvdA,Woningbouw,Housing,2, Housing,-15.125006
2ee78c944041db7cc217cb9e827501b9b88d19a9b446e1bc1593d2a9-1-GL/PvdA,Woningbouw,Housing,3,The,-15.875006
2ee78c944041db7cc217cb9e827501b9b88d19a9b446e1bc1593d2a9-1-GL/PvdA,Woningbouw,Housing,4,House,-17.250006
2ee78c944041db7cc217cb9e827501b9b88d19a9b446e1bc1593d2a9-1-GL/PvdA,Woningbouw,Housing,5,​,-18.125006
2ee78c944041db7cc217cb9e827501b9b88d19a9b446e1bc1593d2a9-1-GL/PvdA,Woningbouw,Housing,6,```,-18.125006
2ee78c944041db7cc217cb9e827501b9b88d19a9b446e1bc1593d2a9-1-GL/PvdA,Woningbouw,Housing,7,*,-18.250006
2ee78c944041db7cc217cb9e827501b9b88d19a9b446e1bc1593d2a9-1-GL/PvdA,Woningbouw,Housing,8,﻿,-18.500006
2ee78c944041db7cc217cb9e827501b9b88d19a9b446e1bc1593d2a9-1-GL/PvdA,Woningbouw,Housing,9,###,-19.000006
6781d07d04ce775cff0cd20c5b855f7db3448496068c82a6c7875d1c-9-GL/PvdA,Sociale zekerheid,Social,0,Social,-0.00035072025
6781d07d04ce775cff0cd20c5b855f7db3448496068c82a6c7875d1c-9-GL/PvdA,Sociale zekerheid,Social,1,Labor,-8.625351
6781d07d04ce775cff0cd20c5b855f7db3448496068c82a6c7875d1c-9-GL/PvdA,Sociale zekerheid,Social,2,Education,-8.875351
6781d07d04ce775cff0cd20c5b855f7db3448496068c82a6c7875d1c-9-GL/PvdA,Sociale zekerheid,Social,3,Integration,-11.125351
6781d07d04ce775cff0cd20c5b855f7db3448496068c82a6c7875d1c-9-GL/PvdA,Sociale zekerheid,Social,4,**,-12.000351
6781d07d04ce775cff0cd20c5b855f7db3448496068c82a6c7875d1c-9-GL/PvdA,Sociale zekerheid,Social,5,Code,-12.375351
6781d07d04ce775cff0cd20c5b855f7db3448496068c82a6c7875d1c-9-GL/PvdA,Sociale zekerheid,Social,6,Child,-13.250351
6781d07d04ce775cff0cd20c5b855f7db3448496068c82a6c7875d1c-9-GL/PvdA,Sociale zekerheid,Social,7,Answer,-13.750351
6781d07d04ce775cff0cd20c5b855f7db3448496068c82a6c7875d1c-9-GL/PvdA,Sociale zekerheid,Social,8,Issue,-14.000351
6781d07d04ce775cff0cd20c5b855f7db3448496068c82a6c7875d1c-9-GL/PvdA,Sociale zekerheid,Social,9,The,-14.250351
07abe94ea0600b42884090af15bdd1021d7675b093b0d5a244472fef-4-Overig,Energie,Agriculture,0,Agr,-0.03843951
07abe94ea0600b42884090af15bdd1021d7675b093b0d5a244472fef-4-Overig,Energie,Agriculture,1,Environment,-3.2884395
07abe94ea0600b42884090af15bdd1021d7675b093b0d5a244472fef-4-Overig,Energie,Agriculture,2,Energy,-8.28844
07abe94ea0600b42884090af15bdd1021d7675b093b0d5a244472fef-4-Overig,Energie,Agriculture,3,The,-10.16344
07abe94ea0600b42884090af15bdd1021d7675b093b0d5a244472fef-4-Overig,Energie,Agriculture,4,Defense,-10.41344
07abe94ea0600b42884090af15bdd1021d7675b093b0d5a244472fef-4-Overig,Energie,Agriculture,5,None,-10.53844
07abe94ea0600b42884090af15bdd1021d7675b093b0d5a244472fef-4-Overig,Energie,Agriculture,6,Housing,-11.16344
07abe94ea0600b42884090af15bdd1021d7675b093b0d5a244472fef-4-Overig,Energie,Agriculture,7,Infrastructure,-11.28844
07abe94ea0600b42884090af15bdd1021d7675b093b0d5a244472fef-4-Overig,Energie,Agriculture,8,**,-11.78844
07abe94ea0600b42884090af15bdd1021d7675b093b0d5a244472fef-4-Overig,Energie,Agriculture,9,Ag,-12.16344
1a7ee12715faeff2832822df887a0382a9c64ecf46e99ccaa3895515-74-Overig,Energie,Environment,0,Environment,-2.546479e-05
1a7ee12715faeff2832822df887a0382a9c64ecf46e99ccaa3895515-74-Overig,Energie,Environment,1,Energy,-11.875026
1a7ee12715faeff2832822df887a0382a9c64ecf46e99ccaa3895515-74-Overig,Energie,Environment,2,**,-12.000026
1a7ee12715faeff2832822df887a0382a9c64ecf46e99ccaa3895515-74-Overig,Energie,Environment,3,Defense,-12.125026
1a7ee12715faeff2832822df887a0382a9c64ecf46e99ccaa3895515-74-Overig,Energie,Environment,4,The,-13.125026
1a7ee12715faeff2832822df887a0382a9c64ecf46e99ccaa3895515-74-Overig,Energie,Environment,5,Code,-13.125026
1a7ee12715faeff2832822df887a0382a9c64ecf46e99ccaa3895515-74-Overig,Energie,Environment,6, Environment,-13.875026
