variable,jobid,unit_id,topic,text,majority,agreement,NK,NPR,AM,KN,SH,NR,JE,WA
stance,548,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-142-PVV,Immigration,"Wilders' politieke carrière begon in de VVD, waarvoor hij in 1998 Tweede Kamerlid werd.**Wilders** was toen al bezorgd over moslimextremisme en dat nam een vlucht na de aanslagen in de VS op 11 september 2001.Na ruzie over Turkse EU-toetreding brak Wilders in 2004 met de VVD.",N,1,N,NA,N,NA,NA,NA,NA,NA
stance,546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-143-PVV,Immigration,Wilders was toen al bezorgd over moslimextremisme en dat nam een vlucht na de aanslagen in de VS op 11 september 2001.Na ruzie over Turkse EU-toetreding brak **Wilders** in 2004 met de VVD.Twee jaar later deed hij met zijn PVV mee aan de verkiezingen.,N,1,N,NA,N,NA,NA,NA,NA,NA
stance,546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-143-VVD,Immigration,Wilders was toen al bezorgd over moslimextremisme en dat nam een vlucht na de aanslagen in de VS op 11 september 2001.Na ruzie over Turkse EU-toetreding brak Wilders in 2004 met de **VVD**.Twee jaar later deed hij met zijn PVV mee aan de verkiezingen.,N,1,N,NA,N,NA,NA,NA,NA,NA
stance,546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-146-Denk,Immigration,"De PVV kent geen leden, op Wilders na.Hij wordt gezien als een sterk debater en muntte een aantal staande uitdrukkingen, **denk** aan 'Henk en Ingrid'.Vanwege een andere bekende uitspraak ""Willen jullie (...) meer of minder Marokkanen"" werd hij in 2020 veroordeeld voor groepsbelediging maar vrijgesproken van het aanzetten tot haat en discriminatie.",N,1,N,NA,N,NA,NA,NA,NA,NA
stance,550,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-151-PVV,Immigration,"Sindsdien is de PVV al jaren de grootste oppositiepartij.**Wilders** zet zich af tegen ""linkse gekkigheid"", en kiest in het verkiezingsprogramma voor ""sociaal rechts beleid:hard op immigratie en law and order, maar sociaal op koopkracht en zorg"".",R,1,R,NA,R,NA,NA,NA,NA,NA
stance,546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-48-CDA,Immigration,"Verschillende politieke partijen willen de komst van buitenlandse studenten ontmoedigen of inperken.Dat zijn onder andere VVD en **CDA**, die voor universiteiten een studentenstop willen invoeren als de aantallen te hoog worden.De NSC wil dat het Nederlands weer de leidende taal wordt in het hoger en universitair onderwijs.",R,1,R,NA,R,NA,NA,NA,NA,NA
stance,546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-48-VVD,Immigration,"Verschillende politieke partijen willen de komst van buitenlandse studenten ontmoedigen of inperken.Dat zijn onder andere **VVD** en CDA, die voor universiteiten een studentenstop willen invoeren als de aantallen te hoog worden.De NSC wil dat het Nederlands weer de leidende taal wordt in het hoger en universitair onderwijs.",R,1,R,NA,R,NA,NA,NA,NA,NA
stance,522,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-5-Denk,CivilRights,De Jonge tegen gemeenten:**denk** om stemmers met beperkingDemissionair minister Hugo de Jonge (Binnenlandse Zaken) roept de gemeenten op om ervoor te zorgen dat de stemlokalen op 22 november zo veel mogelijk toegankelijk zijn voor mensen met een beperking.,N,1,N,NA,NA,NA,N,NA,NA,NA
stance,522,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-6-Overig,CivilRights,"denk om stemmers met beperkingDemissionair **minister** Hugo de Jonge (Binnenlandse Zaken) roept de gemeenten op om ervoor te zorgen dat de stemlokalen op 22 november zo veel mogelijk toegankelijk zijn voor mensen met een beperking.Afgelopen maart, bij de verkiezingen voor de provincies en de waterschappen, bleek er met 80 procent van alle stemlokalen iets mis.",L,0.5,L,NA,NA,NA,N,NA,NA,NA
stance,619,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-66-PVV,Environment,"Wilders:na de verkiezingen wordt alles vloeibaar en kan men niet om **PVV** heenPVV-leider Wilders wil dure plannen, zoals het verlagen van de AOW-leeftijd, vooral betalen met de miljarden die nu zijn gereserveerd voor stikstof- en klimaatmaatregelen.",R,1,R,NA,NA,NA,R,NA,NA,NA
stance,619,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-67-PVV,Environment,"na de verkiezingen wordt alles vloeibaar en kan men niet om PVV heen**PVV-leider** **Wilders** wil dure plannen, zoals het verlagen van de AOW-leeftijd, vooral betalen met de miljarden die nu zijn gereserveerd voor stikstof- en klimaatmaatregelen.Dat geldt ook voor het afschaffen van het eigen risico in de zorg en het verlagen van de btw op boodschappen naar nul procent, zo zei hij in het NOS Radio 1 Journaal.",R,1,R,NA,NA,NA,R,NA,NA,NA
stance,600,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-93-D66,Environment,"De twee verwachten verder dat er na 22 november minder partijen in de Tweede Kamer zullen komen dan er nu in zitten, gezien de peilingen.En opende Timmermans op de juiste wijze de aanval op **Jetten** over het klimaatbeleid?En natuurlijk het RTL Verkiezingsdebat van gisteravond met de lijsttrekkers van VVD, D66, PVV, SP, Partij voor de Dieren en BBB.",N,1,N,NA,NA,NA,NA,N,NA,NA
stance,619,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-93-GL/PvdA,Environment,"De twee verwachten verder dat er na 22 november minder partijen in de Tweede Kamer zullen komen dan er nu in zitten, gezien de peilingen.En opende **Timmermans** op de juiste wijze de aanval op Jetten over het klimaatbeleid?En natuurlijk het RTL Verkiezingsdebat van gisteravond met de lijsttrekkers van VVD, D66, PVV, SP, Partij voor de Dieren en BBB.",N,1,N,NA,NA,NA,N,NA,NA,NA
stance,619,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-94-BBB,Environment,"En opende Timmermans op de juiste wijze de aanval op Jetten over het klimaatbeleid?En natuurlijk het RTL Verkiezingsdebat van gisteravond met de lijsttrekkers van VVD, D66, PVV, SP, Partij voor de Dieren en **BBB**.Ze misten Timmermans en Omtzigt niet.",N,1,N,NA,NA,NA,N,NA,NA,NA
stance,619,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-94-D66,Environment,"En opende Timmermans op de juiste wijze de aanval op Jetten over het klimaatbeleid?En natuurlijk het RTL Verkiezingsdebat van gisteravond met de lijsttrekkers van VVD, **D66**, PVV, SP, Partij voor de Dieren en BBB.Ze misten Timmermans en Omtzigt niet.",N,1,N,NA,NA,NA,N,NA,NA,NA
stance,623,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-94-PvdD,Environment,"En opende Timmermans op de juiste wijze de aanval op Jetten over het klimaatbeleid?En natuurlijk het RTL Verkiezingsdebat van gisteravond met de lijsttrekkers van VVD, D66, PVV, SP, Partij voor de **Dieren** en BBB.Ze misten Timmermans en Omtzigt niet.",N,1,NA,NA,NA,N,NA,NA,NA,NA
stance,624,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-94-PvdD,Environment,"En opende Timmermans op de juiste wijze de aanval op Jetten over het klimaatbeleid?En natuurlijk het RTL Verkiezingsdebat van gisteravond met de lijsttrekkers van VVD, D66, PVV, SP, Partij voor de **Dieren** en BBB.Ze misten Timmermans en Omtzigt niet.",N,1,N,NA,NA,NA,NA,NA,N,NA
stance,620,01018e0a4795c152ff96f5f2b443baf30454b1d33076f705427a5945-16-JA21,Environment,"Dan maar een rechtse coalitie?Vooruit maar, met **Ja21**?Geen goed nieuws voor mensen die niet goed kunnen meekomen en al helemaal niet voor onze aarde, die steeds meer leeg geplunderd wordt.",R,1,NA,NA,NA,R,NA,NA,R,NA
stance,620,01018e0a4795c152ff96f5f2b443baf30454b1d33076f705427a5945-18-Denk,Environment,"Geen goed nieuws voor mensen die niet goed kunnen meekomen en al helemaal niet voor onze aarde, die steeds meer leeg geplunderd wordt.Kom op, Pieter, **denk** nog eens goed na - het is nog geen 22 november.Jeroen Houben Huijbergen",N,1,NA,NA,NA,N,NA,NA,N,NA
stance,518,010c9b27e637fc68b6610e8e15e8bfd1c06afec2191d5947f2970242-84-CDA,CivilRights,"Hij wist welke ziekmakende impact dit op ons heeft.”Raadslid Scott van den Broek (**CDA**) houdt zich in de oppositie intensief met dit dossier bezig.„Het is mensonterend hoe de gemeente deze mensen behandelt”, waarschuwt hij.",N,1,NA,NA,N,N,NA,NA,NA,NA
stance,542,010c9b27e637fc68b6610e8e15e8bfd1c06afec2191d5947f2970242-84-CDA,Immigration,"Hij wist welke ziekmakende impact dit op ons heeft.”Raadslid Scott van den Broek (**CDA**) houdt zich in de oppositie intensief met dit dossier bezig.„Het is mensonterend hoe de gemeente deze mensen behandelt”, waarschuwt hij.",N,1,N,NA,N,NA,NA,NA,NA,NA
stance,526,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-20-SGP,CivilRights,"Dat betekent: geen echtscheiding, abortus of euthanasie, maar wel herinvoering van de doodstraf.De **SGP** is een uitgesproken mannenclub:vrouwen mogen pas lid worden sinds 2006, toen de rechter de partij daartoe dwong.",R,1,R,R,NA,NA,NA,NA,NA,NA
stance,509,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-23-SGP,CivilRights,"Ze staan nog steeds niet op de kandidatenlijst.De overheid moet zo klein mogelijk zijn en zich niet bemoeien met privézaken, vindt de **SGP**.En er moet een einde komen aan het belastingnadeel voor gezinnen waar de vrouw thuisblijft om voor de kinderen te zorgen.",R,1,NA,NA,R,R,NA,NA,NA,NA
stance,635,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-23-SGP,Economic,"Ze staan nog steeds niet op de kandidatenlijst.De overheid moet zo klein mogelijk zijn en zich niet bemoeien met privézaken, vindt de **SGP**.En er moet een einde komen aan het belastingnadeel voor gezinnen waar de vrouw thuisblijft om voor de kinderen te zorgen.",N,1,N,N,NA,NA,NA,NA,NA,NA
stance,509,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-Overig,CivilRights,"En er moet een einde komen aan het belastingnadeel voor gezinnen waar de vrouw thuisblijft om voor de kinderen te zorgen.In de ruim honderd jaar dat de SGP bestaat, is Chris Stoffer (49) pas de achtste **partijleider**.De vorige, Kees van der Staaij, was het dertien jaar.",N,0.5,NA,NA,N,R,NA,NA,NA,NA
stance,635,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-Overig,Economic,"En er moet een einde komen aan het belastingnadeel voor gezinnen waar de vrouw thuisblijft om voor de kinderen te zorgen.In de ruim honderd jaar dat de SGP bestaat, is Chris Stoffer (49) pas de achtste **partijleider**.De vorige, Kees van der Staaij, was het dertien jaar.",L,0.5,L,N,NA,NA,NA,NA,NA,NA
stance,509,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-SGP,CivilRights,"En er moet een einde komen aan het belastingnadeel voor gezinnen waar de vrouw thuisblijft om voor de kinderen te zorgen.In de ruim honderd jaar dat de **SGP** bestaat, is Chris **Stoffer** (49) pas de achtste partijleider.De vorige, Kees van der Staaij, was het dertien jaar.",N,0.5,NA,NA,N,R,NA,NA,NA,NA
stance,635,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-SGP,Economic,"En er moet een einde komen aan het belastingnadeel voor gezinnen waar de vrouw thuisblijft om voor de kinderen te zorgen.In de ruim honderd jaar dat de **SGP** bestaat, is Chris **Stoffer** (49) pas de achtste partijleider.De vorige, Kees van der Staaij, was het dertien jaar.",L,0.5,L,N,NA,NA,NA,NA,NA,NA
stance,509,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-32-SGP,CivilRights,"Hij wil zich inzetten voor het gezin, het leven (geen abortus of euthanasie) en de regio.**Stoffer** is zelf geworteld op de Veluwe, waar zijn opa Aart en oma Daatje al een fietsenwinkel hadden.Hij kan naar eigen zeggen goed relativeren en zoekt altijd de verbinding.",R,1,NA,NA,R,R,NA,NA,NA,NA
stance,623,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-51-NSC,Environment,"De grootste crisis is de klimaatcrisis, die moeten we aanpakken.""**Omtzigt** voelt zich wel topfit, zei hij:07:01",L,1,NA,NA,NA,L,NA,NA,NA,NA
stance,624,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-51-NSC,Environment,"De grootste crisis is de klimaatcrisis, die moeten we aanpakken.""**Omtzigt** voelt zich wel topfit, zei hij:07:01",L,0.5,L,NA,NA,NA,NA,NA,N,NA
stance,534,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-54-GL/PvdA,Immigration,"Samenvatting van de dag van gisterenBij het eerste RTL-debat discussieerden Yesilgöz (VVD), **Timmermans** (**GL-PvdA**) en Omtzigt (NSC) over asielbeleid, en wat zij anders gaan doen dan de kabinetten-Rutte.Bij het NOS op 3-verkiezingsprogramma ging onder meer over zorg als je een handicap hebt en het al dan niet verhogen van het minimumloon.",N,1,NA,N,N,NA,NA,NA,NA,NA
stance,534,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-54-NSC,Immigration,"Samenvatting van de dag van gisterenBij het eerste RTL-debat discussieerden Yesilgöz (VVD), Timmermans (GL-PvdA) en **Omtzigt** (**NSC**) over asielbeleid, en wat zij anders gaan doen dan de kabinetten-Rutte.Bij het NOS op 3-verkiezingsprogramma ging onder meer over zorg als je een handicap hebt en het al dan niet verhogen van het minimumloon.",N,1,NA,N,N,NA,NA,NA,NA,NA
stance,534,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-54-VVD,Immigration,"Samenvatting van de dag van gisterenBij het eerste RTL-debat discussieerden **Yesilgöz** (**VVD**), Timmermans (GL-PvdA) en Omtzigt (NSC) over asielbeleid, en wat zij anders gaan doen dan de kabinetten-Rutte.Bij het NOS op 3-verkiezingsprogramma ging onder meer over zorg als je een handicap hebt en het al dan niet verhogen van het minimumloon.",N,1,NA,N,N,NA,NA,NA,NA,NA
stance,531,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-12-PVV,Immigration,"PVVUit de laatste peiling van Maurice de Hond blijkt dat de **PVV** 5 zetels is gestegen en samen met VVD aan kop staat.De heer Timmermans noemt dit zorgelijk, omdat de PVV volgens hem een miljoen moslims met een Nederlands paspoort uitsluit.",N,1,N,NA,NA,N,NA,NA,NA,NA
stance,531,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-12-VVD,Immigration,"PVVUit de laatste peiling van Maurice de Hond blijkt dat de PVV 5 zetels is gestegen en samen met **VVD** aan kop staat.De heer Timmermans noemt dit zorgelijk, omdat de PVV volgens hem een miljoen moslims met een Nederlands paspoort uitsluit.",N,1,N,NA,NA,N,NA,NA,NA,NA
stance,531,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-13-GL/PvdA,Immigration,"Uit de laatste peiling van Maurice de Hond blijkt dat de PVV 5 zetels is gestegen en samen met VVD aan kop staat.De heer **Timmermans** noemt dit zorgelijk, omdat de PVV volgens hem een miljoen moslims met een Nederlands paspoort uitsluit.Als dat al zo zou zijn, dan is het bijzonder dat Timmermans dit wel zorgelijk vindt, maar niet het feit dat al jaren ruim een miljoen PVV-kiezers worden uitgesloten.",N,1,N,NA,NA,N,NA,NA,NA,NA
stance,531,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-13-PVV,Immigration,"Uit de laatste peiling van Maurice de Hond blijkt dat de PVV 5 zetels is gestegen en samen met VVD aan kop staat.De heer Timmermans noemt dit zorgelijk, omdat de **PVV** volgens hem een miljoen moslims met een Nederlands paspoort uitsluit.Als dat al zo zou zijn, dan is het bijzonder dat Timmermans dit wel zorgelijk vindt, maar niet het feit dat al jaren ruim een miljoen PVV-kiezers worden uitgesloten.",N,1,N,NA,NA,N,NA,NA,NA,NA
stance,506,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-14-GL/PvdA,CivilRights,"De heer Timmermans noemt dit zorgelijk, omdat de PVV volgens hem een miljoen moslims met een Nederlands paspoort uitsluit.Als dat al zo zou zijn, dan is het bijzonder dat **Timmermans** dit wel zorgelijk vindt, maar niet het feit dat al jaren ruim een miljoen PVV-kiezers worden uitgesloten.Angelique Bosselaar",L,1,L,NA,L,NA,NA,NA,NA,NA
stance,531,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-14-GL/PvdA,Immigration,"De heer Timmermans noemt dit zorgelijk, omdat de PVV volgens hem een miljoen moslims met een Nederlands paspoort uitsluit.Als dat al zo zou zijn, dan is het bijzonder dat **Timmermans** dit wel zorgelijk vindt, maar niet het feit dat al jaren ruim een miljoen PVV-kiezers worden uitgesloten.Angelique Bosselaar",N,1,N,NA,NA,N,NA,NA,NA,NA
stance,506,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-14-PVV,CivilRights,"De heer Timmermans noemt dit zorgelijk, omdat de PVV volgens hem een miljoen moslims met een Nederlands paspoort uitsluit.Als dat al zo zou zijn, dan is het bijzonder dat Timmermans dit wel zorgelijk vindt, maar niet het feit dat al jaren ruim een miljoen **PVV-kiezers** worden uitgesloten.Angelique Bosselaar",N,1,N,NA,N,NA,NA,NA,NA,NA
stance,531,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-14-PVV,Immigration,"De heer Timmermans noemt dit zorgelijk, omdat de PVV volgens hem een miljoen moslims met een Nederlands paspoort uitsluit.Als dat al zo zou zijn, dan is het bijzonder dat Timmermans dit wel zorgelijk vindt, maar niet het feit dat al jaren ruim een miljoen **PVV-kiezers** worden uitgesloten.Angelique Bosselaar",N,1,N,NA,NA,N,NA,NA,NA,NA
stance,632,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-16-GL/PvdA,Economic,Angelique Bosselaar**Timmermans**Timmermans probeert zich in de debatten voor komende verkiezingen te profileren als de sympathieke weldoener die de armoede in dit land zal halveren.,L,1,L,L,NA,NA,NA,NA,NA,NA
stance,632,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-17-GL/PvdA,Economic,"Timmermans**Timmermans** probeert zich in de debatten voor komende verkiezingen te profileren als de sympathieke weldoener die de armoede in dit land zal halveren.Om dit te realiseren komt hij met een plan om niet alleen de bedrijfswinsten af te romen, maar ook om de financieel draagkrachtigen, o.a. miljonairs, eens flink aan te pakken.",L,1,L,L,NA,NA,NA,NA,NA,NA
stance,633,0242ca47c4d775fa9a94e08e1223bf2582d86547cff881a12a7f1f4d-16-NSC,Economic,"RTL bleef echter zoeken naar sensatie die er niet was.**Omtzigt** had het lef zelfs een dor onderwerp als pensioen te bespreken, een kwestie waarbij 1500 miljard op het spel staat:een getal met zoveel nullen dat die niet eens meer op een schoolbord past.",N,1,N,N,NA,NA,NA,NA,NA,NA
stance,525,02495f7ca1df5eba6c0c60d30602a7a178f60e301e5d5bf22a85f1e2-18-PvdD,CivilRights,"In Doetinchem zijn straatnaambordjes zwart geschilderd, in Horst aan de Maas hingen onbekenden bordjes met daarop 'liegbeest', 'zwendelaar' en 'NSDAP-lid' op in de Prins Bernhardstraat.In Amersfoort gaan stemmen op om het standbeeld van Bernhard bij de Bernhardkazerne te verwijderen, en in Alkmaar riep de Partij voor de **Dieren** het college vergeefs op de naam van de Prins Bernhardstraat te veranderen.Het CDA en de VVD stemden donderdag in Utrecht tegen de motie, CDA'er Hessel Stellinga vroeg zich tijdens het debat af of er dan ook bordjes met historische context komen in de Che Guevarastraat, vernoemd naar de Argentijnse verzetsstrijder die Fidel Castro aan de macht hielp in Cuba.",N,1,N,N,NA,NA,NA,NA,NA,NA
stance,508,02495f7ca1df5eba6c0c60d30602a7a178f60e301e5d5bf22a85f1e2-19-CDA,CivilRights,"In Amersfoort gaan stemmen op om het standbeeld van Bernhard bij de Bernhardkazerne te verwijderen, en in Alkmaar riep de Partij voor de Dieren het college vergeefs op de naam van de Prins Bernhardstraat te veranderen.Het **CDA** en de VVD stemden donderdag in Utrecht tegen de motie, **CDA'er** Hessel Stellinga vroeg zich tijdens het debat af of er dan ook bordjes met historische context komen in de Che Guevarastraat, vernoemd naar de Argentijnse verzetsstrijder die Fidel Castro aan de macht hielp in Cuba.'Wij staan zeker open voor discussie over andere namen die extra informatie behoeven', aldus Van Vliet.",N,1,NA,NA,N,NA,NA,NA,NA,NA
stance,508,02495f7ca1df5eba6c0c60d30602a7a178f60e301e5d5bf22a85f1e2-19-VVD,CivilRights,"In Amersfoort gaan stemmen op om het standbeeld van Bernhard bij de Bernhardkazerne te verwijderen, en in Alkmaar riep de Partij voor de Dieren het college vergeefs op de naam van de Prins Bernhardstraat te veranderen.Het CDA en de **VVD** stemden donderdag in Utrecht tegen de motie, CDA'er Hessel Stellinga vroeg zich tijdens het debat af of er dan ook bordjes met historische context komen in de Che Guevarastraat, vernoemd naar de Argentijnse verzetsstrijder die Fidel Castro aan de macht hielp in Cuba.'Wij staan zeker open voor discussie over andere namen die extra informatie behoeven', aldus Van Vliet.",N,1,NA,NA,N,NA,NA,NA,NA,NA
