jobid,unit_id,coder,variable,value,topic,stance
546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-48-CDA,NK,stance,Beperken immigratie,Immigration,R
546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-48-VVD,AM,stance,Beperken immigratie,Immigration,R
546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-48-VVD,NK,stance,Beperken immigratie,Immigration,R
757,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-49-NSC,NK,stance,Geen/Ander/Neutraal,Education,N
757,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-49-NSC,SH,stance,Geen/Ander/Neutraal,Education,N
522,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-5-Denk,NK,stance,Geen/Ander/Neutraal,CivilRights,N
522,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-5-Denk,SH,stance,Geen/Ander/Neutraal,CivilRights,N
753,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-50-GL/PvdA,KN,stance,Geen/Ander/Neutraal,Education,N
753,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-50-GL/PvdA,NK,stance,Geen/Ander/Neutraal,Education,N
753,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-50-Overig,KN,stance,Geen/Ander/Neutraal,Education,N
753,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-50-Overig,NK,stance,Geen/Ander/Neutraal,Education,N
753,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-50-PVV,KN,stance,Geen/Ander/Neutraal,Education,N
753,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-50-PVV,NK,stance,Geen/Ander/Neutraal,Education,N
660,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-6-Overig,AM,stance,"Burgerrechten, vrijheid en minderheidsrechten",CivilRights,L
522,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-6-Overig,NK,stance,"Burgerrechten, vrijheid en minderheidsrechten",CivilRights,L
826,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-6-Overig,NPR,stance,Geen/Ander/Neutraal,CivilRights,N
522,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-6-Overig,SH,stance,Geen/Ander/Neutraal,CivilRights,N
711,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-66-PVV,NK,stance,Traditionele Landbouw & landelijke gemeenschappen,Agriculture,R
645,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-66-PVV,NK,stance,Sociale zekerheid en armoedebestrijding,Economic,L
619,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-66-PVV,NK,stance,Fossiele industrie,Environment,R
711,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-66-PVV,NPR,stance,Traditionele Landbouw & landelijke gemeenschappen,Agriculture,R
645,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-66-PVV,SH,stance,Sociale zekerheid en armoedebestrijding,Economic,L
619,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-66-PVV,SH,stance,Fossiele industrie,Environment,R
619,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-67-PVV,NK,stance,Fossiele industrie,Environment,R
619,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-67-PVV,SH,stance,Fossiele industrie,Environment,R
753,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-71-PVV,KN,stance,Bezuinigen; Christelijk onderwijs,Education,R
893,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-71-PVV,NK,stance,Protectionisme,EU,R
753,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-71-PVV,NK,stance,Bezuinigen; Christelijk onderwijs,Education,R
893,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-71-PVV,NPR,stance,Protectionisme,EU,R
893,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-73-PVV,NK,stance,Geen/Ander/Neutraal,EU,N
893,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-73-PVV,NPR,stance,Geen/Ander/Neutraal,EU,N
863,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-77-PVV,NK,stance,Geen/Ander/Neutraal,Defense,N
863,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-77-PVV,NPR,stance,"Sterke krijgsmacht, nationaal belang in buitenlands beleid",Defense,R
863,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-82-PVV,NK,stance,Geen/Ander/Neutraal,Defense,N
863,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-82-PVV,NPR,stance,Geen/Ander/Neutraal,Defense,N
600,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-93-D66,NK,stance,Geen/Ander/Neutraal,Environment,N
600,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-93-D66,NR,stance,Geen/Ander/Neutraal,Environment,N
619,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-93-GL/PvdA,NK,stance,Geen/Ander/Neutraal,Environment,N
619,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-93-GL/PvdA,SH,stance,Geen/Ander/Neutraal,Environment,N
619,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-94-BBB,NK,stance,Geen/Ander/Neutraal,Environment,N
619,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-94-BBB,SH,stance,Geen/Ander/Neutraal,Environment,N
619,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-94-D66,NK,stance,Geen/Ander/Neutraal,Environment,N
619,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-94-D66,SH,stance,Geen/Ander/Neutraal,Environment,N
624,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-94-PvdD,JE,stance,Geen/Ander/Neutraal,Environment,N
623,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-94-PvdD,KN,stance,Geen/Ander/Neutraal,Environment,N
624,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-94-PvdD,NK,stance,Geen/Ander/Neutraal,Environment,N
620,01018e0a4795c152ff96f5f2b443baf30454b1d33076f705427a5945-16-JA21,JE,stance,Fossiele industrie,Environment,R
620,01018e0a4795c152ff96f5f2b443baf30454b1d33076f705427a5945-16-JA21,KN,stance,Fossiele industrie,Environment,R
620,01018e0a4795c152ff96f5f2b443baf30454b1d33076f705427a5945-18-Denk,JE,stance,Geen/Ander/Neutraal,Environment,N
620,01018e0a4795c152ff96f5f2b443baf30454b1d33076f705427a5945-18-Denk,KN,stance,Geen/Ander/Neutraal,Environment,N
518,010c9b27e637fc68b6610e8e15e8bfd1c06afec2191d5947f2970242-84-CDA,AM,stance,Geen/Ander/Neutraal,CivilRights,N
542,010c9b27e637fc68b6610e8e15e8bfd1c06afec2191d5947f2970242-84-CDA,AM,stance,Geen/Ander/Neutraal,Immigration,N
518,010c9b27e637fc68b6610e8e15e8bfd1c06afec2191d5947f2970242-84-CDA,KN,stance,Geen/Ander/Neutraal,CivilRights,N
932,010c9b27e637fc68b6610e8e15e8bfd1c06afec2191d5947f2970242-84-CDA,NK,stance,Geen/Ander/Neutraal,Government,N
542,010c9b27e637fc68b6610e8e15e8bfd1c06afec2191d5947f2970242-84-CDA,NK,stance,Geen/Ander/Neutraal,Immigration,N
526,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-20-SGP,NK,stance,Traditionele waarden,CivilRights,R
526,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-20-SGP,NPR,stance,Traditionele waarden,CivilRights,R
509,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-23-SGP,AM,stance,Traditionele waarden,CivilRights,R
509,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-23-SGP,KN,stance,Traditionele waarden,CivilRights,R
635,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-23-SGP,KN,stance,Geen/Ander/Neutraal,Economic,N
635,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-23-SGP,NK,stance,Geen/Ander/Neutraal,Economic,N
635,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-23-SGP,NPR,stance,Geen/Ander/Neutraal,Economic,N
509,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-Overig,AM,stance,Geen/Ander/Neutraal,CivilRights,N
509,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-Overig,KN,stance,Traditionele waarden,CivilRights,R
635,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-Overig,KN,stance,Geen/Ander/Neutraal,Economic,N
654,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-Overig,NK,stance,Traditionele waarden,CivilRights,R
635,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-Overig,NK,stance,Sociale zekerheid en armoedebestrijding,Economic,L
666,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-Overig,NPR,stance,Geen/Ander/Neutraal,CivilRights,N
635,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-Overig,NPR,stance,Geen/Ander/Neutraal,Economic,N
509,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-SGP,AM,stance,Geen/Ander/Neutraal,CivilRights,N
509,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-SGP,KN,stance,Traditionele waarden,CivilRights,R
635,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-SGP,KN,stance,Geen/Ander/Neutraal,Economic,N
654,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-SGP,NK,stance,Traditionele waarden,CivilRights,R
635,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-SGP,NK,stance,Sociale zekerheid en armoedebestrijding,Economic,L
665,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-SGP,NPR,stance,Traditionele waarden,CivilRights,R
635,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-SGP,NPR,stance,Geen/Ander/Neutraal,Economic,N
509,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-32-SGP,AM,stance,Traditionele waarden,CivilRights,R
509,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-32-SGP,KN,stance,Traditionele waarden,CivilRights,R
624,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-51-NSC,JE,stance,Geen/Ander/Neutraal,Environment,N
623,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-51-NSC,KN,stance,"Milieu, groen, (nationale) parken, klimaat, duurzame energie",Environment,L
624,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-51-NSC,NK,stance,"Milieu, groen, (nationale) parken, klimaat, duurzame energie",Environment,L
534,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-54-GL/PvdA,AM,stance,Geen/Ander/Neutraal,Immigration,N
534,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-54-GL/PvdA,NPR,stance,Geen/Ander/Neutraal,Immigration,N
534,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-54-NSC,AM,stance,Geen/Ander/Neutraal,Immigration,N
534,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-54-NSC,NPR,stance,Geen/Ander/Neutraal,Immigration,N
534,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-54-VVD,AM,stance,Geen/Ander/Neutraal,Immigration,N
534,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-54-VVD,NPR,stance,Geen/Ander/Neutraal,Immigration,N
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-35-NSC,AM,stance,Beter bestuur en bestuurlijke vernieuwing,Government,L
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-35-NSC,KN,stance,Beter bestuur en bestuurlijke vernieuwing,Government,L
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-35-NSC,NPR,stance,Beter bestuur en bestuurlijke vernieuwing,Government,L
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-40-NSC,AM,stance,Beter bestuur en bestuurlijke vernieuwing,Government,L
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-40-NSC,KN,stance,Beter bestuur en bestuurlijke vernieuwing,Government,L
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-40-NSC,NPR,stance,Beter bestuur en bestuurlijke vernieuwing,Government,L
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-41-GL/PvdA,AM,stance,Beter bestuur en bestuurlijke vernieuwing,Government,L
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-41-GL/PvdA,KN,stance,Geen/Ander/Neutraal,Government,N
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-41-GL/PvdA,NPR,stance,Beter bestuur en bestuurlijke vernieuwing,Government,L
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-42-BBB,AM,stance,Beter bestuur en bestuurlijke vernieuwing,Government,L
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-42-BBB,KN,stance,Geen/Ander/Neutraal,Government,N
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-42-BBB,NPR,stance,Beter bestuur en bestuurlijke vernieuwing,Government,L
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-42-PvdD,AM,stance,Beter bestuur en bestuurlijke vernieuwing,Government,L
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-42-PvdD,KN,stance,Geen/Ander/Neutraal,Government,N
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-42-PvdD,NPR,stance,Beter bestuur en bestuurlijke vernieuwing,Government,L
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-43-D66,AM,stance,Beter bestuur en bestuurlijke vernieuwing,Government,L
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-43-D66,KN,stance,Beter bestuur en bestuurlijke vernieuwing,Government,L
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-43-D66,NPR,stance,Geen/Ander/Neutraal,Government,N
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-43-VVD,AM,stance,Beter bestuur en bestuurlijke vernieuwing,Government,L
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-43-VVD,KN,stance,Beter bestuur en bestuurlijke vernieuwing,Government,L
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-43-VVD,NPR,stance,Geen/Ander/Neutraal,Government,N
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-44-CU,AM,stance,Beter bestuur en bestuurlijke vernieuwing,Government,L
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-44-CU,KN,stance,Geen/Ander/Neutraal,Government,N
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-44-CU,NPR,stance,Beter bestuur en bestuurlijke vernieuwing,Government,L
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-45-CDA,AM,stance,Geen/Ander/Neutraal,Government,N
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-45-CDA,KN,stance,Geen/Ander/Neutraal,Government,N
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-45-CDA,NPR,stance,Beter bestuur en bestuurlijke vernieuwing,Government,L
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-46-FvD,AM,stance,Behoud huidige stelsel,Government,R
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-46-FvD,KN,stance,Behoud huidige stelsel,Government,R
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-46-FvD,NPR,stance,Geen/Ander/Neutraal,Government,N
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-46-PVV,AM,stance,Behoud huidige stelsel,Government,R
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-46-PVV,KN,stance,Behoud huidige stelsel,Government,R
926,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-46-PVV,NPR,stance,Geen/Ander/Neutraal,Government,N
531,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-12-PVV,KN,stance,Geen/Ander/Neutraal,Immigration,N
531,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-12-PVV,NK,stance,Geen/Ander/Neutraal,Immigration,N
531,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-12-VVD,KN,stance,Geen/Ander/Neutraal,Immigration,N
531,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-12-VVD,NK,stance,Geen/Ander/Neutraal,Immigration,N
531,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-13-GL/PvdA,KN,stance,Geen/Ander/Neutraal,Immigration,N
531,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-13-GL/PvdA,NK,stance,Geen/Ander/Neutraal,Immigration,N
531,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-13-PVV,KN,stance,Geen/Ander/Neutraal,Immigration,N
531,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-13-PVV,NK,stance,Geen/Ander/Neutraal,Immigration,N
506,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-14-GL/PvdA,AM,stance,"Burgerrechten, vrijheid en minderheidsrechten",CivilRights,L
531,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-14-GL/PvdA,KN,stance,Geen/Ander/Neutraal,Immigration,N
506,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-14-GL/PvdA,NK,stance,"Burgerrechten, vrijheid en minderheidsrechten",CivilRights,L
531,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-14-GL/PvdA,NK,stance,Geen/Ander/Neutraal,Immigration,N
506,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-14-PVV,AM,stance,Geen/Ander/Neutraal,CivilRights,N
531,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-14-PVV,KN,stance,Geen/Ander/Neutraal,Immigration,N
506,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-14-PVV,NK,stance,Geen/Ander/Neutraal,CivilRights,N
531,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-14-PVV,NK,stance,Geen/Ander/Neutraal,Immigration,N
632,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-16-GL/PvdA,NK,stance,Sociale zekerheid en armoedebestrijding,Economic,L
632,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-16-GL/PvdA,NPR,stance,Sociale zekerheid en armoedebestrijding,Economic,L
632,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-17-GL/PvdA,NK,stance,Sociale zekerheid en armoedebestrijding,Economic,L
632,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-17-GL/PvdA,NPR,stance,Sociale zekerheid en armoedebestrijding,Economic,L
740,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-57-D66,NK,stance,"Investeren in Onderwijs, Cultuur en Wetenschap",Education,L
740,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-57-D66,NPR,stance,"Investeren in Onderwijs, Cultuur en Wetenschap",Education,L
756,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-57-GL/PvdA,NK,stance,"Investeren in Onderwijs, Cultuur en Wetenschap",Education,L
756,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-57-GL/PvdA,SH,stance,"Investeren in Onderwijs, Cultuur en Wetenschap",Education,L
