variable,jobid,unit_id,topic,text,majority,agreement,AM,NK,KN,SH,NR,NPR,JE,WA
stance,523,060e870778582b719fdd8fefc0533a989378417ae833331ccc46f2d9-1-SGP,CivilRights,NA,N,0.5,NA,R,NA,N,NA,NA,NA,NA
stance,517,07d34b08f9202728be73c36a42b03c1b48713047bb57cf6a32f752e9-54-NSC,CivilRights,"""Je kunt toch echt alleen een regering vormen met partijen die zich houden aan de klassieke grondrechten.""Wilders reageerde gisteravond bij Vandaag Inside weer op de woorden van **Omtzigt**.Volgens hem wil de achterban van Omtzigt wel degelijk samenwerken met de PVV.",L,0.5,N,NA,L,NA,NA,NA,NA,NA
stance,506,0813995197c126fcd0db54fa7bd6d69e00bca278268870e0bd84828f-31-VVD,CivilRights,"En we respecteren ieders mening, maar laten we wel respectvol met iedereen om blijven gaan.”Simon Ceulemans van Leefbaar Rotterdam en de **VVD** hebben vragen gesteld aan burgemeester Aboutaleb.„Deze demonstratie is dus niet alleen verbaal uit de hand gelopen, maar ook fysiek.",L,0.5,N,L,NA,NA,NA,NA,NA,NA
stance,526,08757769ca44000de2a2f5ab38f9bd81d6f3fc0b4523abd09fb024cb-40-Denk,CivilRights,"Blijf met je handen van politici af, hoe oneens je het ook met iemand bent"".Stephan van **Baarle** van **DENK** noemt de aanval ""walgelijk"".Hij voegt eraan toe:",L,0.5,NA,L,NA,NA,NA,N,NA,NA
stance,525,0a70fa027af71ad9e855f5df871f6829ddbcfcbf7739adc513364bfa-8-D66,CivilRights,"Onder het positieve advies van de Gezondheidsraad vallen ook zogeheten embryo-achtige structuren, die voortkomen uit gemanipuleerde stamcellen.En als het aan **D66** en VVD ligt mogen ook embryo's worden gecreëerd speciaal voor onderzoek - op dit moment moeten wetenschappers zich beperken tot restembryo's van ivf-behandelingen.Tegen de doelen die wetenschappers daarmee hebben kun je op het eerste gezicht moeilijk bezwaar hebben: hogere succeskansen bij ivf - die blijven nu steken bij 30 procent - en het voorkomen van ernstige aangeboren of erfelijke aandoeningen.",L,0.5,NA,L,NA,NA,NA,N,NA,NA
stance,518,0aa855c54d72acecb8abcc076a7f0192f13cddee1193b259ac388b91-10-CU,CivilRights,"door Ingrid GrootROTTERDAM Een keiharde hardcore rave in de Rotterdamse Laurenskerk voor tweeduizend uitzinnige gabbers, met pikante danseressen verkleed als duiveltjes is compleet verkeerd gevallen bij Rotterdamse christenen en de **ChristenUnie** (**CU**).CU stuurde woensdag een brief op poten aan het college over het opzwepende concert van het Rotterdam Terror Corps (RTC) in de beroemde kerk.",N,0.5,R,NA,N,NA,NA,NA,NA,NA
stance,518,0aa855c54d72acecb8abcc076a7f0192f13cddee1193b259ac388b91-11-CU,CivilRights,"ROTTERDAM Een keiharde hardcore rave in de Rotterdamse Laurenskerk voor tweeduizend uitzinnige gabbers, met pikante danseressen verkleed als duiveltjes is compleet verkeerd gevallen bij Rotterdamse christenen en de ChristenUnie (CU).**CU** stuurde woensdag een brief op poten aan het college over het opzwepende concert van het Rotterdam Terror Corps (RTC) in de beroemde kerk.De fractie is ontdaan en stelt zelfs de gemeentelijke subsidie ter discussie.",N,0.5,R,NA,N,NA,NA,NA,NA,NA
stance,518,0aa855c54d72acecb8abcc076a7f0192f13cddee1193b259ac388b91-26-CU,CivilRights,"Afgelopen zaterdag gaf het Rotterdam Terror Corps een concert.Daarbij paradeerden onder andere mensen in een duivelspak door de kerk en danste een nep-Christus vanaf het balkon”, aldus Tjallink Vonk van de **CU**.„Wat ons betreft is dit een dieptrieste en respectloze omgang met christelijke symbolen, gebruiken en gevoelens.”",N,0.5,R,NA,N,NA,NA,NA,NA,NA
stance,518,0aa855c54d72acecb8abcc076a7f0192f13cddee1193b259ac388b91-6-CU,CivilRights,Rave met ’duivelse’ danseressen in Rotterdam**ChristenUnie**:’Kwetsend en,N,0.5,R,NA,N,NA,NA,NA,NA,NA
stance,518,0ac2086e4b12fc3eefd4c588e17de3690d70aae7b2df6cf2f02ae747-29-NSC,CivilRights,"Van Mierlo appelleerde aan het toekomstperspectief van ‘opwaarts mobiele’ burgers.**Omtzigt** is juist de stem van burgers die ‘verweesd’ (dixit Fortuyn) weer terug willen naar „een gemeenschap met rechten, plichten en verantwoordelijkheden”.Omtzigt refereert zo aan beelden uit het verleden, die vooral oudere spijtoptanten herkennen.",N,0.5,N,NA,R,NA,NA,NA,NA,NA
stance,518,0ac2086e4b12fc3eefd4c588e17de3690d70aae7b2df6cf2f02ae747-30-NSC,CivilRights,"Omtzigt is juist de stem van burgers die ‘verweesd’ (dixit Fortuyn) weer terug willen naar „een gemeenschap met rechten, plichten en verantwoordelijkheden”.**Omtzigt** refereert zo aan beelden uit het verleden, die vooral oudere spijtoptanten herkennen.Omtzigt lijkt niet voor niets bijna drie keer meer bejaarde dan jongere kiezers te trekken.",N,0.5,N,NA,R,NA,NA,NA,NA,NA
stance,512,0c5ff28ee97f20d732110b71d7e46fbb3d22994b8a6df61162d079a6-1-Volt,CivilRights,NA,L,0.5,NA,NA,N,L,NA,NA,NA,NA
stance,517,0cae28e6cd815e0d5aee712b819ebe4faf26c7c72cfa36dbe8297751-33-BBB,CivilRights,"De hele gemeenschap heeft er last van.""Het ""noaberschap"", waar Van der **Plas** vaak voor pleit, staat volgens Verhage onder druk in haar gemeenschap.""Mensen willen niet meer bij elkaar op kraamvisite komen.""",N,0.5,R,NA,N,NA,NA,NA,NA,NA
stance,510,0e71048d1bdfaa8271a82ebe817c3010eb3bc86d52d54d66e37f454e-38-SGP,CivilRights,"gisteren, 21:25**Stoffer** (**SGP**) over lhbti'ers in zijn eigen familieSGP-lijsttrekker Stoffer wordt in het NOS op 3-verkiezingsprogramma geconfronteerd met de vraag hoe hij ervoor wil zorgen dat lhbti'ers zich gezien blijven voelen, ondanks de standpunten van zijn partij hierover.",N,0.5,NA,NA,R,N,NA,NA,NA,NA
stance,510,0e71048d1bdfaa8271a82ebe817c3010eb3bc86d52d54d66e37f454e-39-Overig,CivilRights,"Stoffer (SGP) over lhbti'ers in zijn eigen familie**SGP-lijsttrekker** Stoffer wordt in het NOS op 3-verkiezingsprogramma geconfronteerd met de vraag hoe hij ervoor wil zorgen dat lhbti'ers zich gezien blijven voelen, ondanks de standpunten van zijn partij hierover.gisteren, 21:00",N,0.5,NA,NA,R,N,NA,NA,NA,NA
stance,510,0e71048d1bdfaa8271a82ebe817c3010eb3bc86d52d54d66e37f454e-39-SGP,CivilRights,"Stoffer (SGP) over lhbti'ers in zijn eigen familie**SGP-lijsttrekker** **Stoffer** wordt in het NOS op 3-verkiezingsprogramma geconfronteerd met de vraag hoe hij ervoor wil zorgen dat lhbti'ers zich gezien blijven voelen, ondanks de standpunten van zijn partij hierover.gisteren, 21:00",N,0.5,NA,NA,R,N,NA,NA,NA,NA
stance,517,1068b92b32cf1f52b47155ec7c76e3d50ef0bebf348e0876bce7be8c-4-PVV,CivilRights,"Met hem regeren wil hij zeker niet, maar in een tv-debat is PVV-leider Geert Wilders een zeer welkome tafelgenoot voor Frans Timmermans.De lijsttrekker van GroenLinks-PvdA, al dagen op pad om de kiezers te waarschuwen dat er een rechts kabinet op komst is als ze niet op hem stemmen, haalt donderdagavond meteen uit naar **Wilders**.'De Grondwet zegt dat je iedereen gelijk moet behandelen.",N,0.5,R,NA,N,NA,NA,NA,NA,NA
stance,510,123f7cf3c95dda6b3ec3da0f57a0bf2f632d864f1d2f00e2cc542613-25-CU,CivilRights,"Daarnaast staan dit jaar voor het eerst twee paragrafen over transgenderzorg in het verkiezingsprogramma.**Bikker** vindt het goed dat de lokale fracties hun eigen afweging maken.""Mooi dat iedereen zich bij de CU veilig voelt.",L,0.5,NA,NA,N,L,NA,NA,NA,NA
stance,510,123f7cf3c95dda6b3ec3da0f57a0bf2f632d864f1d2f00e2cc542613-33-CU,CivilRights,"Toch zegt het partijbestuur dat ""mensen met een monogame homoseksuele relatie op een waardige wijze God kunnen dienen en de partij kunnen vertegenwoordigen"".**Bikker** noemt het ""kostbaar"" dat er binnen de **CU** ruimte is voor verschillende meningen.""We zijn een unie van christenen.",N,0.5,NA,NA,R,N,NA,NA,NA,NA
stance,510,123f7cf3c95dda6b3ec3da0f57a0bf2f632d864f1d2f00e2cc542613-39-CU,CivilRights,"Annelijn de Gier vraagt zich af waarom haar partij zich niet meer principieel profileert op abortus en euthanasie:**Bikker** geeft toe dat ze grote zorgen heeft over medisch-ethische dossiers.""Over een heel aantal dingen kom je er samen uit, en je verwoordt waar het ingewikkeld wordt.",N,0.5,NA,NA,N,R,NA,NA,NA,NA
stance,510,123f7cf3c95dda6b3ec3da0f57a0bf2f632d864f1d2f00e2cc542613-4-CU,CivilRights,"Soms lukt het niet om iets te bereiken, maar mijn standpunt verandert niet.""De **CU** heeft twee kabinetsperiodes meegeregeerd en profileert zichzelf als een partij die niet door een morele ondergrens wil gaan.Uit onderzoek blijkt dat normen en waarden voor de CU-achterban het belangrijkst zijn.",N,0.5,NA,NA,R,N,NA,NA,NA,NA
stance,510,123f7cf3c95dda6b3ec3da0f57a0bf2f632d864f1d2f00e2cc542613-5-CU,CivilRights,"De CU heeft twee kabinetsperiodes meegeregeerd en profileert zichzelf als een partij die niet door een morele ondergrens wil gaan.Uit onderzoek blijkt dat normen en waarden voor de **CU-achterban** het belangrijkst zijn.Voor de val van het kabinet, in juli dit jaar, legde de VVD aan het einde van de crisisonderhandelingen een plan op tafel die het recht op gezinshereniging van bepaalde vluchtelingen moest beperken.",N,0.5,NA,NA,R,N,NA,NA,NA,NA
stance,519,168838aaf49004216eddf47876ccc156efc6fbd2b8918215d248e877-10-D66,CivilRights,"Zij vinden dat belangrijke besluiten over de toekomst van omroepen niet meer bij het kabinet moeten liggen.""Het uitgangspunt binnen de democratische rechtsstaat is dat journalisten de politiek beoordelen en politici zo min mogelijk de journalisten"", zegt Joost Sneller (**D66**) hierover.Dit thema is nu extra relevant vanwege de discussie over Ongehoord Nederland.",L,0.5,N,L,NA,NA,NA,NA,NA,NA
stance,523,17c19dc0713be7891134dc3d1637b8cffda11cda3970355f26b78c0b-142-Overig,CivilRights,"Ze was raadslid in Utrecht en Eerste Kamerlid, voordat ze in 2021 overstapte naar de Tweede Kamer.In januari van dit jaar werd ze de **partijleider**, als opvolger van Gert-Jan Segers.Bescherming van kwetsbaren, tegengaan van mensenhandel en uitbuiting zijn belangrijke thema's voor haar.",L,0.5,NA,L,NA,N,NA,NA,NA,NA
stance,523,17c19dc0713be7891134dc3d1637b8cffda11cda3970355f26b78c0b-148-CU,CivilRights,"Bikker is lid van een kerkgemeente die zich rekent tot de meest orthodoxe vleugel binnen de Protestantse Kerk Nederland (PKN).De **ChristenUnie** is in 2000 voortgekomen uit twee traditioneel gereformeerde partijen (GPV en RPF), maar inmiddels zijn ook veel evangelische christenen lid en actief voor de partij.Dat heeft de sfeer in de partij en de koers beïnvloed.",N,0.5,NA,N,NA,R,NA,NA,NA,NA
stance,523,17c19dc0713be7891134dc3d1637b8cffda11cda3970355f26b78c0b-15-SGP,CivilRights,12:23Gesprek van **SGP-leider** **Stoffer** met anti-abortusdemonstranten stuit op kritiekSGP-lijsttrekker Chris Stoffer heeft voor een abortuskliniek in Zuid-Holland gesproken met twee betogers die in gesprek gaan met vrouwen die de kliniek bezoeken.,N,0.5,NA,R,NA,N,NA,NA,NA,NA
stance,523,17c19dc0713be7891134dc3d1637b8cffda11cda3970355f26b78c0b-16-Overig,CivilRights,"Gesprek van SGP-leider Stoffer met anti-abortusdemonstranten stuit op kritiek**SGP-lijsttrekker** Chris Stoffer heeft voor een abortuskliniek in Zuid-Holland gesproken met twee betogers die in gesprek gaan met vrouwen die de kliniek bezoeken.""Ik wil van hen uit eerste hand horen hoe hun ervaringen zijn"", zegt Stoffer over zijn bezoek.",N,0.5,NA,R,NA,N,NA,NA,NA,NA
stance,523,17c19dc0713be7891134dc3d1637b8cffda11cda3970355f26b78c0b-16-SGP,CivilRights,"Gesprek van SGP-leider Stoffer met anti-abortusdemonstranten stuit op kritiek**SGP-lijsttrekker** Chris **Stoffer** heeft voor een abortuskliniek in Zuid-Holland gesproken met twee betogers die in gesprek gaan met vrouwen die de kliniek bezoeken.""Ik wil van hen uit eerste hand horen hoe hun ervaringen zijn"", zegt Stoffer over zijn bezoek.",N,0.5,NA,R,NA,N,NA,NA,NA,NA
stance,523,17c19dc0713be7891134dc3d1637b8cffda11cda3970355f26b78c0b-20-VVD,CivilRights,"Het is fijn om dit gesprek te hebben met deze twee vrouwen die hier dit belangrijke werk doen.""Stoffer krijgt onder meer kritiek van **VVD-leider** **Yesilgöz** over zijn bezoek aan de kliniek.In een bericht op X schrijft ze ""klaar te zijn met dit oerconservatieve gedoe"".",L,0.5,NA,N,NA,L,NA,NA,NA,NA
stance,526,17c19dc0713be7891134dc3d1637b8cffda11cda3970355f26b78c0b-29-SGP,CivilRights,"Wij voeren gewoon de politiek zoals we dat honderd jaar doen.""Over de actie van de twee demonstrerende vrouwen voor de kliniek, zegt **Stoffer** dat ze ""hier alleen maar een foldertje geven aan de vrouwen"".""Ik denk dat het heel goed is dat je een foldertje aangeboden krijgt.",N,0.5,NA,N,NA,NA,NA,R,NA,NA
stance,523,17c19dc0713be7891134dc3d1637b8cffda11cda3970355f26b78c0b-30-Denk,CivilRights,"Over de actie van de twee demonstrerende vrouwen voor de kliniek, zegt Stoffer dat ze ""hier alleen maar een foldertje geven aan de vrouwen"".""Ik **denk** dat het heel goed is dat je een foldertje aangeboden krijgt.Je kunt hem aannemen of niet.",N,0.5,NA,N,NA,R,NA,NA,NA,NA
stance,525,1c1c6fab74079c10ef47c9fee9c004c11e63eaded615873c60958d02-121-GL/PvdA,CivilRights,"De PvdA-voorgangers van Timmermans hadden het standpunt dat de politie neutraal moet zijn.Nu staat in het verkiezingsprogramma van **GroenLinks-PvdA** dat het wel mag.Wat is er veranderd, was de vraag.",L,0.5,NA,L,NA,NA,NA,N,NA,NA
stance,523,1df369a142823ced0e20ffacbe0091a3527812d8d327c49fe1fb09a0-100-Overig,CivilRights,"Gesprek van SGP-leider Stoffer met anti-abortusdemonstranten stuit op kritiek**SGP-lijsttrekker** Chris Stoffer heeft voor een abortuskliniek in Zuid-Holland gesproken met twee betogers die in gesprek gaan met vrouwen die de kliniek bezoeken.""Ik wil van hen uit eerste hand horen hoe hun ervaringen zijn"", zegt Stoffer over zijn bezoek.",N,0.5,NA,R,NA,N,NA,NA,NA,NA
stance,523,1df369a142823ced0e20ffacbe0091a3527812d8d327c49fe1fb09a0-100-SGP,CivilRights,"Gesprek van SGP-leider Stoffer met anti-abortusdemonstranten stuit op kritiek**SGP-lijsttrekker** Chris **Stoffer** heeft voor een abortuskliniek in Zuid-Holland gesproken met twee betogers die in gesprek gaan met vrouwen die de kliniek bezoeken.""Ik wil van hen uit eerste hand horen hoe hun ervaringen zijn"", zegt Stoffer over zijn bezoek.",N,0.5,NA,R,NA,N,NA,NA,NA,NA
stance,523,1df369a142823ced0e20ffacbe0091a3527812d8d327c49fe1fb09a0-101-SGP,CivilRights,"SGP-lijsttrekker Chris Stoffer heeft voor een abortuskliniek in Zuid-Holland gesproken met twee betogers die in gesprek gaan met vrouwen die de kliniek bezoeken.""Ik wil van hen uit eerste hand horen hoe hun ervaringen zijn"", zegt **Stoffer** over zijn bezoek.Stoffer krijgt onder meer kritiek van VVD-leider Yesilgöz over zijn bezoek aan de kliniek.",N,0.5,NA,R,NA,N,NA,NA,NA,NA
stance,524,1df369a142823ced0e20ffacbe0091a3527812d8d327c49fe1fb09a0-102-VVD,CivilRights,"""Ik wil van hen uit eerste hand horen hoe hun ervaringen zijn"", zegt Stoffer over zijn bezoek.Stoffer krijgt onder meer kritiek van **VVD-leider** **Yesilgöz** over zijn bezoek aan de kliniek.In een bericht op X schrijft ze ""klaar te zijn met dit oerconservatieve gedoe"".",L,0.5,NA,N,NA,L,NA,NA,NA,NA
stance,523,1df369a142823ced0e20ffacbe0091a3527812d8d327c49fe1fb09a0-219-Overig,CivilRights,"Ze was raadslid in Utrecht en Eerste Kamerlid, voordat ze in 2021 overstapte naar de Tweede Kamer.In januari van dit jaar werd ze de **partijleider**, als opvolger van Gert-Jan Segers.Bescherming van kwetsbaren, tegengaan van mensenhandel en uitbuiting zijn belangrijke thema's voor haar.",L,0.5,NA,L,NA,N,NA,NA,NA,NA
stance,523,1df369a142823ced0e20ffacbe0091a3527812d8d327c49fe1fb09a0-99-SGP,CivilRights,12:23Gesprek van **SGP-leider** **Stoffer** met anti-abortusdemonstranten stuit op kritiekSGP-lijsttrekker Chris Stoffer heeft voor een abortuskliniek in Zuid-Holland gesproken met twee betogers die in gesprek gaan met vrouwen die de kliniek bezoeken.,N,0.5,NA,R,NA,N,NA,NA,NA,NA
stance,512,1e571f13885dad5d7b29501469cb543a3dcbdf9e4c08f9d868a53e81-182-VVD,CivilRights,"Door de komst van partijen als de PVV en Forum voor Democratie is dat niet meer zo.De **VVD** komt van oudsher op voor mensen met een hoger inkomen, een eigen zaak, een koophuis en een auto, mensen die vinden dat ze beknot worden door overbodige regels en die graag minder belasting willen betalen.De liberalen hebben de vrijheid van het individu hoog in het vaandel en zijn bijvoorbeeld voor het recht op abortus en euthanasie.",L,0.5,NA,NA,L,N,NA,NA,NA,NA
stance,524,20b68ffb43d3459dc55b75d1ed654a697a60196d4e473026bb30b1d4-65-CDA,CivilRights,"Dat zal erg bepalend zijn voor hoeveel zin wij hebben in coalitiedeelname"".Een van de speerpunten van het **CDA** is het gezin , dat de partij wil versterken door onder meer hogere kinderbijslag en een hoger kindgebonden budget.Volgens Bontenbal helpt dat meer dan het minimumloon verhogen:",N,0.5,NA,R,NA,N,NA,NA,NA,NA
stance,520,22ecedcff49705dadbb122e290080d0fd178d211389caca22eaf5435-3-BBB,CivilRights,"Door volgcookies te plaatsen, kunnen partijen bezoekers later op andere websites opnieuw bereiken.Iemand die de website van **BBB** heeft bezocht, kan daardoor op andere sites reclame van die partij krijgen.Het is niet verboden om dit soort cookies in te zetten, maar de gebruiker moet daar wel vooraf toestemming voor geven.",N,0.5,R,N,NA,NA,NA,NA,NA,NA
stance,522,26c26f053329eba63ea999020e2974198d372c514c9e2c29b7770815-32-VVD,CivilRights,"Door de komst van partijen als de PVV en Forum voor Democratie is dat niet meer zo.De **VVD** komt van oudsher op voor mensen met een hoger inkomen, een eigen zaak, een koophuis en een auto, mensen die vinden dat ze beknot worden door overbodige regels en die graag minder belasting willen betalen.De liberalen hebben de vrijheid van het individu hoog in het vaandel en zijn bijvoorbeeld voor het recht op abortus en euthanasie.",L,0.5,NA,L,NA,N,NA,NA,NA,NA
stance,523,29c5c3a0f92c2d3db6e8c1dd290800838d056d15934b5bf56e4a5349-127-CU,CivilRights,"RechtsstaatWat de **ChristenUnie** betreft wordt het genadebeginsel in de Grondwet opgenomen.Dit houdt in dat politieke bestuurders uitzonderingen mogen maken voor schrijnende individuele gevallen, omdat normale uitvoering van wet- en regelgeving iemand anders onevenredig hard raakt.",L,0.5,NA,L,NA,N,NA,NA,NA,NA
stance,514,2c0ef51efcf8f7a13e13afcdd577a5e043de5e4bef6b157ec70b90e5-102-NSC,CivilRights,"Yesilgöz vindt dat Omtzigt een aantal ""oerconservatieve ideeën"" heeft, onder meer over de rechten van vrouwen.Timmermans mist bij **Omtzigt** duidelijkheid over waar hij met zijn partij heen wil.""Als je de ambitie hebt om het land te besturen, moet je ook keuzes maken.""",N,0.5,R,NA,N,NA,NA,NA,NA,NA
stance,514,2c0ef51efcf8f7a13e13afcdd577a5e043de5e4bef6b157ec70b90e5-22-NSC,CivilRights,"""Je moet de kiezers duidelijk maken dat er wat te kiezen valt en dat er verschillen zijn tussen partijen en dat doe je door de strijd aan te gaan en niet door weg te blijven bij debatten.""Een ander kritiekpunt op **Omtzigt** is voor Jetten dat hij begin deze week de mogelijkheid van een kabinet over rechts met onder meer de SGP opperde.""Een coalitie met partijen die uit de euro willen, waar vrouwenrechten onder druk komen te staan, waar homorechten niet worden versterkt.""",N,0.5,R,NA,N,NA,NA,NA,NA,NA
stance,514,2c0ef51efcf8f7a13e13afcdd577a5e043de5e4bef6b157ec70b90e5-24-GL/PvdA,CivilRights,"""Een coalitie met partijen die uit de euro willen, waar vrouwenrechten onder druk komen te staan, waar homorechten niet worden versterkt.""Gisteren openden de VVD en **GroenLinks-PvdA** de aanval op Omtzigt.VVD-lijsttrekker Dilan Yesilgöz zei onder meer dat de NSC-lijsttrekker ""oerconservatieve ideeën"" heeft.",L,0.5,N,NA,L,NA,NA,NA,NA,NA
stance,526,2c0ef51efcf8f7a13e13afcdd577a5e043de5e4bef6b157ec70b90e5-24-NSC,CivilRights,"""Een coalitie met partijen die uit de euro willen, waar vrouwenrechten onder druk komen te staan, waar homorechten niet worden versterkt.""Gisteren openden de VVD en GroenLinks-PvdA de aanval op **Omtzigt**.VVD-lijsttrekker Dilan Yesilgöz zei onder meer dat de NSC-lijsttrekker ""oerconservatieve ideeën"" heeft.",N,0.5,NA,N,NA,NA,NA,R,NA,NA
stance,514,2c0ef51efcf8f7a13e13afcdd577a5e043de5e4bef6b157ec70b90e5-4-SGP,CivilRights,11:30GL-PvdA krijt regenboog voor abortuskliniek waar **SGP** actie wilde voerenGroenLinks-PvdA noemt het goed dat de SGP afziet van de actie om in gesprek te gaan met anti-abortusdemonstranten.,N,0.5,R,NA,N,NA,NA,NA,NA,NA
stance,514,2c0ef51efcf8f7a13e13afcdd577a5e043de5e4bef6b157ec70b90e5-5-SGP,CivilRights,"GL-PvdA krijt regenboog voor abortuskliniek waar SGP actie wilde voerenGroenLinks-PvdA noemt het goed dat de **SGP** afziet van de actie om in gesprek te gaan met anti-abortusdemonstranten.Kandidaat-Kamerlid Diederik van Dijk was van plan om vanmorgen bij de ingang van een abortuskliniek in Utrecht te staan, maar besloot de actie te verplaatsen.",N,0.5,R,NA,N,NA,NA,NA,NA,NA
stance,514,2c0ef51efcf8f7a13e13afcdd577a5e043de5e4bef6b157ec70b90e5-8-SGP,CivilRights,"Volgens de SGP hadden zich ""tientallen pro-abortusdemonstranten"" bij de kliniek verzameld.""Mogelijk is het feit dat we de stoep en het fietspad hebben volgetekend met regenbogen de reden voor de **SGP** om het gesprek elders te voeren"", zegt GroenLinks-PvdA.Op sociale media heeft Kamerlid Corinne Ellemeet foto's geplaatst, waaruit blijkt dat ze samen met oud-PvdA-fractievoorzitter Lilianne Ploumen de stoep heeft volgekrijt met een regenboog en teksten als ""jouw lichaam, jouw keuze"":",N,0.5,R,NA,N,NA,NA,NA,NA,NA
stance,509,2c72896c4c2211ae5e63d933100a57d4cbac1541dbd415d07402e0b2-14-Overig,CivilRights,"Stoffer (SGP) over lhbti'ers in zijn eigen familie**SGP-lijsttrekker** Stoffer wordt in het NOS op 3-verkiezingsprogramma geconfronteerd met de vraag hoe hij ervoor wil zorgen dat lhbti'ers zich gezien blijven voelen, ondanks de standpunten van zijn partij hierover.21:00",N,0.5,N,NA,R,NA,NA,NA,NA,NA
