round,unit_id,before,text,after,NR,JF,WvA,agreement,gold_topic,gold_stance,Uitleg,Discussion
1,09aa20fff578fb82606e5d33e65952eeca3b31b6b85c3f6a99f08cad-92-Overig,Maar ik vind het vooral tragisch dat het nodig is.',"Spekman, die eerder Tweede **Kamerlid** was voor de PvdA en ook voorzitter van die partij, is blij met de politieke aandacht voor bestaanszekerheid, een thema waar hij al jaren druk mee is.","Het gaat volgens hem niet alleen om inkomen, maar om een algemeen gevoel van zekerheid: 'Heb ik morgen nog werk en een huis?",Sociale zekerheid : Voor,Sociale zekerheid : Voor,Sociale zekerheid : Voor,3,Sociale zekerheid,Voor,,
1,35f9ca58f4f62edfe2414f3d4b1ce57990abcaacf9585018df2f0ced-3-GL/PvdA,Tijdelijke huurcontracten worden grotendeels verboden.,"Het initiatiefwetsvoorstel van **PvdA** en ChristenUnie kwam vorige week aan een zijden draadje te hangen, met name doordat de CDA-fractie in de Eerste Kamer aarzelde over steun.",Uiteindelijk stemde de partij toch voor.,Woningbouw : Voor,Woningbouw : Voor,Woningbouw : Voor,3,Woningbouw,Voor,,
1,af119e273fec28e0b9bc8f9a64ae0ac64c71e9214eafd5e027af547d-3-Overig,Hoe ziet Nederland er over tachtig jaar uit?,"Daarover moeten we nú al nadenken, zegt demissionair **minister** Hugo de Jonge (ruimtelijke ordening).",De huidige crises komen voort uit uitgestelde keuzes.',Ander onderwerp : Neutraal,Ander onderwerp : Neutraal,Ander onderwerp : Neutraal,3,Ander onderwerp,Neutraal,,
1,45fd1cf60c758be5584b5dc4a05b5acf28c5d472cb33e7023579f867-2-D66,Nieuws,De linkse oppositie en **D66** reageren ontstemd op het bericht dat Nederland toestaat dat er onderdelen voor F-35-gevechtsvliegtuigen aan Israël worden geleverd vanuit een Amerikaanse opslagplaats in Nederland.,De leveringen vinden plaats onder een algemene vergunning voor landen die meedoen aan het F-35 partnerprogramma.,Internat.recht en ontw. samenwerking : Voor,Internat.recht en ontw. samenwerking : Voor,Internat.recht en ontw. samenwerking : Voor,3,Internat.recht en ontw. samenwerking,Voor,,
1,1db7f68c49b88559529fd3f7d21ab9b3b31a1a040f873c3ab6efedce-1-SP,NA,Interview Lilian **Marijnissen**:,SP kan prima in coalitie met Omtzigt en BBB',Geen onderwerp : Neutraal,Geen onderwerp : Neutraal,Geen onderwerp : Neutraal,3,Geen onderwerp,Neutraal,,
1,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-35-NSC,"Een ingrijpende politieke cultuuromslag is nodig, en in die zin komen de verkiezingen op 22 november als geroepen.",Pieter **Omtzigt** en zijn Nieuw Sociaal **Contract** (**NSC**) maken een groot punt van verbetering van bestuur en herstel van vertrouwen.,"Dat is een stap in de goede richting, maar wat moet er behalve een politieke mentaliteitsverandering nog meer gebeuren?",Beter Bestuur : Voor,Beter Bestuur : Voor,Beter Bestuur : Voor,3,Beter Bestuur,Voor,,
1,2ee78c944041db7cc217cb9e827501b9b88d19a9b446e1bc1593d2a9-1-GL/PvdA,NA,"Martijn Balster, wethouder Den Haag De Haagse wethouder Martijn Balster (Wonen, **PvdA**) onderhandelt namens Nederlandse gemeenten over de wet die middenhuur moet gaan reguleren.",Hij vreest dat de wet wordt afgezwakt door druk van marktpartijen.,Woningbouw : Voor,Woningbouw : Voor,Woningbouw : Voor,3,Woningbouw,Voor,,
1,6781d07d04ce775cff0cd20c5b855f7db3448496068c82a6c7875d1c-9-GL/PvdA,Alle partijen stellen voor om de kinderopvang bijvoorbeeld in meer of mindere mate gratis te maken.,**GroenLinks-PvdA** - 'alle kinderopvang in publieke handen' - gaat verder dan de VVD - 'we werken toe naar bijna gratis kinderopvang'.,Het illustreert de tijdgeest.,Sociale zekerheid : Voor,Sociale zekerheid : Voor,Sociale zekerheid : Voor,3,Sociale zekerheid,Voor,,
1,07abe94ea0600b42884090af15bdd1021d7675b093b0d5a244472fef-4-Overig,Wat een kwalijke onzin.,Plotseling wist demissionair **minister** De Jonge van Volkshuisvesting het ook zeker:,zonnepanelen op agrarisch land moet je niet willen.,Energie : Tegen,Energie : Tegen,Energie : Tegen,3,Energie,Tegen,,
1,1a7ee12715faeff2832822df887a0382a9c64ecf46e99ccaa3895515-74-Overig,Suzanne en ik hebben met Extinction Rebellion op de A12 gezeten bij de protesten tegen fossiele subsidies voor het bedrijfsleven.,"Het is wrang dat **minister** Jetten miljarden in de pot heeft voor de energietransitie, voor de sectoren die van fossiel naar duurzaam willen.","Maar biologische kwekers die al duurzaam zijn, moeten het zelf uitzoeken.",Energie : Voor,Energie : Voor,Energie : Voor,3,Energie,Voor,,
1,8527b62c0e922ff0aa4aed05ecb78eedd50463e37072bfdd93b34297-1-VVD,NA,"Hoe de **VVD** toch zo populair blijft, is een probleem bij menig Volkskrant- lezer blijkt maar weer.","De verklaring van lezer Jan Tolsma, die een Amerikaans onderzoek aanhaalt (Geachte Redactie, 14/11), is niet de juiste.",Geen onderwerp : Neutraal,Geen onderwerp : Neutraal,Geen onderwerp : Neutraal,3,Geen onderwerp,Neutraal,,
1,95b187ca18f621a27fc9da7d3ef3aa5b9e6304d32103da0c81560fc6-4-D66,"De verkiezingsbijlage van deze krant, waarin zeven lijsttrekkers voor een dag de invulling van een pagina mogen bepalen, is daarop een welkome aanvulling.","Wat opvalt is hoe een probleem als immigratie door de lijsttrekkers op verschillende manieren wordt ingeschaald en aan de orde komt, en bij **D66** zelfs niet eens ter sprake komt.","Terwijl iedereen ziet hoe de overheid de controle kwijt is over voor wie en waarom het recht bestaat om een beroep op onze welvaart te kunnen doen, met alle gevolgen van dien.",Immigratie : Neutraal,Immigratie : Neutraal,Immigratie : Neutraal,3,Immigratie,Neutraal,,
1,fa5812ec64737ba4ce43affb7de12e0790c19470210d4844c9c26bfc-1-GL/PvdA,NA,"Een initiatiefwet van **PvdA** en ChristenUnie om tijdelijke huurcontracten zo veel mogelijk tegen te gaan, is ook aangenomen in de Eerste Kamer.","Daarmee worden vaste huurcontracten voor onbepaalde tijd weer de norm, om de rechten van huurders beter te beschermen.",Woningbouw : Voor,Woningbouw : Voor,Woningbouw : Voor,3,Woningbouw,Voor,,
1,2bcd7ab50fc60db4c39707acc421e1758ab8033faca8e23e2d985154-1-GL/PvdA,NA,"Wetsvoorstel • Het plan van **PvdA** en CU om tijdelijke huurcontracten te verbieden, staat op losse schroeven.",BBB trekt in de senaat de steun weer in.,Woningbouw : Voor,Woningbouw : Voor,Woningbouw : Voor,3,Woningbouw,Voor,,
1,02b021e57432a57bbb5262a0aa2c880e078b1e9509d7c1e0e5e6c862-12-VVD,Tot 2021 betaalde iemand die van het gas af wilde 700 euro.,"Toezichthouder ACM bepaalde in maart 2021 op aangeven van Eric Wiebes, de toenmalige **VVD-minister** van Klimaat, dat het afkoppelen gratis moest worden:",verduurzamen was immers al duur genoeg.,Energie : Voor,Energie : Voor,Energie : Voor,3,Energie,Voor,,
1,324c2ba45b753fa3241c23d24bf3bec6ec5ff781aa8be647272c1b85-2-PVV,Volkskrant-commentaar,De **PVV** komt als optie op tafel in de formatie.,"Dat kan bijna niet anders, gezien de verhoudingen.",Geen onderwerp : Neutraal,Geen onderwerp : Neutraal,Geen onderwerp : Neutraal,3,Geen onderwerp,Neutraal,,
1,030cd8a455a170b9fdbe8c869a3676a111345fb22d1446d6a3a1ffe2-2-PVV,"Trouw kan misschien op zoek naar een nieuwe columnist, aangezien Babah Tarawally het schrijven van stukjes ophangt aan de vraag of een gekozen politicus invloed kan uitoefenen op het door de meerderheid van het parlement gewenste beleid.","('Als de **PVV** meeregeert, stop ik als columnist', Opinie, 16 november).","Die politicus, die wellicht 1 tot 1,5 miljoen Nederlanders achter zich heeft staan, zal 's nachts vermoedelijk niet echt wakker liggen van deze weinig democratische opstelling.",Geen onderwerp : Neutraal,Geen onderwerp : Neutraal,Geen onderwerp : Neutraal,3,Geen onderwerp,Neutraal,,
1,600047be82be4023a3ce0fb423bd38c88b17e3c261ab700376557ae5-3-CDA,"De bevolking groeit hard, en daarmee ook de vraag naar woningen.",Dat staat in de Staat van de Volkshuisvesting 2023 die demissionair woonminister Hugo de Jonge (**CDA**) vrijdag heeft gepresenteerd.,"Het kabinet heeft de doelstelling van het aantal te bouwen woningen tot en met 2030 noodgedwongen naar boven bijgesteld, van 900 duizend naar 981 duizend.",Woningbouw : Voor,Woningbouw : Voor,Woningbouw : Voor,3,Woningbouw,Voor,,
1,0aa855c54d72acecb8abcc076a7f0192f13cddee1193b259ac388b91-10-CU,door Ingrid Groot,"ROTTERDAM Een keiharde hardcore rave in de Rotterdamse Laurenskerk voor tweeduizend uitzinnige gabbers, met pikante danseressen verkleed als duiveltjes is compleet verkeerd gevallen bij Rotterdamse christenen en de **ChristenUnie** (**CU**).",CU stuurde woensdag een brief op poten aan het college over het opzwepende concert van het Rotterdam Terror Corps (RTC) in de beroemde kerk.,Investeren in Cultuur : Tegen,Investeren in Cultuur : Tegen,Investeren in Cultuur : Tegen,3,Investeren in Cultuur,Tegen,,
1,4337d484638861bb50598b0f858d3de56b42db49856cedb87c31c16b-9-Overig,"Het is druk in de grote, galmende sportzaal van de opleiding Sport en Bewegen.","s Middags zijn er workshops met kandidaat-Kamerleden en is er een livestream met **minister** Robbert Dijkgraaf van onderwijs, die de studenten na de gebruikelijke problemen met beeld en geluid met 'je' en 'hoi' aanspreekt en die zijn boodschap hoe belangrijk het mbo is nog eens herhaalt.","""De meeste mbo'ers zijn niet echt geïnteresseerd in politiek"", zegt Mirjam Pruis, coördinator van het vak burgerschap op het Alfa-college, die in de sportzaal even op een bankje is gaan zitten.",Investeren in onderwijs en wetenschap : Voor,Investeren in onderwijs en wetenschap : Neutraal,Investeren in onderwijs en wetenschap : Voor,1,Investeren in onderwijs en wetenschap,Voor,"MBO is belangrijk, dus voor onderwijs",
1,21992ef48b7338c77144f113fd55cb441a4156a3165833ce33649227-8-GL/PvdA,Amsterdam Ondanks een volle en boze tribune bij de raadscommissie wonen - waar de huisvestingsverordening voor 2024 werd besproken - lijkt het er niet op dat de plannen van wethouder Pels over het verminderen van vergunningen voor bed & breakfasts (b&b) en huizenruil versoepeld zullen worden.,"De raad stemt eind dit jaar nog over de verordening, maar coalitiepartijen **PvdA**, **GroenLinks** en D66 lijken achter de wethouder te staan.",Het college wil bijvoorbeeld per volgend jaar het maximale aantal bed & breakfasts in de stad met 30 procent verminderen.,Woningbouw : Voor,Ondernemers klimaat : Tegen,Ondernemers klimaat : Tegen,1,Ondernemers klimaat,Tegen,Tegen airbnb is tegen vrij ondernemen,
1,3bddcb90d567b3adde07b82f39eba8148a85473466c72f61c86a3343-1-GL/PvdA,NA,"’Alle partijen nivelleren, van **PvdA/GL** tot VVD’",podcast,Overheidsfin. op orde : Tegen,Sociale zekerheid : Voor,Sociale zekerheid : Voor,1,Sociale zekerheid,Voor,Nivelleren is armoedebestrijden,
1,487e9ba6eab4f0648dd7109877bc89624a54b71778f05c56d2c37bdc-5-NSC,Ik leerde elke verkiezingen opnieuw veel over wat partijen willen.,"Deze verkiezingen doen Omtzigts partij **NSC**, PVV, BBB, SP en Partij voor de Dieren niet mee aan de doorrekening – om een paar potentieel aanzienlijke partijen te noemen.","Of deze partijen zich er nooit meer voor lenen, is onduidelijk.",Geen onderwerp : Neutraal,Overheidsfin. op orde : Tegen,Geen onderwerp : Neutraal,1,Geen onderwerp,Neutraal,Doorrekenen is geen beleid,
1,033a19065ff61e3bf6701807811a088d9c1b914c2c7e5e108ed7cefc-21-GL/PvdA,Voor hen is het een gruwelbeleid.”,"De **PvdA** wil dat het betaald parkeren in Zuid helemaal van tafel gaat, omdat er volgens die partij eigenlijk geen parkeerproblemen zijn.","„Bewoners ervaren terecht dat zij als pinautomaat worden gebruikt om de begroting van de stad sluitend te maken”, zegt fractievoorzitter Richard Moti.",Investeren in wegen en ov : Voor,Overheidsfin. op orde : Tegen,Investeren in wegen en ov : Voor,1,Investeren in wegen en ov,Voor,Gratis parkeren =- 130 rijden,
1,21959f9f346b1656c352e1526d3372596a69a07db90e7d0d17095b57-10-PVV,"Een totaalbeeld van het politieke landschap is dit jaar moeilijker te vormen, omdat een groot aantal partijen is afgehaakt.","**PVV**, SP, PvdD , BBB, Denk, BIJ1 en NSC zijn kritisch over de ‘modellenwerkelijkheid’ van het CPB en leverden hun plannen niet in.","VVD, D66, GroenLinks-PvdA, CDA, ChristenUnie, Volt, JA21 en SGP deden dat wel.",Geen onderwerp : Neutraal,Overheidsfin. op orde : Tegen,Geen onderwerp : Neutraal,1,Geen onderwerp,Neutraal,Doorrekenen is geen beleid,
1,9fd170399298f91ec97800ba911683be4c232eb09f298d0e1cedcf31-6-GL/PvdA,2. Wie doen het voorstel?,"**GroenLinks-PvdA**, D66, PVV, Partij voor de Dieren, SP, Volt, BVNL en NSC hebben in hun partijprogramma opgenomen dat de Koning (inkomsten)belasting moet gaan betalen.","Vul je de Stemwijzer in, dan zijn 22 van de 27 partijen het hiermee eens.",Overheidsfin. op orde : Voor,Overheidsfin. op orde : Voor,Beter Bestuur : Voor,1,Overheidsfin. op orde,Voor,Lastig lastig maar uiteindelijk gaat het om belastig,
1,07cbf4cc1a60a980d0613e96b7b7dfc684b6082587f2111b085a76ce-2-SGP,"Zegt hem dat nog iets, de Barmhartige Samaritaan?","**SGP** wil christelijke asielzoekers, CU geen rem op gezinshereniging' (AD 16-11).",Inzetten op christelijke asielzoekers?,Immigratie : Voor,Immigratie : Tegen,Immigratie : Tegen,1,Immigratie,Tegen,"SGP wil migratie beperken, nl allen gristenen",
1,b108eadf74c637825e81896681bfae2224dca55e0328a9688cd44740-1-GL/PvdA,NA,Partij hekelt stikstofkoers **Timmermans**,Den Haag De stikstofkoers die PvdA/GL’er Frans Timmermans voert blijkt in de eigen gelederen niet te worden gepruimd.,Boeren : Tegen,Boeren : Neutraal,Boeren : Neutraal,1,Boeren,Neutraal,Standpunt niet helder,
1,9e024a5036d61628170a48aed3705e4dd53e5490ec95343efa766da3-2-Overig,Analyse Schiphol,Na tegenwind uit Washington en Brussel schortte **minister** Harbers (Infrastructuur) dinsdag de krimpplannen voor Schiphol op.,Voor omwonenden van de luchthaven is dit opnieuw een bevestiging dat Haagse beloften over luchtvaart weinig waard zijn.,Investeren in wegen en ov : Voor,Investeren in wegen en ov : Tegen,Investeren in wegen en ov : Voor,1,Investeren in wegen en ov,Voor,"Niet krimpen, is meer vliegen, is 130 rijden",
1,45366a3bd31bd295517df9f0f1a143b8c0266e14958b871b22bb55c4-8-CU,door Mike Muller,Den Haag Demissionair landbouwminister Piet Adema (**CU**) legt een bom onder het eigen stikstofbeleid.,Adema spreekt in gesprek met De Telegraaf over een ’totaal doorgeslagen modelwerkelijkheid’ en ziet dat garnalenvissers daar nu de dupe van worden.,Boeren : Tegen,Boeren : Voor,Boeren : Voor,1,Boeren,Voor,,
1,9bc6d50485fc0221d7ff01293bbb90f27ad38d3943fdabd9e1acc1dc-1-VVD,NA,Immigratie is hét verkiezingsthema van de **VVD**.,Lijsttrekker Dilan Yesilgöz wil de regels aanscherpen en minder vluchtelingen toelaten: 'We moeten af van het automatisme.',Immigratie : Tegen,Immigratie : Voor,Immigratie : Tegen,1,Immigratie,Tegen,,
1,109cd8d6a6935ce275fccba13990cc7fda1389dc6830c2c55d0e1c85-5-Overig,"Daarvoor krijgen de advocaten een vergoeding van de overheid, maar die is volgens hen te laag, zeker gezien de gestegen kosten.","Demissionair **minister** Franc Weerwind (rechtsbescherming) wil hun hiervoor eenmalig compenseren en trekt daarvoor 26 miljoen euro uit, zo laat hij aan de Tweede Kamer weten.",Die nam hierover onlangs een motie aan van D66.,Burgerrechten : Voor,Ondernemers klimaat : Voor,Burgerrechten : Voor,1,Burgerrechten,Voor,"Het gaat om juridische bijstand, en dus burgerrecht",
1,5795ab47ac799fb4eeb9c6c620d4150700c871a5e64b19ce130e2e31-1-Overig,NA,Luchtvaart Demissionair **minister** Harbers zwicht voor internationale druk:,het aantal vluchten vanaf Schiphol zal in 2024 toch niet verminderen.,Investeren in wegen en ov : Voor,Ondernemers klimaat : Voor,Investeren in wegen en ov : Voor,1,Investeren in wegen en ov,Voor,schiphol is primair vervoer,
1,927d567ba08e80067695b91f30a12ad14373ad1fd43235b7bd787677-34-Overig,Alleenstaanden en gezinnen komen maandelijks honderden Amerikaanse dollars (de munteenheid op de eilanden) tekort.,"Demissionair **minister** voor armoedebeleid Carola Schouten was vorige week, samen met staatssecretaris Alexandra van Huffelen, in de West om daar de armoede van dichtbij te zien.","Daar maakten ze ook bekend dat het minimumloon fors verhoogd gaat worden, naar 1750 dollar per maand.",Sociale zekerheid : Voor,Werkgelegenheid : Voor,Werkgelegenheid : Voor,1,Sociale zekerheid,Voor,"Lastig, maar: plan uit tweede zin over minimumloon is een apart standpunt, dus zin gaat over ""ergens heengaan om armoede te zien"", en dat is hetzelfde als ""naar een pro-palestinademonstratie gaan""?",
1,48e7c0bf404526d4b77b38cf974cfc74476b205a95f7ad244092fa84-1-Overig,NA,"Hij heeft zich nog niet vastgeplakt aan een talkshowtafel, of met soep gegooid naar een beroemd schilderij, maar **lijsttrekker** Daniël van Duijn neemt wel zijn toevlucht tot onconventionele campagnemethoden.",Om zijn jongerenpartij Lef op de kaart te zetten hing hij het ingelijste partijprogramma in het Rijksmuseum en klom hij op een gammele ladder om tijdens een uitzending van Buitenhof een campagneposter op het raam te plakken.,Geen onderwerp : Neutraal,Ander onderwerp : Neutraal,Geen onderwerp : Neutraal,1,Geen onderwerp,Neutraal,,
1,65a02cd8f6bc3283869cebe4bffb93b24e58e7d4f2fb524f1e7d3f45-49-Overig,Toch koos het kabinet een kritischer koers dan Brussel.,"Onder druk van een Europese petitie met 300.000 handtekeningen, op initiatief van CSL, besloot **minister** Rob Jetten (Klimaat) in 2022 te stoppen met het subsidiëren van nieuwe biomassaprojecten.",",,Ik wil echt voorkomen dat we bomen kappen voor elektriciteit'', aldus Jetten.",Energie : Voor,Energie : Voor,Energie : Tegen,1,Energie,Tegen,Biomassa is soort kernenergie (dwz wel transitie maar ook omstreden dus lastig),
1,339cb00b0bd434455498100ea751b4eed3072328fd6f72c61755ecad-3-Overig,Alle stukken op het internationale schaakbord zijn omvergegooid.,"Laat Europa op dat schaakbord blijven, stelt **lijsttrekker** Frans Timmermans van GroenLinks-PvdA en voormalige Eurocommissaris.",Al bijna 600 dagen vechten Oekraïners voor hun vrijheid en onafhankelijkheid.,Europese Unie : Voor,Europese Unie : Voor,Internat.recht en ontw. samenwerking : Voor,1,Europese Unie,Voor,Hij wil dat EU een sterke rol speelt,
1,37057f4e0f97b92e8683c94fe5069aa5fc3160cb2b1178a25b2cf495-5-VVD,Dit komt door een op het allerlaatste moment gewijzigde wet.,Europarlementariër Bart Groothuis (**VVD**) slaat alarm.,De liberaal gaat er naar eigen zeggen 'alles aan doen' om de Europese wet terug te draaien'.,Ander onderwerp : Neutraal,Ander onderwerp : Neutraal,Ander onderwerp : Tegen,1,Geen onderwerp,Neutraal,,
1,0813995197c126fcd0db54fa7bd6d69e00bca278268870e0bd84828f-17-VVD,„We zijn best verbijsterd over onjuiste berichten die over ons rondgaan.”,Leefbaar Rotterdam en de **VVD** stellen vragen over de spanning die er zondagavond tijdens de demonstratie en protestmars enige tijd was rond de fastfoodzaak op de Coolsingel.,McDonald’s zelf ziet het als „incident”.,Burgerrechten : Neutraal,Burgerrechten : Neutraal,Geen onderwerp : Neutraal,1,Burgerrechten,Neutraal,,<< vragen stellen over
1,8568d66bda079e2008d2ba8381d3cf99d4611504afa403919a4f417e-7-Overig,hij is 'programmadirecteur kernenergie'.,"Namens demissionair **minister** Rob Jetten, de leider van D66, moet hij twee nieuwe kerncentrales aan Zeeland verkopen.","(Zelf zou hij zijn functie ongetwijfeld anders omschrijven, maar hij mag niet met de pers praten.)",Energie : Neutraal,Energie : Voor,Energie : Voor,1,Energie,Voor,,
1,8b71c91d492cc4a7f6b7a0a733ea0f32cab23692db878441c18a393a-4-VVD,"DEN HAAG De Tweede Kamer wil 1,5 miljoen euro extra uittrekken voor de bestrijding van antisemitisme.","**VVD**, Kamerlid Pieter Omtzigt (partijleider van NSC)en GroenLinks-PvdA hebben zich achter dit voorstel van D66-Kamerlid Alexander Hammelburg geschaard.","Over het voorstel wordt pas in de nieuwe Tweede Kamer gestemd, maar aangezien de instemmende partijen de top drie in de peilingen vormen, lijkt het extra geld er in 2024 te komen.",Burgerrechten : Voor,Criminaliteits bestrijding : Voor,Burgerrechten : Voor,1,Burgerrechten,Voor,antisemitisme is een vorm van discriminatie,
1,92a005a596ffa593ce1d787c45e92b33b1b66fa06d6be1eccf607fbb-2-VVD,Verkiezingen,"Dat korte celstraffen effectief zijn bij de aanpak van criminaliteit is een mythe die Dilan **Yesilgöz** blijft verspreiden, vindt Joost Sneller (D66).",Het ministerie van justitie en veiligheid heeft al vijftig jaar een kennisinstituut dat zorgt dat de minister betere beslissingen kan nemen: het WODC (Wetenschappelijk Onderzoek- en Documentatiecentrum).,Criminaliteits bestrijding : Voor,Criminaliteits bestrijding : Tegen,Criminaliteits bestrijding : Voor,1,Criminaliteits bestrijding,Voor,Uiteindelijk zegt vvd: celtraffen zijn effectief,
1,27ba51a11b44a9f3840663e4ebf89d8c8f73acfb9689003ed9c193da-3-NSC,Dat gaat dus over bestaanszekerheid.,"Partijen als **NSC** en VVD tamboereren op die bestaanszekerheid, maar laten zich weinig gelegen liggen aan klimaat, natuur en milieu.","Dat daarbij NSC en andere partijen, die het hardst roepen om transparantie bij de overheid, hun eigen partijprogramma ook op deze thematiek niet laten doorrekenen (Trouw, 9 november), is een gotspe.",Natuur en Klimaat : Tegen,Sociale zekerheid : Voor,Sociale zekerheid : Voor,1,Sociale zekerheid,Voor,eerste issue telt,
1,a312e2a9cffb4180c3235439d91ecdd20714ec1b02c1e2fa062feb94-2-PVV,Ouderenzorg,"Nu steeds meer ouderen tussen wal en schip vallen, moeten de bijna verdwenen bejaardenhuizen terugkomen, vinden de Tweede Kamerleden Fleur Agema (**PVV**) en Nicki Pouw-Verweij (BBB).","Maandag presenteren ze daartoe een initiatiefwetsvoorstel.,Ooit was de ouderenzorg goed geregeld, vertellen de Tweede Kamerleden Fleur Agema (PVV) en Nicki Pouw-Verweij (BBB) op de werkkamer van Agema in het Kamergebouw.",Gezondh.zorg en welzijn : Voor,Gezondh.zorg en welzijn : Voor,Sociale zekerheid : Voor,1,Sociale zekerheid,Voor,"Bejaardenhuis is niet primair zorg, maar eerder een soort kinderopvang (overheid die een mantelzorgtaak overneemt)",
