jobid,unit_id,topic,text,majority,agreement,Karishma,Nel,Nisanur
653,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-33-CDA,Agriculture,"BBB en PvdD willen einde aan oneerlijke handelsverdragen voor boerenKwam de toekomst van boeren en het terugdringen van stikstof om de natuur te herstellen tijdens deze campagne weinig aan bod, in dit slotdebat hebben **CDA**, BBB en PvdD het er uitgebreid over.De BBB won in maart dit jaar de provinciale verkiezingen op dit thema, de partij vindt dat het demissionaire kabinet de boeren in de steek heeft gelaten.",N,1,N,N,N
653,5679f4d381ce8f0c2dccbf58a1efe312f0fc8e7d7dc59efc3dfdc645-2-PvdD,Agriculture,"Radicaal, zo noemt de Partij voor de Dieren haar eigen standpunten.Partijleider Esther **Ouwehand** kan wel wat voorbeelden noemen:geen gif meer tegen muizen in huis, geen vogels meer in kooien en vleeseters moeten zien hoe een varken wordt geslacht.",L,1,L,L,L
653,6235d94ff639bb60d13031a0871347e0b8e6ab6053d1f7181e85e0d0-77-BBB,Agriculture,"Ze hebben de politiek wakker gemaakt.Zonder Van der **Plas** was het voor ons boeren misschien wel de foute kant op gegaan.Ik was niet per se bang, maar ik had toch het idee dat een groot deel van de politiek de boeren weg wilde hebben.",R,0.6666666666666666,N,R,R
653,6cdb89865f97993cbe4cf1127124f44f225940aa3685a293387017ef-210-NSC,Agriculture,"""En Aalt Dijkhuizen, voormalig voorzitter van Wageningen Universiteit, staat al heel lang op mijn lijst als de minister van Landbouw.""Van der Plas, die **NSC-voorman** **Omtzigt** vaak heeft geprezen, zei dat de **NSC-plannen** voor de landbouw 20.000 banen gaan kosten.""Daar moet zeker wat gebeuren, maar ik ga nog met Pieter praten.""",L,0.6666666666666666,N,L,L
653,6cdb89865f97993cbe4cf1127124f44f225940aa3685a293387017ef-212-BBB,Agriculture,"""Daar moet zeker wat gebeuren, maar ik ga nog met Pieter praten.""Van der **Plas** beloofde de boeren dat ze voor hen zal strijden.gisteren, 10:29",R,1,R,R,R
653,728389390789ed132c3abc2a831014345e99ca621b73cb4a6b580bce-284-NSC,Agriculture,"""Ik zie ook dingen in de programma's staan waarvan ik denk: tja, ik weet 't niet helemaal"", zegt ze bij NU.nl .Zo is **NSC** voor een krimp van de intensieve varkenshouderij, en wil de partij toe naar grondgebonden melkveehouderij.Dat baart boeren zorgen, stelt Van der Plas.",L,1,L,L,L
653,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-17-GL/PvdA,Agriculture,"Een knappe kiezer die niet in verwarring achterblijft.Dezelfde ambivalentie is terug te vinden bij **GroenLinks-PvdA**.De partij zegt in haar verkiezingsprogramma 'vast te houden aan het doel de stikstofuitstoot in 2030 te halveren', maar lijsttrekker Frans Timmermans heeft die doelstelling publiekelijk laten vallen.",N,0.6666666666666666,L,N,N
653,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-61-CDA,Agriculture,"Rechtse partijen willen het roofdier de toegang tot Nederland ontzeggen en de exemplaren die zich toch de grens over wagen, het liefst laten afschieten door 'goedwillende' jagers (SGP).Het **CDA** en de BBB willen daarnaast de jacht op grauwe ganzen openen, omdat hun grasvraat boeren schade berokkent.Linkse partijen verwelkomen de wolf juist en willen het publiek via betere voorlichting leren samenleven met het wilde dier, waarbij ze wolvenschade voor boeren blijven vergoeden.",R,1,R,R,R
653,7bd10562b7f4e2aeb499df84cb8ce777a08401a9b7553f11894474e4-37-VVD,Agriculture,"De deadline voor stikstofvermindering ligt eveneens zeer gevoelig in Den Haag.In de huidige wet staat het jaartal 2035, maar de vorige coalitie van **VVD**, D66, CDA en CU wilde dit versnellen.Toen voormalig CDA-voorman en minister Wopke Hoekstra aangaf dat deze coalitiedeadline ’niet heilig was’ ontstond een politieke crisis, waarbij vooral PvdA/GL op de trom sloegen.",L,0.3333333333333333,L,N,R
653,aadf18884601c4e96a696fea983f85df28db89386f13a3a05d42034e-157-BBB,Agriculture,"De BoerBurgerBeweging (BBB) bestaat nog niet lang.De partij werd in 2019 opgericht door onder anderen het gezicht van de partij, Caroline van der **Plas**.De boerenprotesten tegen het stikstofbeleid waren net begonnen en de BBB steunde die (maar nam afstand van al te radicale uitingen).",R,0.6666666666666666,N,R,R
653,ad7808c45e99324de772657a319d8b7422a4e0b39aba0f8fa04cd093-6-GL/PvdA,Agriculture,"Het Europees Parlement heeft het voorstel van de Europese Commissie om het gebruik van pesticiden te halveren in 2030 weggestemd.De strengere pesticidenregels zijn een onderdeel van het grote verduurzamingsplan, de zogenoemde Green Deal, waar voormalig Eurocommissaris Frans **Timmermans** de afgelopen jaren aan heeft gewerkt.Nu het Parlement het voorstel heeft weggestemd, zullen er voorlopig geen strengere pesticidenregels komen op Europees niveau.",L,1,L,L,L
653,bdc7a580a263a67a773c157d3d13d1a494af0644e19cf98f73d7acbe-13-BBB,Agriculture,"Sommige leden vonden dat de eigen waarden te grabbel werden gegooid.Recenter waren veel aanhangers teleurgesteld over de omgang met boeren in de stikstofdiscussie, waarna velen hun weg naar **BBB** en nu ook naar NSC (beide geleid door een ex-CDA'er) vonden.Het CDA zegt zich nu af te keren van het neoliberalisme.",N,1,N,N,N
653,cab7061f6a02047094b4c2d330c30264b022b3afce7730a9c6446c35-19-BBB,Agriculture,"'Wij willen niet minder boeren, maar een einde aan de boerenhaat', aldus het programma van Geert Wilders.Ook **BBB** schuift de Stikstofwet van tafel.VVD en CDA vindt dat boeren zelf moeten bepalen hoe ze, met innovatie, aan stikstofdoelen kunnen voldoen.",R,1,R,R,R
653,d89b41181bbcdc1c04ca593c5feb58a84e0822b031eb130fd5849865-9-CDA,Agriculture,"Het is ontzettend zuur voor boeren die vanaf het begin als piekbelasters zijn weggezet en zo snel mogelijk zouden moeten stoppen.''Ook het **CDA** is boos dat wel haast is gemaakt met de landbouw, maar dat voor andere sectoren minder urgentie bestaat.,,Toen we als CDA erop wezen dat we een pas op de plaats wilden omdat tegen coalitieafspraken in eenzijdig alleen op de agrarische sector werd gefocust, werden we verguist'', zegt Kamerlid Boswijk.",R,0.6666666666666666,N,R,R
653,dbf0003dc1f63a8b77416a14b1dc56db571c465131945244d508bd96-98-PvdD,Agriculture,"bij GroenLinks-PvdA is dat 30 tot 35 procent, overigens net als bij D66 en Volt.De Partij voor de **Dieren** pleit zelfs voor 75 procent krimp.„NSC heeft zijn plannen niet laten doorrekenen”, zegt Bromet.",N,1,N,N,N
653,e6e9e2f3bbdd72e430723666b768fd5061f77f80f5f70a5f93741505-141-BBB,Agriculture,"De BoerBurgerBeweging (BBB) bestaat nog niet lang.De partij werd in 2019 opgericht door onder anderen het gezicht van de partij, Caroline van der **Plas**.De boerenprotesten tegen het stikstofbeleid waren net begonnen en de BBB steunde die (maar nam afstand van al te radicale uitingen).",R,0.6666666666666666,N,R,R
653,f35929e1d1bc449cc9a4e4a03e96a040deab58971206905e24ec991d-27-BBB,Agriculture,Karel van de Graaf had de twee tegenover elkaar geplaatst en waarschijnlijk ontdekt dat beide verhalen rammelden.En Karel van de Graaf was ook op Caroline van der **Plas** gedoken die bij Shownieuws de naam van ’haar’ minister van Landbouw alvast lanceerde zonder hem zelf eerst te hebben gepolst.Idioot natuurlijk.,N,1,N,N,N
