jobid,unit_id,topic,text,majority,agreement,Amani,Karishma,Nel,Nisanur,n.p.reesink@student.vu.nl
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-19-VVD,Agriculture,"De partij zegt in haar verkiezingsprogramma 'vast te houden aan het doel de stikstofuitstoot in 2030 te halveren', maar lijsttrekker Frans Timmermans heeft die doelstelling publiekelijk laten vallen.Hij zegt, net als de **VVD**, in debatten en interviews dat de discussie over 'jaartallen' niet productief is en dat de overheid (nog meer) moet luisteren naar boeren.Tegelijkertijd stelt hij (in een interview met de Volkskrant):",N,0.5,R,N,N,R,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-2-BBB,Agriculture,"Tweede KamerverkiezingenDe **BBB** plaatst landbouw ferm op de eerste plaats, de PvdD wil 'ruimte voor alles wat groeit en bloeit, zoemt en zingt'.Bij1 plaatst de belangen van de natuur altijd boven die van 'haar uitbuiters', terwijl FvD eist dat 'het volledige stikstofbeleid van tafel' gaat.",R,0.75,R,N,R,R,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-2-PvdD,Agriculture,"Tweede KamerverkiezingenDe BBB plaatst landbouw ferm op de eerste plaats, de **PvdD** wil 'ruimte voor alles wat groeit en bloeit, zoemt en zingt'.Bij1 plaatst de belangen van de natuur altijd boven die van 'haar uitbuiters', terwijl FvD eist dat 'het volledige stikstofbeleid van tafel' gaat.",L,0.5,N,N,L,L,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-25-VVD,Agriculture,in de wet staat alleen dat de stikstofneerslag tot een bepaald niveau moet dalen.Het moet gezegd dat de **VVD** als enige rechtse partij zo sportief was haar landbouw- en natuurplannen te laten doorrekenen door het Planbureau voor de Leefomgeving (PBL).Met als onvermijdelijk resultaat dat de VDD er in de vergelijking met vier linksere partijen als slechtste uitkwam.,N,1,N,N,N,N,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-3-FvD,Agriculture,"De BBB plaatst landbouw ferm op de eerste plaats, de PvdD wil 'ruimte voor alles wat groeit en bloeit, zoemt en zingt'.Bij1 plaatst de belangen van de natuur altijd boven die van 'haar uitbuiters', terwijl **FvD** eist dat 'het volledige stikstofbeleid van tafel' gaat.De verschillen zijn groot.",R,1,R,R,R,R,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-30-CDA,Agriculture,"Wel is duidelijk dat de natuur zich moet schikken naar de belangen van de landbouw.'De duurzaamheidstransitie moet op zo'n manier en met zo'n tempo dat de landbouw en visserij het kunnen meemaken', schrijft het **CDA**.Centraal staat dus niet wat nodig is voor natuurherstel, maar het comfort van boeren en vissers.",R,1,R,R,R,R,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-34-CDA,Agriculture,"'Het is voor het CDA belangrijk dat de implementatie van de Kaderrichtlijn Water en de Nitraatrichtlijn zo wordt, dat ze de land- en tuinbouwsector perspectief biedt.'Het wettelijke doeljaar 2035 voor het halveren van de stikstofuitstoot heet in het **CDA-programma** een 'streefdoel'.De voorstellen van NSC lijken qua vaagheid en ambities sterk op die van het CDA, hoewel Pieter Omtzigt een verbod op de bouw van nieuwe megastallen bepleit.",L,0.75,L,L,R,L,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-35-CDA,Agriculture,"Het wettelijke doeljaar 2035 voor het halveren van de stikstofuitstoot heet in het CDA-programma een 'streefdoel'.De voorstellen van NSC lijken qua vaagheid en ambities sterk op die van het **CDA**, hoewel Pieter Omtzigt een verbod op de bouw van nieuwe megastallen bepleit.Omtzigt zet vraagtekens bij het redden van 'snippernatuur'.",L,0.75,L,L,N,L,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-35-NSC,Agriculture,"Het wettelijke doeljaar 2035 voor het halveren van de stikstofuitstoot heet in het CDA-programma een 'streefdoel'.De voorstellen van **NSC** lijken qua vaagheid en ambities sterk op die van het CDA, hoewel Pieter **Omtzigt** een verbod op de bouw van nieuwe megastallen bepleit.Omtzigt zet vraagtekens bij het redden van 'snippernatuur'.",L,1,L,L,L,L,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-36-NSC,Agriculture,"De voorstellen van NSC lijken qua vaagheid en ambities sterk op die van het CDA, hoewel Pieter Omtzigt een verbod op de bouw van nieuwe megastallen bepleit.**Omtzigt** zet vraagtekens bij het redden van 'snippernatuur'.NSC wil het beheer over kleine natuurgebieden kunnen overdragen aan boeren.",R,1,R,R,R,R,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-37-NSC,Agriculture,Omtzigt zet vraagtekens bij het redden van 'snippernatuur'.**NSC** wil het beheer over kleine natuurgebieden kunnen overdragen aan boeren.'Er komt een right to challenge voor agrarische collectieven om het beheer van kleinere natuurgebieden over te nemen van beheerders van natuurterreinen.',R,1,R,R,R,R,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-39-NSC,Agriculture,'Er komt een right to challenge voor agrarische collectieven om het beheer van kleinere natuurgebieden over te nemen van beheerders van natuurterreinen.'**NSC** lijkt boeren zelfs de regie over alle natuurgebieden te willen geven: 'Onderhoud en beheer van natuur besteden we uit aan de lokaal gevestigde agrariërs.'De ChristenUnie kiest vooral voor natuur die tegen betaling door boeren wordt beheerd.,R,1,R,R,R,R,NA
651,a3fb7ba8794c843948e3539fae71e16ea20e182cd63f0cf0bd45cfb2-30-GL/PvdA,Agriculture,"Volgens de PVV-leider is de enige manier om te voorkomen dat Timmermans aan de macht komt 'de PVV zo groot mogelijk te maken'.Opvallend was dat **Timmermans** zelf, die de afgelopen dagen waarschuwde voor een verkiezingsuitslag waarbij Wilders de grootste wordt of aanschuift bij de formatietafel, daar tijdens het debat niet op terugkwam.In plaats daarvan benadrukte hij tijdens een debat over het klimaatbeleid en stikstof meermaals dat er 'linksom of rechtsom""' gewoon afspraken gemaakt moeten worden.",N,1,N,N,N,N,NA
651,ab7a148aa61682dc6fcfb85d2c48b47f96e141450225cf4ab26f6c00-73-GL/PvdA,Agriculture,"Hij blijft bij zijn besluit om op de gecombineerde partij te stemmen, maar het kost hem moeite.""Dat Frans **Timmermans** onlangs het stikstofdoel (de uitstoot halveren in 2030, red.) heeft losgelaten, vind ik ongelooflijk.Het bevalt me niks.",R,0.75,R,R,N,R,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-40-CU,Agriculture,"NSC lijkt boeren zelfs de regie over alle natuurgebieden te willen geven: 'Onderhoud en beheer van natuur besteden we uit aan de lokaal gevestigde agrariërs.'De **ChristenUnie** kiest vooral voor natuur die tegen betaling door boeren wordt beheerd.Het PBL tekent daarbij aan dat agrarisch landschapsbeheer tot nu toe erg weinig natuurwinst oplevert, omdat boeren massaal kiezen voor lichte vormen van beheer die hun gangbare bedrijfsvoering niet al te veel in de weg zitten.",R,1,NA,R,R,R,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-42-D66,Agriculture,"Het PBL tekent daarbij aan dat agrarisch landschapsbeheer tot nu toe erg weinig natuurwinst oplevert, omdat boeren massaal kiezen voor lichte vormen van beheer die hun gangbare bedrijfsvoering niet al te veel in de weg zitten.In de meeste verkiezingsprogramma's, ook die van de relatief natuurvriendelijke Volt en **D66**, staat niet of partijen duidelijke normen willen stellen aan de kwaliteit en zwaarte van het natuurbeheer door boeren.Op de uiterste rechter- en linkerflank maken partijen wel duidelijke keuzes.",N,1,NA,N,N,N,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-42-Volt,Agriculture,"Het PBL tekent daarbij aan dat agrarisch landschapsbeheer tot nu toe erg weinig natuurwinst oplevert, omdat boeren massaal kiezen voor lichte vormen van beheer die hun gangbare bedrijfsvoering niet al te veel in de weg zitten.In de meeste verkiezingsprogramma's, ook die van de relatief natuurvriendelijke **Volt** en D66, staat niet of partijen duidelijke normen willen stellen aan de kwaliteit en zwaarte van het natuurbeheer door boeren.Op de uiterste rechter- en linkerflank maken partijen wel duidelijke keuzes.",N,1,NA,N,N,N,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-46-FvD,Agriculture,"Het natuurbelang is voor deze partij volledig ondergeschikt aan het landbouwbelang.De PVV, JA21, **FvD** en BVNL sluiten zich daarbij aan, waarbij de PVV spreekt van een 'totale hetze' tegen boeren en **FvD** van 'absurde stikstofregels die boeren het werken onmogelijk maken'.Al deze partijen vinden dat Nederland de Europese natuurwetten ter discussie moet stellen dan wel negeren.",R,1,NA,R,R,R,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-46-JA21,Agriculture,"Het natuurbelang is voor deze partij volledig ondergeschikt aan het landbouwbelang.De PVV, **JA21**, FvD en BVNL sluiten zich daarbij aan, waarbij de PVV spreekt van een 'totale hetze' tegen boeren en FvD van 'absurde stikstofregels die boeren het werken onmogelijk maken'.Al deze partijen vinden dat Nederland de Europese natuurwetten ter discussie moet stellen dan wel negeren.",R,1,NA,R,R,R,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-46-PVV,Agriculture,"Het natuurbelang is voor deze partij volledig ondergeschikt aan het landbouwbelang.De **PVV**, JA21, FvD en BVNL sluiten zich daarbij aan, waarbij de **PVV** spreekt van een 'totale hetze' tegen boeren en FvD van 'absurde stikstofregels die boeren het werken onmogelijk maken'.Al deze partijen vinden dat Nederland de Europese natuurwetten ter discussie moet stellen dan wel negeren.",R,1,NA,R,R,R,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-48-PvdD,Agriculture,Al deze partijen vinden dat Nederland de Europese natuurwetten ter discussie moet stellen dan wel negeren.De Partij voor de **Dieren** (**PvdD**) en Bij1 kiezen voor het andere uiterste:het zo snel mogelijk beëindigen van de intensieve landbouw.,L,1,NA,L,L,L,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-50-PvdD,Agriculture,het zo snel mogelijk beëindigen van de intensieve landbouw.De **PvdD** wil de veestapel al binnen twee jaar met driekwart laten krimpen en het natuurareaal vóór 2027 uitbreiden.'De natuur is het fundament van ons bestaan.,L,1,NA,L,L,L,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-60-SGP,Agriculture,"Plannen ten aanzien van de komst van de wolf zijn een goede graadmeter voor de natuur- dan wel boervriendelijkheid van de verkiezingsprogramma's.Rechtse partijen willen het roofdier de toegang tot Nederland ontzeggen en de exemplaren die zich toch de grens over wagen, het liefst laten afschieten door 'goedwillende' jagers (**SGP**).Het CDA en de BBB willen daarnaast de jacht op grauwe ganzen openen, omdat hun grasvraat boeren schade berokkent.",R,0.6666666666666666,NA,R,R,N,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-61-BBB,Agriculture,"Rechtse partijen willen het roofdier de toegang tot Nederland ontzeggen en de exemplaren die zich toch de grens over wagen, het liefst laten afschieten door 'goedwillende' jagers (SGP).Het CDA en de **BBB** willen daarnaast de jacht op grauwe ganzen openen, omdat hun grasvraat boeren schade berokkent.Linkse partijen verwelkomen de wolf juist en willen het publiek via betere voorlichting leren samenleven met het wilde dier, waarbij ze wolvenschade voor boeren blijven vergoeden.",R,0.6666666666666666,NA,R,R,N,NA
