jobid,unit_id,topic,text,majority,agreement,Amani,Karishma,Nisanur
495,bc47ba26b0f38072cab42de2c547ce048cf30acdc01fba39021b201c-39-CU,CivilRights,"Gingen e-mails naar leden tot nu toe vooral over 'zorgzame gemeenschappen' en 'grote uitdagingen' voor Nederland, inmiddels luidt de partij de alarmbel over 'het christelijke geluid' in de politiek.Want een stem op Omtzigt brengt dat geluid in gevaar, zei partijleider **Bikker** zaterdag op een campagnebijeenkomst in Veenendaal.""Mensen weten waar wij staan rond onderwijsvrijheid, medische ethiek of het levenseinde.",R,1,R,R,R
495,bc47ba26b0f38072cab42de2c547ce048cf30acdc01fba39021b201c-39-NSC,CivilRights,"Gingen e-mails naar leden tot nu toe vooral over 'zorgzame gemeenschappen' en 'grote uitdagingen' voor Nederland, inmiddels luidt de partij de alarmbel over 'het christelijke geluid' in de politiek.Want een stem op **Omtzigt** brengt dat geluid in gevaar, zei partijleider Bikker zaterdag op een campagnebijeenkomst in Veenendaal.""Mensen weten waar wij staan rond onderwijsvrijheid, medische ethiek of het levenseinde.",N,0.6666666666666666,L,N,N
495,bc47ba26b0f38072cab42de2c547ce048cf30acdc01fba39021b201c-39-Overig,CivilRights,"Gingen e-mails naar leden tot nu toe vooral over 'zorgzame gemeenschappen' en 'grote uitdagingen' voor Nederland, inmiddels luidt de partij de alarmbel over 'het christelijke geluid' in de politiek.Want een stem op Omtzigt brengt dat geluid in gevaar, zei **partijleider** Bikker zaterdag op een campagnebijeenkomst in Veenendaal.""Mensen weten waar wij staan rond onderwijsvrijheid, medische ethiek of het levenseinde.",R,1,R,R,R
495,bc47ba26b0f38072cab42de2c547ce048cf30acdc01fba39021b201c-42-Overig,CivilRights,"Die standpunten hebben wij niet zómaar, die komen uit onze christelijke wortels.En kijk, Pieter is absoluut een christelijke **lijsttrekker**, maar zijn partij is wel op een andere leest geschoeid.Wat stemmen zijn fractiegenoten straks bij principiële onderwerpen?",N,0.6666666666666666,N,R,N
495,e94be610bb88a35527b6e7bf3113d0050f2107b2ce73e3af3c144373-3-PVV,CivilRights,Hun mening is eenduidig:**Wilders**' lot is zijn eigen keuze.Met de PVV in de regering zullen veel van onze landgenoten ervaren dat ze er van hun overheid eigenlijk niet mogen zijn.,R,0.6666666666666666,R,N,R
495,e94be610bb88a35527b6e7bf3113d0050f2107b2ce73e3af3c144373-39-PVV,CivilRights,Chris Papjes EdeIk vind de vraag of de kiezers van **Wilders** mogen worden uitgesloten zéér hypocriet.Ten eerste is Wilders extreemrechts en heeft hij geen boodschap aan onze grondwet.,R,1,R,R,R
495,e94be610bb88a35527b6e7bf3113d0050f2107b2ce73e3af3c144373-4-PVV,CivilRights,Wilders' lot is zijn eigen keuze.Met de **PVV** in de regering zullen veel van onze landgenoten ervaren dat ze er van hun overheid eigenlijk niet mogen zijn.Dat zij niet thuis horen in het land dat ook hun land is geworden.,R,1,R,R,R
495,e94be610bb88a35527b6e7bf3113d0050f2107b2ce73e3af3c144373-40-PVV,CivilRights,Ik vind de vraag of de kiezers van Wilders mogen worden uitgesloten zéér hypocriet.Ten eerste is **Wilders** extreemrechts en heeft hij geen boodschap aan onze grondwet.Dat is meer dan voldoende grond voor uitsluiting.,R,1,R,R,R
495,e94be610bb88a35527b6e7bf3113d0050f2107b2ce73e3af3c144373-49-PVV,CivilRights,"Proces tegen de heer Wilders in 2026:**Wilders** zal spreken over een 'neprechtbank' die het vonnis van tevoren al klaar had liggen.Onbehoorlijk, vindt de rechtbank, want daarmee tornt Wilders aan de rechtsstaat.",R,0.6666666666666666,R,N,R
495,e94be610bb88a35527b6e7bf3113d0050f2107b2ce73e3af3c144373-50-PVV,CivilRights,"Wilders zal spreken over een 'neprechtbank' die het vonnis van tevoren al klaar had liggen.Onbehoorlijk, vindt de rechtbank, want daarmee tornt **Wilders** aan de rechtsstaat.Wilders trekt zich daar overigens weinig van aan: vlak na het vonnis zet hij de drie rechters neer als 'PVV-haters'.",R,0.6666666666666666,R,N,R
495,e94be610bb88a35527b6e7bf3113d0050f2107b2ce73e3af3c144373-56-PVV,CivilRights,Ik hoop dat Omtzigt de rug nu recht houdt.Willen wij **Wilders** grappen horen maken over mensen met overgewicht (SBS6-debat)?Vinden we het normaal dat hij het heeft over 'genderterreur'?,R,0.6666666666666666,R,N,R
495,eea9178eb661fdd2fa136ed8b70c8f739c9c17702b9eeacfdb62d375-24-FvD,CivilRights,Ik heb mijn studie als pedagogisch medewerker afgemaakt en we hebben een derde kind gekregen.'Dit keer ga ik stemmen op **Forum** voor Democratie.Ik sta heel erg achter hun traditionele ideeën over opvoeden.,R,1,R,R,R
495,eea9178eb661fdd2fa136ed8b70c8f739c9c17702b9eeacfdb62d375-31-FvD,CivilRights,"Dat is geen keuze, maar een recht.Tegelijkertijd snap ik dat Thierry **Baudet** streng is:dit is zijn land, zijn grond.'",N,1,N,N,N
495,eea9178eb661fdd2fa136ed8b70c8f739c9c17702b9eeacfdb62d375-50-Denk,CivilRights,"Denk is volgens hem vaak een proteststem tegen de wijze waarop gevestigde partijen omgaan met migratie, armoede en discriminatie.Sylvana Simons (Bij1) verlaat de politiek.**Denk** heeft met Stephan van **Baarle** een nieuwe lijsttrekker.De partij zal vermoedelijk garen spinnen bij Van Baarles harde veroordeling van de Israëlische bombardementen op Gaza en de wijze waarop de Nederlandse regering daarop reageerde.",N,0.6666666666666666,L,N,N
495,eea9178eb661fdd2fa136ed8b70c8f739c9c17702b9eeacfdb62d375-50-Overig,CivilRights,"Denk is volgens hem vaak een proteststem tegen de wijze waarop gevestigde partijen omgaan met migratie, armoede en discriminatie.Sylvana Simons (Bij1) verlaat de politiek.Denk heeft met Stephan van Baarle een nieuwe **lijsttrekker**.De partij zal vermoedelijk garen spinnen bij Van Baarles harde veroordeling van de Israëlische bombardementen op Gaza en de wijze waarop de Nederlandse regering daarop reageerde.",N,0.6666666666666666,L,N,N
495,eeb6a63e1e5de89246b700d2b28879fa2fe44a620acc6090656f9d46-18-NSC,CivilRights,ik kan niet geloven dat ik dit gesprek nog voer.Gomperts kan er gezien de peilingen maar beter aan wennen: met Omtzigts **NSC** aan het roer dreigt Nederland een paar decennia terug te gaan als het gaat om rechten voor vrouwen en de lhbti-gemeenschap.Omtzigt stemde vorig jaar tegen het afschaffen van de verplichte bedenktijd voor abortus.,R,1,R,R,R
495,eeb6a63e1e5de89246b700d2b28879fa2fe44a620acc6090656f9d46-19-NSC,CivilRights,Gomperts kan er gezien de peilingen maar beter aan wennen: met Omtzigts NSC aan het roer dreigt Nederland een paar decennia terug te gaan als het gaat om rechten voor vrouwen en de lhbti-gemeenschap.**Omtzigt** stemde vorig jaar tegen het afschaffen van de verplichte bedenktijd voor abortus.Momenteel ziet hij een coalitie voor zich met de SGP - waarvan de lijsttrekker antiabortusactivisten expliciet steunt.,R,1,R,R,R
495,eeb6a63e1e5de89246b700d2b28879fa2fe44a620acc6090656f9d46-20-Overig,CivilRights,Omtzigt stemde vorig jaar tegen het afschaffen van de verplichte bedenktijd voor abortus.Momenteel ziet hij een coalitie voor zich met de SGP - waarvan de **lijsttrekker** antiabortusactivisten expliciet steunt.In 2022 stemde Omtzigt tegen een motie om te onderzoeken welke wetswijzigingen nodig zijn om meerouderschap mogelijk te maken - het CDA was voor.,R,1,R,R,R
495,eeb6a63e1e5de89246b700d2b28879fa2fe44a620acc6090656f9d46-21-CDA,CivilRights,Momenteel ziet hij een coalitie voor zich met de SGP - waarvan de lijsttrekker antiabortusactivisten expliciet steunt.In 2022 stemde Omtzigt tegen een motie om te onderzoeken welke wetswijzigingen nodig zijn om meerouderschap mogelijk te maken - het **CDA** was voor.Omtzigt vindt het nou eenmaal 'logisch' dat een kind twee ouders heeft.,L,1,L,L,L
495,eeb6a63e1e5de89246b700d2b28879fa2fe44a620acc6090656f9d46-21-NSC,CivilRights,Momenteel ziet hij een coalitie voor zich met de SGP - waarvan de lijsttrekker antiabortusactivisten expliciet steunt.In 2022 stemde **Omtzigt** tegen een motie om te onderzoeken welke wetswijzigingen nodig zijn om meerouderschap mogelijk te maken - het CDA was voor.Omtzigt vindt het nou eenmaal 'logisch' dat een kind twee ouders heeft.,R,1,R,R,R
495,eeb6a63e1e5de89246b700d2b28879fa2fe44a620acc6090656f9d46-26-NSC,CivilRights,"Niet om de kloof tussen rijk en arm, wit en zwart, vrouw en man.Als **Omtzigt** het heeft over het toeslagenschandaal, heeft hij het opvallend genoeg vrijwel nooit over het feit dat de belastingdienst tot wel zestien keer vaker onderzoek deed naar gezinnen met een migratieachtergrond.Hij zwijgt nadrukkelijk over de menselijke kant van beleid - over de persoonlijke en sociaaleconomische gevolgen, bijvoorbeeld, die het bemoeilijken van zelfbeschikking voor vrouwen met zich meebrengt.",R,0.6666666666666666,R,N,R
495,eeb6a63e1e5de89246b700d2b28879fa2fe44a620acc6090656f9d46-6-NSC,CivilRights,"ik had hem graag zien zitten tussen basisschoolkinderen met vragen als 'wat is uw grootste angst?' en 'wat vindt u moeilijk?'.Maar nog liever had ik **Omtzigt** zondagavond gezien bij Nadia over abortus.Aan het woord kwam Carel de Lange, een conservatieve youtuber die abortus moord vindt.",N,1,N,N,N
495,fb93184ff3832aca3ecdfc39951b9bff65ee42c1acb22c4777434779-3-SGP,CivilRights,"Als Westlander schaam ik mij diep over het besluit van de gemeente Westland het GGD- spreekuur voor jongeren over seksualiteit te schrappen (Ten eerste, 17/11).Opnieuw maak ik mij boos over partijen als Denk, VVD, **SGP**, FvD die hun angsten botvieren ten koste van mensen die het recht hebben te kiezen wie ze willen zijn.Iedereen heeft zijn/haar handen vol aan het eigen leven.",R,1,R,R,R
