jobid,unit_id,topic,text,majority,agreement,Amani,Karishma,Nel,Nisanur
652,6cdb89865f97993cbe4cf1127124f44f225940aa3685a293387017ef-209-Overig,Agriculture,"De nummer twee op de kandidatenlijst, Mona Keijzer, is voor BBB kandidaat-premier en de nummer drie, Gijs Tuinman, ziet Van der Plas als minister van Defensie.""En Aalt Dijkhuizen, voormalig voorzitter van Wageningen Universiteit, staat al heel lang op mijn lijst als de **minister** van Landbouw.""Van der Plas, die NSC-voorman Omtzigt vaak heeft geprezen, zei dat de NSC-plannen voor de landbouw 20.000 banen gaan kosten.",N,1,N,N,N,N
652,6d0a467b176be3b903b241253c1522457e31716df85ecb865495e2b8-5-GL/PvdA,Agriculture,"De deur naar de VVD staat nog op een kier, maar niet van harte.Veel liever zoekt **Timmermans** naar de raakvlakken met NSC, zo bleek tijdens de verschillende debatten.U liet in het eerste RTL-debat 2030 los als jaartal om de stikstofuitstoot met de helft te verminderen.",N,1,N,N,N,N
652,6d0a467b176be3b903b241253c1522457e31716df85ecb865495e2b8-5-NSC,Agriculture,"De deur naar de VVD staat nog op een kier, maar niet van harte.Veel liever zoekt Timmermans naar de raakvlakken met **NSC**, zo bleek tijdens de verschillende debatten.U liet in het eerste RTL-debat 2030 los als jaartal om de stikstofuitstoot met de helft te verminderen.",N,1,N,N,N,N
652,728389390789ed132c3abc2a831014345e99ca621b73cb4a6b580bce-282-BBB,Agriculture,"Van der Plas (BBB): 'Boeren kijken met angst en beven naar Pieter'Hoewel **BBB-lijsttrekker** Van der **Plas** een coalitie met Nieuw Sociaal Contract (NSC) mogelijk acht, heeft die partij ook standpunten waar zij over twijfelt.""Ik zie ook dingen in de programma's staan waarvan ik denk: tja, ik weet 't niet helemaal"", zegt ze bij NU.nl .",N,1,N,N,N,N
652,728389390789ed132c3abc2a831014345e99ca621b73cb4a6b580bce-282-NSC,Agriculture,"Van der Plas (BBB): 'Boeren kijken met angst en beven naar Pieter'Hoewel BBB-lijsttrekker Van der Plas een coalitie met Nieuw Sociaal **Contract** (**NSC**) mogelijk acht, heeft die partij ook standpunten waar zij over twijfelt.""Ik zie ook dingen in de programma's staan waarvan ik denk: tja, ik weet 't niet helemaal"", zegt ze bij NU.nl .",N,1,N,N,N,N
652,728389390789ed132c3abc2a831014345e99ca621b73cb4a6b580bce-283-Denk,Agriculture,"Hoewel BBB-lijsttrekker Van der Plas een coalitie met Nieuw Sociaal Contract (NSC) mogelijk acht, heeft die partij ook standpunten waar zij over twijfelt.""Ik zie ook dingen in de programma's staan waarvan ik **denk**: tja, ik weet 't niet helemaal"", zegt ze bij NU.nl .Zo is NSC voor een krimp van de intensieve varkenshouderij, en wil de partij toe naar grondgebonden melkveehouderij.",N,1,N,N,N,N
652,728389390789ed132c3abc2a831014345e99ca621b73cb4a6b580bce-285-BBB,Agriculture,"Zo is NSC voor een krimp van de intensieve varkenshouderij, en wil de partij toe naar grondgebonden melkveehouderij.Dat baart boeren zorgen, stelt Van der **Plas**.""Veel boeren willen door.",R,0.75,R,N,R,R
652,728389390789ed132c3abc2a831014345e99ca621b73cb4a6b580bce-300-PvdD,Agriculture,"""Er is geen enkele partij die zo vasthoudt aan het beschermen van de natuur.""**Ouwehand** herhaalde dat door het aantal dieren in Nederland grote problemen ontstaan voor bodem en water en ook voor de boeren zelf.Ze wil de veestapel met 75 procent terugbrengen, maar benadrukt ook dat boeren perspectief moet worden geboden.",L,1,L,L,L,L
652,728389390789ed132c3abc2a831014345e99ca621b73cb4a6b580bce-306-PvdD,Agriculture,"Die moet dat gewoon kwijtschelden.""**Ouwehand** noemde het verder dringend noodzakelijk dat we veel minder vlees en zuivel gaan eten: ""Dat verhaal is nooit verteld.Politici zijn bang dat De Telegraaf dan met een voorpagina komt met een huilende man die zegt: 'Den Haag pakt mijn vlees af'.""",L,0.75,L,L,L,N
652,728389390789ed132c3abc2a831014345e99ca621b73cb4a6b580bce-310-Overig,Agriculture,"""Op heel veel plekken is veel mogelijk.""De **PvdD-lijsttrekker** zei verder dat je het beste kunt omschakelen naar een plantaardiger leefwijze.Dat is volgens haar ook in het belang van de boeren zelf.",L,1,L,L,L,L
652,728389390789ed132c3abc2a831014345e99ca621b73cb4a6b580bce-310-PvdD,Agriculture,"""Op heel veel plekken is veel mogelijk.""De **PvdD-lijsttrekker** zei verder dat je het beste kunt omschakelen naar een plantaardiger leefwijze.Dat is volgens haar ook in het belang van de boeren zelf.",L,1,L,L,L,L
652,728389390789ed132c3abc2a831014345e99ca621b73cb4a6b580bce-312-PvdD,Agriculture,"Dat is volgens haar ook in het belang van de boeren zelf.In het gesprek ging het ook over de interne strubbelingen in de Partij voor de **Dieren** eerder dit jaar, die **Ouwehand** bijna het lijsttrekkerschap kostten.Ze benadrukte dat leden haar steunen in de koers om de partij door te ontwikkelen.",N,1,N,N,N,N
652,b0dd1e27762889a89cdc18acd8de72dbc7b952aaba3c9da889eaf6a1-41-Volt,Agriculture,"Door het afschaffen van de werkgeverspremies stijgen de lonen fors als Volt het voor het zeggen krijgt, en daarmee ook de koopkracht.Voor de totaalverbouwing van **Volt** geldt echter in het kwadraat dat die niet in één kabinetsperiode is uit te voeren.Wat betreft de stikstofuitstoot behalen alle vijf partijen die hun programma voorlegden aan het PBL op papier een beter resultaat dan het huidige kabinetsbeleid.",N,1,N,N,N,N
652,b0dd1e27762889a89cdc18acd8de72dbc7b952aaba3c9da889eaf6a1-43-CU,Agriculture,"Wat betreft de stikstofuitstoot behalen alle vijf partijen die hun programma voorlegden aan het PBL op papier een beter resultaat dan het huidige kabinetsbeleid.Bij VVD, **ChristenUnie** en Volt blijft het door het ministerie van Landbouw gestelde reductiedoel echter buiten bereik, terwijl dat doel wel haalbaar is (maar niet met zekerheid) als de plannen van D66 en GroenLinks- PvdA worden uitgevoerd.De VVD laat de veestapel met circa 10 procent krimpen, de ChristenUnie circa 20 procent en de andere drie partijen 30 tot 35 procent.",L,0.5,N,L,R,L
652,b0dd1e27762889a89cdc18acd8de72dbc7b952aaba3c9da889eaf6a1-43-D66,Agriculture,"Wat betreft de stikstofuitstoot behalen alle vijf partijen die hun programma voorlegden aan het PBL op papier een beter resultaat dan het huidige kabinetsbeleid.Bij VVD, ChristenUnie en Volt blijft het door het ministerie van Landbouw gestelde reductiedoel echter buiten bereik, terwijl dat doel wel haalbaar is (maar niet met zekerheid) als de plannen van **D66** en GroenLinks- PvdA worden uitgevoerd.De VVD laat de veestapel met circa 10 procent krimpen, de ChristenUnie circa 20 procent en de andere drie partijen 30 tot 35 procent.",L,1,L,L,L,L
652,b0dd1e27762889a89cdc18acd8de72dbc7b952aaba3c9da889eaf6a1-43-GL/PvdA,Agriculture,"Wat betreft de stikstofuitstoot behalen alle vijf partijen die hun programma voorlegden aan het PBL op papier een beter resultaat dan het huidige kabinetsbeleid.Bij VVD, ChristenUnie en Volt blijft het door het ministerie van Landbouw gestelde reductiedoel echter buiten bereik, terwijl dat doel wel haalbaar is (maar niet met zekerheid) als de plannen van D66 en **GroenLinks-** **PvdA** worden uitgevoerd.De VVD laat de veestapel met circa 10 procent krimpen, de ChristenUnie circa 20 procent en de andere drie partijen 30 tot 35 procent.",L,1,L,L,L,L
652,b0dd1e27762889a89cdc18acd8de72dbc7b952aaba3c9da889eaf6a1-43-VVD,Agriculture,"Wat betreft de stikstofuitstoot behalen alle vijf partijen die hun programma voorlegden aan het PBL op papier een beter resultaat dan het huidige kabinetsbeleid.Bij **VVD**, ChristenUnie en Volt blijft het door het ministerie van Landbouw gestelde reductiedoel echter buiten bereik, terwijl dat doel wel haalbaar is (maar niet met zekerheid) als de plannen van D66 en GroenLinks- PvdA worden uitgevoerd.De VVD laat de veestapel met circa 10 procent krimpen, de ChristenUnie circa 20 procent en de andere drie partijen 30 tot 35 procent.",L,0.5,N,L,R,L
652,b0dd1e27762889a89cdc18acd8de72dbc7b952aaba3c9da889eaf6a1-44-CU,Agriculture,"Bij VVD, ChristenUnie en Volt blijft het door het ministerie van Landbouw gestelde reductiedoel echter buiten bereik, terwijl dat doel wel haalbaar is (maar niet met zekerheid) als de plannen van D66 en GroenLinks- PvdA worden uitgevoerd.De VVD laat de veestapel met circa 10 procent krimpen, de **ChristenUnie** circa 20 procent en de andere drie partijen 30 tot 35 procent.Het klimaatdoel van 55 procent broeikasgasreductie in 2030 wordt alleen door Volt met zekerheid gehaald.",L,0.5,N,L,N,L
652,b0dd1e27762889a89cdc18acd8de72dbc7b952aaba3c9da889eaf6a1-44-VVD,Agriculture,"Bij VVD, ChristenUnie en Volt blijft het door het ministerie van Landbouw gestelde reductiedoel echter buiten bereik, terwijl dat doel wel haalbaar is (maar niet met zekerheid) als de plannen van D66 en GroenLinks- PvdA worden uitgevoerd.De **VVD** laat de veestapel met circa 10 procent krimpen, de ChristenUnie circa 20 procent en de andere drie partijen 30 tot 35 procent.Het klimaatdoel van 55 procent broeikasgasreductie in 2030 wordt alleen door Volt met zekerheid gehaald.",L,0.5,N,L,N,L
652,b471324d81f07db836514df34ea2779863bb7c874df20615f7a5875e-5-GL/PvdA,Agriculture,"De deur naar de VVD staat nog op een kier, maar niet van harte.Veel liever zoekt **Timmermans** naar de raakvlakken met NSC, zo bleek tijdens de verschillende debatten.U liet in het eerste RTL-debat 2030 los als jaartal om de stikstofuitstoot met de helft te verminderen.",N,1,N,N,N,N
652,b471324d81f07db836514df34ea2779863bb7c874df20615f7a5875e-5-NSC,Agriculture,"De deur naar de VVD staat nog op een kier, maar niet van harte.Veel liever zoekt Timmermans naar de raakvlakken met **NSC**, zo bleek tijdens de verschillende debatten.U liet in het eerste RTL-debat 2030 los als jaartal om de stikstofuitstoot met de helft te verminderen.",N,1,N,N,N,N
652,c88daff716a7f6563daf3edd34754d68dd11d8f96793d3b811760a83-38-Overig,Agriculture,"Dat onze landbouw 'optimaal' is, maar dat die een aantal nadelen heeft die we zo goed mogelijk moeten indammen.""Dat zie je bijvoorbeeld terug aan het kaartje van **minister** Van der Wal, dat veel kwaad bloed bij boeren zette.Dat gaat uit van zonering, waarbij bedrijven verder weg van de natuur nog altijd mogen blijven groeien.",L,0.5,L,N,N,L
652,c88daff716a7f6563daf3edd34754d68dd11d8f96793d3b811760a83-4-BBB,Agriculture,"Maar beide partijen houden juist vast aan hetzelfde ideaalbeeld, schrijft emeritus hoogleraar Jan Douwe van der Ploeg in zijn boek Gesloten vanwege stikstof: dat van de ondernemende boer die efficiënt en grootschalig produceert.Farmers Defence Force, Agractie, de **BoerBurgerBeweging**.Een golf van nieuwe organisaties en instituties verwierf zich de laatste vijf jaar een prominente plek om de onvrede van boer en platteland kenbaar te maken.",R,0.75,R,N,R,R
652,dd7bee05f3cc7edfe1431a2ae8a3a49d5422d8bd539f3c51f73bdde6-15-BBB,Agriculture,"Maar qua levensopvatting wel historisch herkenbaar.**BBB** als de nieuwe KVP.Pragmatisch, gezellig en voor het platteland.",R,0.75,R,N,R,R
