jobid,unit_id,topic,text,majority,agreement,Amani,Nel,Nisanur,Sascha,n.p.reesink@student.vu.nl
555,aff15e0a740abc5beb3b18e15451e1228ce2ea42d621112833be3209-17-NSC,Education,"Het grote aantal internationale studenten leidt volgens hem tot allerlei problemen, zoals overvolle collegezalen, gebrek aan huisvesting en hoge werkdruk onder docenten.Pieter **Omtzigt** wil zelfs dat Nederlands de voertaal wordt voor alle opleidingen.Uitzonderingen daargelaten:",R,1,R,R,R,R,R
555,b12b60b568f906c4c5a862776db1e5689d8bfbd68e9674fc4d54ce18-146-Overig,Education,"Ze kan er niet bij dat er tegen de 'pechgeneratie' werd gezegd dat ze geen leenangst hoefden te hebben, maar dat de rente nu toch fors omgaat.Vrijdag schreef demissionair **minister** Dijkgraaf aan de Tweede Kamer dat hij een motie om de rente te bevriezen waarschijnlijk niet kan uitvoeren,.""En dan vind je het gek dat mensen het vertrouwen in de overheid verliezen?"", vraagt Marijnissen zich af?",R,0.6,R,N,R,N,R
555,b39092b7061b4920d074a813ee43f140aced0fa3cb1638564dd4c497-120-PVV,Education,Wel gaat er geld naar het behoud en toegankelijk maken van cultuur erfgoed.**PVV**Stoppen met „onzinnige” kunst- en cultuursubsidies,R,1,R,R,R,R,R
555,b3ad3d67ee3d34309fd448a34610865073cf0523362182388b7aab94-13-D66,Education,"Want als er één regeringspartij niet blij was met het vroegtijdige einde van het kabinet, was het D66.De VVD, die de coalitie liet ploffen op migratie, haalde zo een streep door het juist voor **D66** zo gunstige coalitie-akkoord.Daarin had toenmalig partijleider Sigrid Kaag veel progressieve punten weten binnen te slepen: op onderwijs, klimaat en stikstof.",L,1,L,L,L,L,L
555,c1fca2b6ef99bc7fc5363f690fa77101622876b0bd46994ba9632c8b-20-SGP,Education,"Partijen als de SP, PvdD, Forum en DENK spreken zich expliciet uit in hun programma voor het vastleggen van een maximale omvang.Het CDA, de VVD, de BBB en de **SGP** doen dat helemaal niet, aldus Teacher Tapp.Als de klassen kleiner worden, maakt dat het lerarentekort in eerste instantie echter groter.",N,1,N,N,N,N,N
555,c1fca2b6ef99bc7fc5363f690fa77101622876b0bd46994ba9632c8b-27-PVV,Education,"Het intensiveren van de inspectie op onnodige toetsdruk en administratie zijn samen met het neerzetten van enkel bevoegde leraren andere maatregelen uit de verkiezingsprogramma’s die leraren volgens Teacher Tapp graag doorgevoerd willen zien.Van de partijen spreekt echter alleen de **PVV** zich expliciet uit voor het uitsluitend inzetten van bevoegde leraren voor de klas.Tien partijen, zoals het NSC, D66 en de SP, noemen het helemaal niet in hun verkiezingsprogramma.",N,0.8,L,N,N,N,N
555,c76cdf228264fc91e7cb2a90ab49e84afdf9e5167dc6cfa88a028d64-144-Volt,Education,"De meeste politieke partijen willen het salaris van leraren (opnieuw) verhogen.Sommige partijen voor alle docenten (**Volt**, PvdD, SP), andere alleen voor wie lesgeeft in achterstandswijken (GL-PvdA, D66) of juist voor 'de beste leraren' (VVD).Per maand verdient een fulltime werkende docent in het primair onderwijs tussen de 3800 euro (starter) en 7900 euro per maand, inclusief vakantiegeld en eindejaarsuitkering.",L,1,L,L,L,L,L
555,ce51cef0e69d0947a83c1e9f0713926e67258d132ae6eab552b24d25-43-D66,Education,"Die formatie heeft niet voor niets negen maanden geduurd"", verklaart D66-leider Rob Jetten in het NOS Radio 1 Journaal.Ondanks die peilingen is **Jetten** optimistisch over de komende verkiezingen.""Ik merk nu in de campagne op straat dat mensen zien wat we hebben bereikt op het gebied van onderwijs en klimaat.",N,0.6,L,L,N,N,N
555,d0e9b18d58b0a9ce5950827228ca1e8dcaadc79ea6268a47176a20fa-156-Overig,Education,"Onderwijs belangrijk thema voor Volt, wel vragen over uitvoerbaarheid**Lijsttrekker** Laurens Dassen vanVolt was gisteravond te gast bij Nieuwsuur.",N,0.8,N,N,N,N,L
555,d0e9b18d58b0a9ce5950827228ca1e8dcaadc79ea6268a47176a20fa-156-Volt,Education,"Onderwijs belangrijk thema voor Volt, wel vragen over uitvoerbaarheidLijsttrekker Laurens **Dassen** vanVolt was gisteravond te gast bij Nieuwsuur.",N,1,N,N,N,N,N
555,d2cc3d3b5fc5b65f8548ec7fb76e0bb3da9630b787b600f8101b4e00-8-D66,Education,"dankzij deze wet mochten ze nu feiten en jaartallen stampen, in plaats van werken in een fabriek.CV GESCHIEDENIS EN **D66**Coen Brummer (1986) studeerde geschiedenis.",N,1,N,N,N,N,N
555,f1c6105d0b9cac8384b2aa1c1fd33b6d24b3936a6f0acdb20f5399eb-2-GL/PvdA,Education,"Frans Timmermans doet het goed in de peilingen.Als zijn partij, **GroenLinks-** **PvdA**, na de formatie mag regeren, wil deze de 'brede brugklas' invoeren.Dan zullen leerlingen pas na de derde klas van het voortgezet onderwijs een definitief schooladvies krijgen.",N,0.6,L,N,L,N,N
