jobid,unit_id,topic,text,majority,agreement,Amani,Karishma,Nel,Nisanur,Sascha,jellevanelburg@gmail.com,n.p.reesink@student.vu.nl
558,169eef28cca642802e08d4f1c45746962d5805cc97ab83348047ff38-32-PvdD,Environment,"""Ik ben niet tegen het eten van vlees.Toch stem ik **PvdD**, de enige partij die inziet dat we als we zo doorgaan de aarde onbewoonbaar maken voor mens en dier.Wat heb je aan een oneindig groeiende economie als de aarde daardoor onbewoonbaar wordt?""",L,0.8571428571428571,L,N,L,L,L,L,L
558,169eef28cca642802e08d4f1c45746962d5805cc97ab83348047ff38-37-GL/PvdA,Environment,"in de ziekenhuizen, huisartspraktijken, woningmarkt, het openbaar vervoer, het verkeer, de steden, in het onderwijs, bij de politie, de afbraak van de muziekscholen en dus de muziekcultuur stem ik uiteraard zeker niet op VVD, CDA of D66.""""Ik zweef nu tussen Partij voor de Dieren, bijv. omdat de PvdD oude leegstaande panden/fabrieken wil ombouwen tot woningen (...), én (tactisch) **GL-PvdA**, om een rechts blok te voorkomen, wat het land nog verder de afgrond in zal helpen.We zullen allemaal een flinke stap terug moeten doen om natuur/milieu/klimaat te redden, anders heeft de jeugd geen 'toekomst' meer.""",N,0.8571428571428571,N,N,N,N,N,L,N
558,169eef28cca642802e08d4f1c45746962d5805cc97ab83348047ff38-37-PvdD,Environment,"in de ziekenhuizen, huisartspraktijken, woningmarkt, het openbaar vervoer, het verkeer, de steden, in het onderwijs, bij de politie, de afbraak van de muziekscholen en dus de muziekcultuur stem ik uiteraard zeker niet op VVD, CDA of D66.""""Ik zweef nu tussen Partij voor de **Dieren**, bijv. omdat de **PvdD** oude leegstaande panden/fabrieken wil ombouwen tot woningen (...), én (tactisch) GL-PvdA, om een rechts blok te voorkomen, wat het land nog verder de afgrond in zal helpen.We zullen allemaal een flinke stap terug moeten doen om natuur/milieu/klimaat te redden, anders heeft de jeugd geen 'toekomst' meer.""",N,0.8571428571428571,N,N,N,N,N,L,N
558,169eef28cca642802e08d4f1c45746962d5805cc97ab83348047ff38-39-GL/PvdA,Environment,"We zullen allemaal een flinke stap terug moeten doen om natuur/milieu/klimaat te redden, anders heeft de jeugd geen 'toekomst' meer.""Maar niet alle strategische stemmen gaan naar **Timmermans**.Lezer PGJ_Ganzevles:",N,0.7142857142857143,N,L,N,N,N,L,N
558,18ba1b51856174ce93eb22cd3e3bb1900a1ab37b5eb9ebf9739039a7-124-CDA,Environment,"Normen, waarden en naar elkaar om kijken, staan weer hoog in het vaandel.De 40-jarige natuurkundige Henri **Bontenbal**, geboren in Rotterdam, is nog niet zo lang Kamerlid: sinds 2021.Hij maakte zich de afgelopen jaren hard voor kernenergie en duurzaamheid.",L,1,L,L,L,L,L,L,L
558,18ba1b51856174ce93eb22cd3e3bb1900a1ab37b5eb9ebf9739039a7-124-Overig,Environment,"Normen, waarden en naar elkaar om kijken, staan weer hoog in het vaandel.De 40-jarige natuurkundige Henri Bontenbal, geboren in Rotterdam, is nog niet zo lang **Kamerlid**: sinds 2021.Hij maakte zich de afgelopen jaren hard voor kernenergie en duurzaamheid.",L,1,L,L,L,L,L,L,L
558,23898bf58d35f95f438910fd86ff9bdc2a47052f6a3c235299d3f894-29-Denk,Environment,"De wegwerpbekers kunnen we heel vaak verkopen, de hardcups zijn bedoeld voor twee jaar gebruik.Maar dit is **denk** ik gewoon je verantwoordelijkheid nemen als bedrijf.”Er kwam een Kamermotie om de wegwerpbekertjes en bakjes te beschermen, mits ze 100 procent kunnen worden gerecyceld – al hoeft dat niet naar een nieuw bekertje of bakje te zijn zoals nu in de regels staat.",N,1,N,N,N,N,N,N,N
558,3a920fffe0877bf35ff7cb93b74a7740f8e4f3ccb169e0138300008e-28-D66,Environment,Met veel nog zwevende en strategisch denkende kiezers is er bij de slotdebatten op tv nog veel te winnen.Bij EenVandaag reageerde **D66-leider** Rob **Jetten** fel op zijn concurrent Timmermans toen deze hem verweet in Rutte IV het stikstofprobleem niet te hebben opgelost.Jetten herinnerde Timmermans er direct aan dat juist de GroenLinks-PvdA-leider de doelstelling van halvering van de uitstoot in 2030 deze campagne al heeft losgelaten.,N,0.5714285714285714,N,N,L,N,L,L,N
558,3a920fffe0877bf35ff7cb93b74a7740f8e4f3ccb169e0138300008e-28-GL/PvdA,Environment,Met veel nog zwevende en strategisch denkende kiezers is er bij de slotdebatten op tv nog veel te winnen.Bij EenVandaag reageerde D66-leider Rob Jetten fel op zijn concurrent **Timmermans** toen deze hem verweet in Rutte IV het stikstofprobleem niet te hebben opgelost.Jetten herinnerde Timmermans er direct aan dat juist de GroenLinks-PvdA-leider de doelstelling van halvering van de uitstoot in 2030 deze campagne al heeft losgelaten.,N,1,N,N,N,N,N,N,N
558,3a920fffe0877bf35ff7cb93b74a7740f8e4f3ccb169e0138300008e-29-D66,Environment,"Bij EenVandaag reageerde D66-leider Rob Jetten fel op zijn concurrent Timmermans toen deze hem verweet in Rutte IV het stikstofprobleem niet te hebben opgelost.**Jetten** herinnerde Timmermans er direct aan dat juist de GroenLinks-PvdA-leider de doelstelling van halvering van de uitstoot in 2030 deze campagne al heeft losgelaten.„We gaan het klimaat niet redden als progressieve politici geen ruggengraat tonen”, beet Jetten hem toe.",L,0.7142857142857143,L,N,L,L,L,L,N
558,3a920fffe0877bf35ff7cb93b74a7740f8e4f3ccb169e0138300008e-29-GL/PvdA,Environment,"Bij EenVandaag reageerde D66-leider Rob Jetten fel op zijn concurrent Timmermans toen deze hem verweet in Rutte IV het stikstofprobleem niet te hebben opgelost.Jetten herinnerde **Timmermans** er direct aan dat juist de **GroenLinks-PvdA-leider** de doelstelling van halvering van de uitstoot in 2030 deze campagne al heeft losgelaten.„We gaan het klimaat niet redden als progressieve politici geen ruggengraat tonen”, beet Jetten hem toe.",N,0.7142857142857143,N,N,N,N,N,R,R
558,3a920fffe0877bf35ff7cb93b74a7740f8e4f3ccb169e0138300008e-30-D66,Environment,"Jetten herinnerde Timmermans er direct aan dat juist de GroenLinks-PvdA-leider de doelstelling van halvering van de uitstoot in 2030 deze campagne al heeft losgelaten.„We gaan het klimaat niet redden als progressieve politici geen ruggengraat tonen”, beet **Jetten** hem toe.Wilders richtte zijn pijlen bij het thema migratie ook op Yesilgöz, die hij verweet wel ferme campagnetaal over migratie te spreken, maar het in de praktijk niet waar te maken.",L,0.8571428571428571,L,N,L,L,L,L,L
558,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-128-NSC,Environment,SP verwijt Omtzigt en CDA dat ze te weinig hebben gedaan aan bestaanszekerheid**NSC** en SP pleiten allebei om de kosten voor het dagelijks leven omlaag te brengen.NSC-leider Omtzigt wijst op de hoge belasting op gas.,N,0.7142857142857143,R,N,N,N,N,R,N
558,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-129-NSC,Environment,NSC en SP pleiten allebei om de kosten voor het dagelijks leven omlaag te brengen.**NSC-leider** **Omtzigt** wijst op de hoge belasting op gas.Die is volgens hem enorm gestegen.,N,0.7142857142857143,R,N,N,N,N,R,N
558,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-230-SGP,Environment,"Dassen noemt dat ""zondebokpolitiek"".**SGP-leider** **Stoffer** ziet juist een probleem bij beschermde diersoorten.""Bij het bouwen van woningen zitten soms dassen en marters in de weg.",R,0.5714285714285714,L,N,R,R,R,R,N
558,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-255-FvD,Environment,". Het geld dat nu aan klimaatbeleid wordt besteed kan volgens hem worden ingezet om dit probleem op te lossen.Bij1-leider Olf vindt dat **Baudet** er ""helemaal naast"" zit en dat in principe iedereen hier binnen mag komen:arbeidsmigranten zijn hier niet voor niets, we hebben ze nodig, zegt Olf.",N,0.8571428571428571,N,N,N,N,N,R,N
558,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-480-CDA,Environment,"Normen, waarden en naar elkaar om kijken, staan weer hoog in het vaandel.De 40-jarige natuurkundige Henri **Bontenbal**, geboren in Rotterdam, is nog niet zo lang Kamerlid: sinds 2021.Hij maakte zich de afgelopen jaren hard voor kernenergie en duurzaamheid.",L,1,L,L,L,L,L,L,L
558,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-480-Overig,Environment,"Normen, waarden en naar elkaar om kijken, staan weer hoog in het vaandel.De 40-jarige natuurkundige Henri Bontenbal, geboren in Rotterdam, is nog niet zo lang **Kamerlid**: sinds 2021.Hij maakte zich de afgelopen jaren hard voor kernenergie en duurzaamheid.",L,1,L,L,L,L,L,L,L
558,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-482-CDA,Environment,"Hij maakte zich de afgelopen jaren hard voor kernenergie en duurzaamheid.**Bontenbal** komt uit een gezin met acht kinderen en spreekt in interviews over zijn eigen ""vechtersmentaliteit"".Dat komt van pas:",L,1,L,L,L,L,L,L,L
558,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-53-D66,Environment,21:38**Jetten**:Timmermans zet 'groene ambities in de uitverkoop',L,0.8571428571428571,L,R,L,L,L,L,L
558,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-54-GL/PvdA,Environment,Jetten:**Timmermans** zet 'groene ambities in de uitverkoop'Jetten (D66) verwijt Timmermans (GL-PvdA) gemakkelijk klimaatambities weg te geven.,R,0.5714285714285714,R,R,N,N,N,R,R
558,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-55-D66,Environment,Timmermans zet 'groene ambities in de uitverkoop'**Jetten** (**D66**) verwijt Timmermans (GL-PvdA) gemakkelijk klimaatambities weg te geven.Volgens Timmermans moeten de twee elkaar niet aanvallen op de kleine verschillen tussen de partijen.,L,1,L,L,L,L,L,L,L
558,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-55-GL/PvdA,Environment,Timmermans zet 'groene ambities in de uitverkoop'Jetten (D66) verwijt **Timmermans** (**GL-PvdA**) gemakkelijk klimaatambities weg te geven.Volgens Timmermans moeten de twee elkaar niet aanvallen op de kleine verschillen tussen de partijen.,R,0.5714285714285714,R,R,N,N,N,R,R
558,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-80-D66,Environment,"21:22**Jetten** teleurgesteld over klimaatacties GroenLinks-PvdAGroenLinks-PvdA-leider Timmermans noemt de klimaatproblemen de ""grootste bedreiging voor onze bestaanszekerheid"".",N,0.7142857142857143,N,L,L,N,N,N,N
558,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-80-GL/PvdA,Environment,"21:22Jetten teleurgesteld over klimaatacties **GroenLinks-PvdA**GroenLinks-PvdA-leider Timmermans noemt de klimaatproblemen de ""grootste bedreiging voor onze bestaanszekerheid"".",L,0.7142857142857143,L,L,N,N,L,L,L
558,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-81-GL/PvdA,Environment,"Jetten teleurgesteld over klimaatacties GroenLinks-PvdA**GroenLinks-PvdA-leider** **Timmermans** noemt de klimaatproblemen de ""grootste bedreiging voor onze bestaanszekerheid"".Hij noemt het laatste VN-rapport erover alarmerend en zegt dat we ""onze ogen niet mogen sluiten voor de problemen"".",L,1,L,L,L,L,L,L,L
558,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-83-D66,Environment,"Hij noemt het laatste VN-rapport erover alarmerend en zegt dat we ""onze ogen niet mogen sluiten voor de problemen"".Hij ziet in **D66** een bondgenoot om de problemen samen aan te pakken.D66-leider Rob Jetten zegt dat hij als klimaatminister al twee jaar ""keihard aan de slag is"" maar is ook een beetje ""teleurgesteld"" in de opstelling van GroenLinks-PvdA, dat volgens hem in de nieuwe provinciebesturen de ambities juist omlaag heeft gedaan en volgens Jetten ook strepen zet door projecten.",L,1,L,L,L,L,L,L,L
558,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-84-D66,Environment,"Hij ziet in D66 een bondgenoot om de problemen samen aan te pakken.**D66-leider** Rob **Jetten** zegt dat hij als klimaatminister al twee jaar ""keihard aan de slag is"" maar is ook een beetje ""teleurgesteld"" in de opstelling van GroenLinks-PvdA, dat volgens hem in de nieuwe provinciebesturen de ambities juist omlaag heeft gedaan en volgens **Jetten** ook strepen zet door projecten.BBB-leider Van der Plas zegt dat Timmermans niet in de realiteit leeft.",L,1,L,L,L,L,L,L,L
558,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-85-BBB,Environment,"D66-leider Rob Jetten zegt dat hij als klimaatminister al twee jaar ""keihard aan de slag is"" maar is ook een beetje ""teleurgesteld"" in de opstelling van GroenLinks-PvdA, dat volgens hem in de nieuwe provinciebesturen de ambities juist omlaag heeft gedaan en volgens Jetten ook strepen zet door projecten.**BBB-leider** Van der **Plas** zegt dat Timmermans niet in de realiteit leeft.Jetten noemt ze iets realistischer.",N,1,N,N,N,N,N,N,N
558,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-85-GL/PvdA,Environment,"D66-leider Rob Jetten zegt dat hij als klimaatminister al twee jaar ""keihard aan de slag is"" maar is ook een beetje ""teleurgesteld"" in de opstelling van GroenLinks-PvdA, dat volgens hem in de nieuwe provinciebesturen de ambities juist omlaag heeft gedaan en volgens Jetten ook strepen zet door projecten.BBB-leider Van der Plas zegt dat **Timmermans** niet in de realiteit leeft.Jetten noemt ze iets realistischer.",N,0.8571428571428571,N,N,N,N,N,R,N
558,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-86-D66,Environment,"BBB-leider Van der Plas zegt dat Timmermans niet in de realiteit leeft.**Jetten** noemt ze iets realistischer.Ze zegt dat de BBB het klimaatprobleem niet ontkent, maar ze is het ""constante gedram"" over het klimaat van partijen als D66 en GroenLinks-PvdA wel een beetje zat.",L,0.8571428571428571,L,L,L,L,L,L,N
558,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-87-D66,Environment,"Jetten noemt ze iets realistischer.Ze zegt dat de BBB het klimaatprobleem niet ontkent, maar ze is het ""constante gedram"" over het klimaat van partijen als **D66** en GroenLinks-PvdA wel een beetje zat.Ook ziet ze dat ze mensen bang maken, met name jongeren.",L,1,L,L,L,L,L,L,L
558,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-87-GL/PvdA,Environment,"Jetten noemt ze iets realistischer.Ze zegt dat de BBB het klimaatprobleem niet ontkent, maar ze is het ""constante gedram"" over het klimaat van partijen als D66 en **GroenLinks-PvdA** wel een beetje zat.Ook ziet ze dat ze mensen bang maken, met name jongeren.",L,1,L,L,L,L,L,L,L
558,c41fe36b99fc07b157382a40b67938df96e9a2a28b3e28f8f56af4ad-176-CDA,Environment,"Normen, waarden en naar elkaar om kijken, staan weer hoog in het vaandel.De 40-jarige natuurkundige Henri **Bontenbal**, geboren in Rotterdam, is nog niet zo lang Kamerlid: sinds 2021.Hij maakte zich de afgelopen jaren hard voor kernenergie en duurzaamheid.",L,1,L,L,L,L,L,L,L
558,c41fe36b99fc07b157382a40b67938df96e9a2a28b3e28f8f56af4ad-176-Overig,Environment,"Normen, waarden en naar elkaar om kijken, staan weer hoog in het vaandel.De 40-jarige natuurkundige Henri Bontenbal, geboren in Rotterdam, is nog niet zo lang **Kamerlid**: sinds 2021.Hij maakte zich de afgelopen jaren hard voor kernenergie en duurzaamheid.",L,1,L,L,L,L,L,L,L
558,c41fe36b99fc07b157382a40b67938df96e9a2a28b3e28f8f56af4ad-178-CDA,Environment,"Hij maakte zich de afgelopen jaren hard voor kernenergie en duurzaamheid.**Bontenbal** komt uit een gezin met acht kinderen en spreekt in interviews over zijn eigen ""vechtersmentaliteit"".Dat komt van pas:",L,1,L,L,L,L,L,L,L
558,e7aebf61f7da4afc53714d909c69354c0a775ba1f33dadb62b7835c8-1-D66,Environment,NA,L,0.8571428571428571,N,L,L,L,L,L,L
558,e7aebf61f7da4afc53714d909c69354c0a775ba1f33dadb62b7835c8-1-GL/PvdA,Environment,NA,N,0.5714285714285714,N,R,N,N,N,R,R
