jobid,unit_id,topic,text,majority,agreement,Amani,Nisanur,Sascha
500,21744d7323d9ce8965333f7a4a0cf8c4fd44f7c5d7413b473e1cc509-2-JA21,CivilRights,NA,R,0.6666666666666666,R,N,R
500,2ed69fbbd2c4fdfe39516750fcfc02cbea95be4a72e37d35ad801ddc-10-FvD,CivilRights,"Nadat de FvD-voorman een paar weken terug in Gent met een paraplu op zijn hoofd was geslagen, was hij maandag op een verkiezingsbijeenkomst in een kroeg in Groningen met een bierfles bewerkt.Wat je ook van **Baudet** vindt, hoe zeer je hem ook veracht, dit is vreselijk.Een regelrechte aanval op de democratie die we met zijn allen - links, rechts en het gematigde midden - keihard horen te veroordelen.",N,0.6666666666666666,N,L,N
500,3a920fffe0877bf35ff7cb93b74a7740f8e4f3ccb169e0138300008e-23-PVV,CivilRights,"Van der Meer erkent wel dat de grootste partij in Nederland traditiegetrouw „de voortrekkersrol” krijgt in de formatie, maar dat geeft volgens hem niet de zekerheid dat zij ook een kabinet kan leiden.Zeker bij een overwinning van de **PVV** of GroenLinks-PvdA is het maar de vraag of andere partijen een kabinet met premier **Wilders** of Timmermans mogelijk willen maken, zegt Van der Meer.In het geval van de PVV omdat veel andere partijen moeite hebben met de anti-rechtsstatelijke voorstellen van Wilders, bij Timmermans omdat getalsmatig een coalitie met links-progressieve bondgenoten onmogelijk lijkt.",R,1,R,R,R
500,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-159-PVV,CivilRights,"In het debat over spanningen in de samenleving zegt PVV-leider Wilders dat als hij premier wordt, hij dat voor alle Nederlanders zal zijn ""ongeacht je geloof of afkomst"".**Wilders** reageert op de kritiek die hij krijgt op zijn anti-islam-standpunten en lijkt met zijn uitspraak de ""mildere toon"" van de afgelopen tijd voort te zetten.VVD-leider Yesilgöz ziet wel dat Wilders een ""constructief weekje"" achter de rug heeft, maar ziet het verder allemaal nog niet zo snel gebeuren.",N,0.6666666666666666,R,N,N
500,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-177-Denk,CivilRights,"20:14Felle discussie Van **Baarle** (**Denk**) en Eerdmans (JA21) over institutioneel racismeDenk-leider Van Baarle vindt het ""schandalig"" dat mensen met een migratieachtergrond vaker in armoede leven door institutioneel racisme.",L,1,L,L,L
500,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-177-JA21,CivilRights,"20:14Felle discussie Van Baarle (Denk) en **Eerdmans** (**JA21**) over institutioneel racismeDenk-leider Van Baarle vindt het ""schandalig"" dat mensen met een migratieachtergrond vaker in armoede leven door institutioneel racisme.",R,0.6666666666666666,N,R,R
500,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-178-Denk,CivilRights,"Felle discussie Van Baarle (Denk) en Eerdmans (JA21) over institutioneel racisme**Denk-leider** Van **Baarle** vindt het ""schandalig"" dat mensen met een migratieachtergrond vaker in armoede leven door institutioneel racisme.Eerdmans van JA21 reageert daarop dat Van Baarle altijd de ""racismekaart"" trekt.",L,1,L,L,L
500,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-179-Denk,CivilRights,"Denk-leider Van Baarle vindt het ""schandalig"" dat mensen met een migratieachtergrond vaker in armoede leven door institutioneel racisme.Eerdmans van JA21 reageert daarop dat Van **Baarle** altijd de ""racismekaart"" trekt.19:56",L,1,L,L,L
500,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-179-JA21,CivilRights,"Denk-leider Van Baarle vindt het ""schandalig"" dat mensen met een migratieachtergrond vaker in armoede leven door institutioneel racisme.**Eerdmans** van **JA21** reageert daarop dat Van Baarle altijd de ""racismekaart"" trekt.19:56",R,1,R,R,R
500,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-218-FvD,CivilRights,"Olf om afstand te nemen van uitspraak Bij1-lid**Forum** voor Democratie-lijsttrekker **Baudet** vraagt aan Bij1-leider Olf om afstand te nemen van uitspraken die een partijlid volgens **Baudet** heeft gedaan: ""Die heeft getwitterd:'Goed dat fascisten geslagen worden', heeft u daar al afstand van genomen?""",N,1,N,N,N
500,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-218-Overig,CivilRights,"Olf om afstand te nemen van uitspraak Bij1-lidForum voor **Democratie-lijsttrekker** Baudet vraagt aan Bij1-leider Olf om afstand te nemen van uitspraken die een partijlid volgens Baudet heeft gedaan: ""Die heeft getwitterd:'Goed dat fascisten geslagen worden', heeft u daar al afstand van genomen?""",N,1,N,N,N
500,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-262-FvD,CivilRights,"Aan het begin van het debat spreken de lijsttrekkers van ChristenUnie en Bij1 hun afschuw uit over de aanval op Baudet, de leider van Forum voor Democratie, gisteren.**Baudet** vraagt daarop aan Olf van Bij1 om afstand te nemen van uitspraken die een partijlid volgens **Baudet** heeft gedaan: ""Die heeft getwitterd:'Goed dat fascisten geslagen worden', heeft u daar al afstand van genomen?""",N,1,N,N,N
500,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-478-CDA,CivilRights,"Recenter waren veel aanhangers teleurgesteld over de omgang met boeren in de stikstofdiscussie, waarna velen hun weg naar BBB en nu ook naar NSC (beide geleid door een ex-CDA'er) vonden.Het **CDA** zegt zich nu af te keren van het neoliberalisme.Normen, waarden en naar elkaar om kijken, staan weer hoog in het vaandel.",R,0.6666666666666666,R,N,R
500,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-488-BBB,CivilRights,"Hij wil met ""met fris gemoed aan de slag"", maar het CDA grijpt tegelijkertijd terug op oude thema's als normen en waarden en omkijken naar elkaar.Kiezers en leden die dat bij het CDA misten stapten, de afgelopen tijd over naar de **BBB** en NSC, partijen die zich ook profileren op christendemocratische waarden.""Ik zou dan altijd zeggen, kies dan voor het origineel"" zei Bontenbal daarover.",R,1,R,R,R
500,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-488-CDA,CivilRights,"Hij wil met ""met fris gemoed aan de slag"", maar het CDA grijpt tegelijkertijd terug op oude thema's als normen en waarden en omkijken naar elkaar.Kiezers en leden die dat bij het **CDA** misten stapten, de afgelopen tijd over naar de BBB en NSC, partijen die zich ook profileren op christendemocratische waarden.""Ik zou dan altijd zeggen, kies dan voor het origineel"" zei Bontenbal daarover.",R,1,R,R,R
500,59f3b531a803316ed4b87227793bd936ec92ac37ecffe69a8a5ce757-17-PVV,CivilRights,"dat geldt voor elke radicale stroming, van islamisme tot radicaal-rechts.'Twijfelaar' Omtzigt was in september al duidelijk, hij wil 'alleen met partijen die de rechtsstaat heel houden' regeren en herhaalde recentelijk dat met het verkiezingsprogramma van de **PVV** niet te werken valt.Een programma waarin wordt opgeroepen tot een verbod op korans en moskeeën, iets dat indruist tegen grondrechten in Nederland.",R,1,R,R,R
500,59f3b531a803316ed4b87227793bd936ec92ac37ecffe69a8a5ce757-19-PVV,CivilRights,"Een programma waarin wordt opgeroepen tot een verbod op korans en moskeeën, iets dat indruist tegen grondrechten in Nederland.Een partij die er verder een sport van heeft gemaakt de rechtsstaat te ondermijnen en ook Oekraïne mag het voortaan uitzoeken als **Wilders** het voor het zeggen krijgt.Niet bepaald iets om over naar huis te schrijven, zeker voor een liberaal.",R,1,R,R,R
500,59f3b531a803316ed4b87227793bd936ec92ac37ecffe69a8a5ce757-7-Overig,CivilRights,"En nu maar hopen dat ze mijn beveiliging niet opheft want het liefste zien ze me natuurlijk onder het gras verdwijnen', zegt veel over haar incasseringsvermogen.Een hele politieke carrière opgebouwd als kind van vluchtelingen, het tot **minister** schoppen om vervolgens weggezet te worden met 'ze'.Een 'ze' die in het jargon van Wilders blijkbaar een 'onbetrouwbare Turk of islamiet' is.",N,1,N,N,N
500,59f3b531a803316ed4b87227793bd936ec92ac37ecffe69a8a5ce757-8-PVV,CivilRights,"Een hele politieke carrière opgebouwd als kind van vluchtelingen, het tot minister schoppen om vervolgens weggezet te worden met 'ze'.Een 'ze' die in het jargon van **Wilders** blijkbaar een 'onbetrouwbare Turk of islamiet' is.En die per definitie wel zijn dood zal wensen.",R,1,R,R,R
500,5df6e842e262cd382c54acd0cbcae443777f24c61768771240873e8d-6-FvD,CivilRights,"de baas - en de vrouw thuis blijft om kinderen te baren, het huis te poetsen en manlief te dienen.Trad-wives zijn een natte droom voor Thierry **Baudet** en zijn volgelingen.Nu heb ik niks tegen huisvrouwen - als iemand er zelf voor kiest is dat natuurlijk hartstikke prima.",R,0.6666666666666666,R,N,R
500,78d1286459ae842b728095e8e31610914a98d82b51d0db5eca1087c6-24-FvD,CivilRights,"Niemand heeft dit zien aankomen.""**Baudet**:Antifa moet verboden worden",R,1,R,R,R
500,c41fe36b99fc07b157382a40b67938df96e9a2a28b3e28f8f56af4ad-174-CDA,CivilRights,"Recenter waren veel aanhangers teleurgesteld over de omgang met boeren in de stikstofdiscussie, waarna velen hun weg naar BBB en nu ook naar NSC (beide geleid door een ex-CDA'er) vonden.Het **CDA** zegt zich nu af te keren van het neoliberalisme.Normen, waarden en naar elkaar om kijken, staan weer hoog in het vaandel.",R,0.6666666666666666,R,N,R
500,c41fe36b99fc07b157382a40b67938df96e9a2a28b3e28f8f56af4ad-182-CDA,CivilRights,"Verschillende nederlagen, het vertrek van Omtzigt en recent Mona Keijzer, en slechte peilingen.**Bontenbal** zegt niet bij de pakken neer te zitten.Hij wil met ""met fris gemoed aan de slag"", maar het CDA grijpt tegelijkertijd terug op oude thema's als normen en waarden en omkijken naar elkaar.",R,0.6666666666666666,R,N,R
500,c41fe36b99fc07b157382a40b67938df96e9a2a28b3e28f8f56af4ad-183-CDA,CivilRights,"Bontenbal zegt niet bij de pakken neer te zitten.Hij wil met ""met fris gemoed aan de slag"", maar het **CDA** grijpt tegelijkertijd terug op oude thema's als normen en waarden en omkijken naar elkaar.Kiezers en leden die dat bij het CDA misten stapten, de afgelopen tijd over naar de BBB en NSC, partijen die zich ook profileren op christendemocratische waarden.",R,0.6666666666666666,R,N,R
500,c41fe36b99fc07b157382a40b67938df96e9a2a28b3e28f8f56af4ad-184-BBB,CivilRights,"Hij wil met ""met fris gemoed aan de slag"", maar het CDA grijpt tegelijkertijd terug op oude thema's als normen en waarden en omkijken naar elkaar.Kiezers en leden die dat bij het CDA misten stapten, de afgelopen tijd over naar de **BBB** en NSC, partijen die zich ook profileren op christendemocratische waarden.""Ik zou dan altijd zeggen, kies dan voor het origineel"" zei Bontenbal daarover.",R,1,R,R,R
500,c41fe36b99fc07b157382a40b67938df96e9a2a28b3e28f8f56af4ad-184-CDA,CivilRights,"Hij wil met ""met fris gemoed aan de slag"", maar het CDA grijpt tegelijkertijd terug op oude thema's als normen en waarden en omkijken naar elkaar.Kiezers en leden die dat bij het **CDA** misten stapten, de afgelopen tijd over naar de BBB en NSC, partijen die zich ook profileren op christendemocratische waarden.""Ik zou dan altijd zeggen, kies dan voor het origineel"" zei Bontenbal daarover.",R,1,R,R,R
500,c41fe36b99fc07b157382a40b67938df96e9a2a28b3e28f8f56af4ad-184-NSC,CivilRights,"Hij wil met ""met fris gemoed aan de slag"", maar het CDA grijpt tegelijkertijd terug op oude thema's als normen en waarden en omkijken naar elkaar.Kiezers en leden die dat bij het CDA misten stapten, de afgelopen tijd over naar de BBB en **NSC**, partijen die zich ook profileren op christendemocratische waarden.""Ik zou dan altijd zeggen, kies dan voor het origineel"" zei Bontenbal daarover.",R,1,R,R,R
500,c5853b86c191f82418d4deb71b33376b3232696fdde792889c915418-10-Denk,CivilRights,"Daarin hebben Denk, Bij1 en Kamerleden met een migratieachtergrond de afgelopen jaren nog niet veel aan veranderd, komt uit het onderzoek naar voren.In het onderzoek is specifiek gevraagd naar het thema discriminatie, omdat het onderwerp veel leeft onder kiezers van onder andere **Denk** en Bij1.""We zien vooral bij kiezers met een niet-Europese migratieachtergrond die Denk of NSC willen gaan stemmen dat zij discriminatie ervaren en vinden dat hun belangen niet behartigd worden.""",L,0.6666666666666666,L,L,N
500,c5853b86c191f82418d4deb71b33376b3232696fdde792889c915418-12-D66,CivilRights,"""We zien vooral bij kiezers met een niet-Europese migratieachtergrond die Denk of NSC willen gaan stemmen dat zij discriminatie ervaren en vinden dat hun belangen niet behartigd worden.""Kiezers met een migratieachtergrond die van plan zijn op VVD of **D66** te gaan stemmen ervaren wel voldoende vertegenwoordiging.Denk",N,0.6666666666666666,L,N,N
500,c5853b86c191f82418d4deb71b33376b3232696fdde792889c915418-33-Denk,CivilRights,"En Kamerleden moeten ook duidelijker en zichtbaarder maken wat ze doen doet aan het thema discriminatie.Op basis van zijn onderzoek kan Lubbers nog niet zeggen of het vertrek van Simons (Bij1), Kuzu, en Azarkan (**Denk**), die vaak discriminatie aankaartten in de Tweede Kamer, komende woensdag invloed gaat hebben op de opkomst van kiezers met een migratieachtergrond.Uit eerder onderzoek weet hij dat wantrouwen kan leiden tot niet stemmen, vooral als mensen zich niet herkend of gezien voelen, wat de opkomst kan verminderen.",L,0.6666666666666666,L,L,N
500,c5853b86c191f82418d4deb71b33376b3232696fdde792889c915418-9-Denk,CivilRights,"""Het gevoel dat de belangen te weinig worden behartigd is sterker als ze discriminatie ervaren,"" zegt onderzoeker Marcel Lubbers, hoogleraar Interdisciplinaire Sociale Wetenschap bij de Universiteit Utrecht.Daarin hebben **Denk**, Bij1 en Kamerleden met een migratieachtergrond de afgelopen jaren nog niet veel aan veranderd, komt uit het onderzoek naar voren.In het onderzoek is specifiek gevraagd naar het thema discriminatie, omdat het onderwerp veel leeft onder kiezers van onder andere Denk en Bij1.",N,0.6666666666666666,L,N,N
500,cfa9400e0a689bcd6b83b6a49af154522b06cc3932359cb90d41b001-8-GL/PvdA,CivilRights,"VERKIEZINGEN IIFrans **Timmermans** (**GL-PvdA**) beschuldigt Geert Wilders (PVV) ervan dat hij 1 miljoen moslims uitsluit in Nederland.Geen idee waar hij dit op baseert, overigens.",L,1,L,L,L
500,cfa9400e0a689bcd6b83b6a49af154522b06cc3932359cb90d41b001-8-PVV,CivilRights,"VERKIEZINGEN IIFrans Timmermans (GL-PvdA) beschuldigt Geert **Wilders** (**PVV**) ervan dat hij 1 miljoen moslims uitsluit in Nederland.Geen idee waar hij dit op baseert, overigens.",R,1,R,R,R
500,d805f94ea1b3a6c82b74e3fa7438857fd9a36fcb3840a6983196a1ff-33-PVV,CivilRights,"Stikstofkoningin Caroline gaf toe niet te kunnen rekenen en de kijkers vroegen zich af of ze ook iets kon vertellen wat nog niemand wist.Vervolgens verklaarde wolf **Wilders** met droge ogen dat iedereen erbij hoort.Tegenover hem een kind met hoofddoek, het tapijt trok krom van het jokken.",N,0.6666666666666666,N,R,N
