jobid,unit_id,topic,text,majority,agreement,Nel,Nisanur,Wouter
599,3dd4a7fd522ec4e43b03e46a6325a3dc231cacfe0de36ce96feef46a-194-GL/PvdA,Environment,"De GroenLinks-PvdA-voorman voegde eraan toe dat hij de afgelopen twee maanden in Nederland ook al met veel mensen heeft gepraat.**Timmermans** leverde verder scherpe kritiek op het klimaatbeleid van D66-lijsttrekker en demissionair minister Jetten.Volgens Timmermans maakt Jetten deel uit van een kabinet dat op dit gebied ""niets heeft gedaan"":",L,0.3333333333333333,N,R,L
599,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-231-Volt,Environment,"SGP-leider Stoffer ziet juist een probleem bij beschermde diersoorten.""Bij het bouwen van woningen zitten soms **dassen** en marters in de weg.En dan blijft dat maar hangen op zo'n beestje.""",N,0.6666666666666666,N,R,N
599,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-84-GL/PvdA,Environment,"Hij ziet in D66 een bondgenoot om de problemen samen aan te pakken.D66-leider Rob Jetten zegt dat hij als klimaatminister al twee jaar ""keihard aan de slag is"" maar is ook een beetje ""teleurgesteld"" in de opstelling van **GroenLinks-PvdA**, dat volgens hem in de nieuwe provinciebesturen de ambities juist omlaag heeft gedaan en volgens Jetten ook strepen zet door projecten.BBB-leider Van der Plas zegt dat Timmermans niet in de realiteit leeft.",L,0.6666666666666666,L,N,L
599,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-87-BBB,Environment,"Jetten noemt ze iets realistischer.Ze zegt dat de **BBB** het klimaatprobleem niet ontkent, maar ze is het ""constante gedram"" over het klimaat van partijen als D66 en GroenLinks-PvdA wel een beetje zat.Ook ziet ze dat ze mensen bang maken, met name jongeren.",R,0.6666666666666666,R,R,N
599,43c08311c6759a75f8b17a935ab849048f2c5af4a480127a31cb999e-77-D66,Environment,"Natuurlijk kleven er nadelen aan, maar het zou ook een oplossing kunnen zijn voor de stikstofcrisis.'**D66** is inmiddels een beetje afgevallen.Ik hoor ze heel veel over het klimaat, maar nauwelijks over het onderwijs, iets wat ik - als leraar - toch erg belangrijk vind.'",L,0.6666666666666666,N,L,L
599,46e86bec24ac356e587e545983233266e8b8308ce67ad4f7b7ba28e5-11-GL/PvdA,Environment,"Bijna datzelfde beeld doemt op als het gaat om milieu.Partijen als D66, Volt en **PvdA/GL** willen vervuilende uitstoot door bedrijven afstraffen met extra belasting.Treurig genoeg heeft dat één voorspelbaar gevolg:",L,1,L,L,L
599,4fcb0e93e8af91d99b29917cdc8654d2b9077804d4f647590ae0d1c7-31-NSC,Environment,"Ze willen met ""gezond verstand"" klimaatbeleid voeren.**NSC** heeft het in het verkiezingsprogramma niet over de doelen voor 2030 en 2050.De partij van Pieter Omtzigt houdt zich ""aan het klimaatakkoord van Parijs om de economie klimaatneutraal te maken"".",L,1,L,L,L
599,51b5338657d936ba2b75591a19de221a78c2cb885cb75b17dc1b43c1-38-Overig,Environment,"„Dat is dan heel snel uitgediscussieerd:ze staan allemaal achter de **lijsttrekker**.Die vindt ook dat 2030 gehaald moet worden, voor natuurherstel.",L,1,L,L,L
599,5b26cc5620236412a60e78a39757797c04f323c4530a4dde763e7b51-11-NSC,Environment,Samenwerking mogelijk'**Omtzigt** en Timmermans in debat over kernenergie en minimumloon:'Dit is diepgang'' (AD.nl 30-10).,N,1,N,N,N
599,626b29151eb1875b80b4e3756b511b54ca8d4254295d7147efd43f84-38-PvdD,Environment,"De politici als pieten.Caroline wordt de Gratis BBBierpiet, met daarnaast Esther **Ouwehand**.Die fluistert zachtjes de schimmel wat moed in, het is glad met al die zonnepanelen.",N,1,N,N,N
599,62fb0fcbd154bae5ee6d2fc1a636d31220e5ef6ffe8f2663db65cc7e-21-FvD,Environment,"Alle ruim 600.000 inwoners zo'n wagen cadeau doen, kost afgerond 169 miljard euro.De bewering van Thierry **Baudet** dat er in Groningen 'voor minimaal 600 miljard euro aan gas in de grond' zit, klopt niet.En heel Groningen een Lamborghini cadeau doen, zit er dus niet in.",R,1,R,R,R
599,6881c4c4e4464dd3c00aa91e9bbff2ba61409f146803de7835440f16-23-D66,Environment,"Zo’n 20 à 30 procent van de zaal, gokt Kelder.Volt en **D66** kunnen samen ook rekenen op de stem van ongeveer een derde van de aanwezige studenten.In een felle discussie over kernenergie stijgt gejuich op na de inbreng van Ernst Boutkan, nummer drie op de kandidatenlijst van Volt.",N,1,N,N,N
599,6a76b67ba8f654573f53ab7435a95c9f67b9556356b1019707bfcb70-57-GL/PvdA,Environment,"'Activist tégen Piet, vóór klimaat en vóór Palestina' (AD 13-11).Actieroepen hebben massa nodig, analyseert Arco **Timmermans** van de Universiteit Leiden.Daarom ondersteunen ze elkaars acties.",N,1,N,N,N
599,6cdb89865f97993cbe4cf1127124f44f225940aa3685a293387017ef-152-Overig,Environment,"Bontenbal: strategische blunder van TimmermansCDA-leider Bontenbal vindt dat **GroenLinks-PvdA-lijsttrekker** Timmermans een ""strategische blunder"" heeft gemaakt met zijn uitspraken over het klimaatbeleid van het kabinet.Timmermans zei vanochtend dat het kabinet op dit gebied niets heeft gedaan en dat Nederland al duizend dagen stilstaat.",N,0.6666666666666666,N,R,N
599,6cdb89865f97993cbe4cf1127124f44f225940aa3685a293387017ef-154-CDA,Environment,"Timmermans zei vanochtend dat het kabinet op dit gebied niets heeft gedaan en dat Nederland al duizend dagen stilstaat.De politici ontmoetten elkaar vanmiddag op de redactie van De Telegraaf en **Bontenbal** wierp de GroenLinks-voorman voor de voeten dat het kabinet juist heel veel heeft gedaan:""Als er één onderwerp is waar we stappen hebben gezet en we steeds bij elkaar zijn gekomen, was dat het klimaat.""",L,0.6666666666666666,N,L,L
599,6cdb89865f97993cbe4cf1127124f44f225940aa3685a293387017ef-168-Denk,Environment,"Jetten reageerde daarop in Buitenhof:""Ik **denk** dat hij ook weet dat we in Nederland en in Europa de afgelopen jaren enorme stappen hebben gezet en dat we de komende tijd vooral door moeten, want er gaan vandaag in Amsterdam niet voor niks 40.000 mensen de straat op.De jonge generatie eist van ons dat we een leefbare planeet doorgeven.",N,1,N,N,N
599,71dcd5e18e83462b573d194615323cf1a5880b2026e41549f9d04134-37-VVD,Environment,Klimaatbeleid is een lastig thema voor hem om zich te onderscheiden.Bontenbal en Jetten weten er alles van en ook **Yesilgöz** was woordvoerder klimaat en energie.”Zelfs in zijn eigen kring heeft Timmermans klimaatkenners teleurgesteld.,N,0.6666666666666666,N,L,N
599,71dcd5e18e83462b573d194615323cf1a5880b2026e41549f9d04134-8-Overig,Environment,"Kenners van energie- en klimaatbeleid zijn niet te spreken over het optreden van Frans Timmermans in de verkiezingscampagne.Met zijn bewering dat het gevallen kabinet niets aan het klimaat heeft gedaan, slaat de **PvdA/GL-lijsttrekker** de plank opnieuw mis, menen zij.Kleis Jager",L,0.6666666666666666,N,L,L
599,728389390789ed132c3abc2a831014345e99ca621b73cb4a6b580bce-294-PvdD,Environment,"gisteren, 09:30**Ouwehand**:niet 'terugonderhandelen' met de natuur",L,0.6666666666666666,L,L,N
599,7bd10562b7f4e2aeb499df84cb8ce777a08401a9b7553f11894474e4-47-VVD,Environment,"„Want als groene politici niet meer opkomen voor de natuur, wie dan wel?”Binnen het ministerie van Landbouw valt te beluisteren dat het halveren van de stikstofuitstoot in 2030 sowieso al een onmogelijke opgave is geworden, mede omdat een wetsvoorstel daartoe van stikstofminister Christianne van der Wal (**VVD**) in een diepe lade is geschoven.„In die zin is het verstandig van Timmermans dat hij de vlucht naar voren neemt”, zegt een ingewijde.",N,0.6666666666666666,R,N,N
599,8068e17e7893120b42a60b176d9c17aca758e92cfed9f3afe0fc787f-25-D66,Environment,"Ook lijkt ze zich steeds verbetener vast te houden aan getallen die aantoonbaar niet kloppen.Zo blijft ze herhalen dat GroenLinks-PvdA en **D66** '30 duizend' windturbines ('Eiffeltorens') in de Noordzee willen plaatsen, terwijl het in de plannen om 5 duizend windmolens gaat.Het sijpelt allemaal door in de beeldvorming.",L,1,L,L,L
599,807b9a00f53eeb8e7a3f684695f395ea36667e96cb6580f304fe98c2-46-PvdD,Environment,"Het is beter om moeilijke keuzes te maken dan de boel te laten versloffen ten koste van de natuur, de woningbouw en de economie.'**PvdD-lijsttrekker** Esther **Ouwehand**, die graag met GroenLinks-PvdA een natuur- en milieuvriendelijk kabinet zou vormen, is teleurgesteld in Timmermans.'We kunnen geen seconde langer wachten om de natuur beter te beschermen.",L,1,L,L,L
599,80f519cdbb5cc56917c7e854e2ce5260886a72fd10abb40f79a95c0e-11-D66,Environment,"Het klimaatdebat wordt daarmee gereduceerd tot een discussie over kernenergie, terwijl het volgens demissionair klimaatminister Rob Jetten meer is dan dat.De **D66-lijsttrekker** wees eerder in een interview met Radio 1 op het belang van het klimaatfonds.Daarin is 35 miljard gereserveerd om de klimaatdoelen te halen, bijvoorbeeld voor het aanleggen van zonneweides en het inzetten op windparken op zee.",L,1,L,L,L
599,80f519cdbb5cc56917c7e854e2ce5260886a72fd10abb40f79a95c0e-11-Overig,Environment,"Het klimaatdebat wordt daarmee gereduceerd tot een discussie over kernenergie, terwijl het volgens demissionair klimaatminister Rob Jetten meer is dan dat.De **D66-lijsttrekker** wees eerder in een interview met Radio 1 op het belang van het klimaatfonds.Daarin is 35 miljard gereserveerd om de klimaatdoelen te halen, bijvoorbeeld voor het aanleggen van zonneweides en het inzetten op windparken op zee.",L,1,L,L,L
599,81f362ae72fa3acf1635182260cf79ecad076be5c2a52c60964b886d-11-NSC,Environment,"Dat is opmerkelijk, omdat partijen nu veel minder verdeeld zijn over kernenergie.Een lange lijst is deze keer voor: VVD, **NSC**, BBB, PVV, CDA, Volt, D66, ChristenUnie, JA21, SGP, FVD.Van de grotere partijen zijn alleen GroenLinks-Pvda, SP en Partij voor de Dieren tegen.",L,1,L,L,L
599,81f362ae72fa3acf1635182260cf79ecad076be5c2a52c60964b886d-140-JA21,Environment,"VVD en CDA zeggen dat ze willen blijven inzetten op zon en wind én kernenergie.Maar BBB, PVV, FVD en **JA21** hopen dat kernenergie windparken kan vervangen.Nu stoppen met windparken op zee bouwen zou de energietransitie direct vertragen.",L,1,L,L,L
599,81f362ae72fa3acf1635182260cf79ecad076be5c2a52c60964b886d-18-D66,Environment,"Inmiddels wordt de bouw van twee kerncentrales al ruim een jaar voorbereid door Rob Jetten, D66-lijsttrekker en klimaatminister.**Jetten** wees de gemeente Borssele aan als voorkeurslocatie voor de centrales, het kabinet reserveerde 5 miljard euro.Een Frans, een Koreaans en een Amerikaans bedrijf doen inmiddels onderzoek in Nederland of de bouw van twee centrales technisch haalbaar is, en hoeveel geld ze van de overheid nodig hebben.",L,1,L,L,L
599,81f362ae72fa3acf1635182260cf79ecad076be5c2a52c60964b886d-60-Overig,Environment,"Windparken op zee bleken onlangs ook een stuk duurder geworden.**Minister** Jetten maakte in oktober bekend dat de aansluitkosten van ‘wind op zee’ waarschijnlijk 90 miljard euro bedragen, niet de 50 miljard euro die was verwacht.Voorstanders van kerncentrales hopen te kunnen leren van wat in andere landen misging, en deze keer sneller te bouwen.",N,1,N,N,N
599,8568d66bda079e2008d2ba8381d3cf99d4611504afa403919a4f417e-15-D66,Environment,"Ook de partij van Pieter Omtzigt stelt dat kernenergie een 'onmisbare bijdrage' levert aan de energievoorziening.**D66**, de partij van **Jetten**, wil doorgaan 'met de voorbereidingen voor de bouw van twee nieuwe centrales', waarbij er ook aandacht is voor 'mensen in de omgeving'.Vandaar dat de programmadirecteur kernenergie afreist naar het Zeeuwse dorp Heinkenszand, zetel van de gemeente Borsele (de gemeentenaam is met één s).",L,1,L,L,L
599,8b0bc50fc55381bc161d268da4f200afa59dcbbb6f368549c1528853-22-D66,Environment,'Tijd voor nieuwe energie'**Jetten** over opvolgenKaag:,N,1,N,N,N
599,8de4a8d8be894252b536cb4ce9c64a96e23af18fde0e6d9ee7799519-88-VVD,Environment,"En klimaatbeleid wérkt, dus waarom zou je zo aarzelen?""Ik vraag me zelfs af of **VVD** en NSC de klimaatdoelen halen van het kabinet-Rutte IV.Er zou 60 procent minder CO2 uitstoot komen.",N,1,N,N,N
599,9621f674d589cc16fee51efa2ccc2f1c33167eca11a4425f40469073-31-GL/PvdA,Environment,"Het CPB betwijfelt of deze plannen 'juridisch' haalbaar zijn.**GroenLinks-PvdA**, D66 en CU verhogen de uitgaven om de transitie naar een duurzame economie te realiseren.Ze willen meer belasting op vermogen en bedrijfswinst en verlagen belasting op arbeid en inkomen.",L,1,L,L,L
599,96b109ec65a904495a182715a4f57cfaffb78a48625f33e154116f10-3-Volt,Environment,"Nu de natuur hier als rechtspersoon is erkend, komt een voogd op voor hun belangen.De reeën, buizerds en **dassen** in het Savelsbos kunnen niet praten, net zo min als de bomen.Stel ze een vraag en ze kijken je hulpeloos aan.",N,1,N,N,N
599,a3fd0c749ae5056fcf43330f077e1c7e37d71ad2a2f1a2ea610db545-73-D66,Environment,Want het was niet gelukt.De VVD-leden hadden eerder ook al dat hele **D66-verhaal** over stikstof en klimaat moeten slikken.Ze moeten op een gegeven moment hebben gedacht:,N,1,N,N,N
599,a600348833ca697af4fc0dcd77371d921934aa90e80215425edaad1a-1-CU,Environment,NA,L,1,L,L,L
599,a60d26b037ca1a68444141f68345c7ac82a29b7ee9d62ea6d97a8d66-266-PVV,Environment,"gisteren, 23:05Milieu- klimaatorganisaties somber na winst **PVV**, 'toekomst staat op het spel'De winst van de PVV betekent weinig goeds voor het klimaat, zegt Milieudefensie in een eerste reactie op de exitpolls.",R,1,R,R,R
599,b0dd1e27762889a89cdc18acd8de72dbc7b952aaba3c9da889eaf6a1-10-CU,Environment,"'Het potentieel van de voorgestelde maatregelen zal richting 2030 nog niet gerealiseerd kunnen worden, omdat gebiedsprocessen lange doorlooptijden hebben.'Het CPB heeft de verkiezingsprogramma's van acht partijen (VVD, GroenLinks-PvdA, D66, CDA, Volt, JA21, **ChristenUnie** en SGP) doorgerekend om de effecten op de economie en de overheidsfinanciën te beoordelen.Het Planbureau voor de Leefomgeving vlooide vijf programma's (VVD, GroenLinks-PvdA, D66, Volt en ChristenUnie) door om de gevolgen voor natuur, milieu en klimaat te bepalen.",N,1,N,N,N
599,b43a2f52224f7dd9214f2ccc742c862cbb67bdb95255ddcc6b5c106c-11-GL/PvdA,Environment,"Wat heb je gemist?Het Europees Parlement en de 27 EU-lidstaten hebben een akkoord bereikt over de natuurherstelwet van voormalig Eurocommissaris Frans **Timmermans**.De deal die er nu ligt, is een sterk afgezwakte versie van het oorspronkelijke plan van Timmermans.",L,1,L,L,L
599,bc47ba26b0f38072cab42de2c547ce048cf30acdc01fba39021b201c-22-CDA,Environment,"Zo wilde de partij zich profileren op het speerpunt 'zorg', maar over de zorg gíng het niet.Andere CU-thema's werden geclaimd door grotere partijen - klimaat door D66 en **CDA**, bestaanszekerheid door GroenLinks-PvdA en Nieuw Sociaal Contract (NSC).En migratie, waarover het kabinet viel?",L,1,L,L,L
599,bdc7a580a263a67a773c157d3d13d1a494af0644e19cf98f73d7acbe-18-CDA,Environment,"Hij maakte zich de afgelopen jaren hard voor kernenergie en duurzaamheid.**Bontenbal** komt uit een gezin met acht kinderen en spreekt in interviews over zijn eigen ""vechtersmentaliteit"".Dat komt van pas:",L,1,L,L,L
599,c6944d1bb19f9e5fa31673e3d32d06e31f42de8a96e6b8957ebfd285-5-GL/PvdA,Environment,"Het nu demissionaire kabinet scherpte in het coalitieakkoord de klimaatdoelen flink aan, maar daar kwam volgens hem weinig van terecht omdat de regeringspartijen 'veel ruzie hebben gemaakt maar geen stappen vooruit hebben gezet'.In het tv-programma Buitenhof noemde Jetten de uitspraken van **Timmermans** 'klein en kinderachtig'.Hij zei dat er juist 'enorme stappen zijn gezet' om de klimaatdoelen verder binnen bereik te brengen.",N,0.6666666666666666,N,N,L
599,caa2360400f0b2fb0b8b62c5af523e9c7add6017ecb29a88703c054c-62-D66,Environment,"De oude kerncentrale mag van CU blijven staan en eventueel vervangen worden door een nieuwe.**D66** zegt dat we niet de luxe hebben technieken uit te sluiten en wil doorgaan met de voorbereidingen voor de bouw van twee nieuwe centrales.GroenLinks-PvdA, Denk, de SP en de Partij voor de Dieren zijn om verschillende redenen tegen de bouw van nieuwe kerncentrales.",L,1,L,L,L
599,cac47a66166fdb67fc074880997c3fc3c5832cfdc50434525de45f12-17-D66,Environment,"Vervolgens kwam er een man het podium op die zei dat hij voor een klimaatprotest kwam en niet voor een politiek statement.Later gingen de politici Rob **Jetten** (**D66**), Frans Timmermans (GroenLinks-PvdA), Esther Ouwehand (PvdD), Laurens Dassen (Volt), Lilian Marijnissen (SP), Edson Olf (Bij1) en Gerard van Hooft (50Plus) aan de hand van stellingen met elkaar in debat.De demonstranten droegen onderweg naar het Museumplein spandoeken, vlaggen en protestborden met zich mee en riepen leuzen:",N,1,N,N,N
599,ceaa9801d2c3ff824299dc3503ffe225ee43ac31a88a03fc5ee706a0-102-GL/PvdA,Environment,"Maar op een belangrijk onderwerp waar Timmermans campagne voert – klimaat – ontwaart Rooduijn verschillen.Kiezers van beide partijen zijn gemiddeld groener dan de rest van de kiezers, maar **GroenLinksers** zijn nóg groener dan **PvdA’ers**.GroenLinksers staan ook welwillender tegenover immigratie dan PvdA’ers, en ze zien zichzelf ook als linkser.",L,0.6666666666666666,L,L,N
599,d0d2271c52418d2bea23842ecb36a4ae2eb512a0a92eb81c70c3ece3-36-NSC,Environment,"Maar de mate waarin varieert.Opmerkelijk is dat **NSC** en BBB hierin minder ver willen gaan dan de VVD.De eerstgenoemde partijen willen de nationale CO2-heffing voor de industrie afschaffen, omdat Nederland die bedrijven volgens hen niet zwaarder moet belasten dan andere EU-landen.",R,1,R,R,R
599,d0d2271c52418d2bea23842ecb36a4ae2eb512a0a92eb81c70c3ece3-40-CU,Environment,"Partijen aan de linkerkant, waaronder de ChristenUnie, willen die heffing verder verhogen.**ChristenUnie**, GroenLinks-PvdA, de PvdD en Bij1 zetten openlijk vraagtekens bij de toekomstbestendigheid van grote vervuilers als Tata Steel en Chemours.Bij1 is het radicaalst: 'Ziekmakende bedrijven zoals Tata Steel worden per direct gesloten.'",L,1,L,L,L
599,d1d03d34f99f347b43fa4bb5eb20404f65a890dd6abf50f2cd0a0533-164-CDA,Environment,"Kabinet-Rutte IV beloofde dat medio 2024 een knoop zou worden doorgehakt.Het **CDA**, voorheen voorzichtig in het luchtvaartdebat, is stelliger dan ooit.„De vervuiler betaalt ook in de luchtvaart.”",L,0.6666666666666666,N,L,L
599,d2a10f06d2c3d4bd8dfac4b0f1ffd43f6f85febfe1ea540d8c11629b-80-PvdD,Environment,"Zeven lijsttrekkers waren bij het Debat van het Zuiden:Dilan Yesilgöz (VVD), Geert Wilders (PVV), Henri Bontenbal (CDA), Rob Jetten (D66), Caroline van der Plas (BBB), Lilian Marijnissen (SP) en Esther **Ouwehand** (Partij voor de **Dieren**).Frans Timmermans (GL-PvdA) en Pieter Omtzigt (NSC) waren er niet.",N,1,N,N,N
599,d389c42d099664e816185a0159dd30d275257682e7e767bf3b8fa421-24-PvdD,Environment,Een aangetreden nieuw bestuur en ook de overgrote meerderheid van de leden wilden wél door met Ouwehand.De Partij voor de **Dieren** bestaat sinds 2002.Een van de uitgangspunten is dat er meer aandacht moet zijn voor het welzijn van dieren en dat het beleid milieuvriendelijker moet worden.,L,1,L,L,L
599,d89b41181bbcdc1c04ca593c5feb58a84e0822b031eb130fd5849865-4-Overig,Environment,",,Te schandalig voor woorden'', zegt CDA-Kamerlid Derk Boswijk.,,Dit is illustratief voor de lakse houding van de overheid'', stelt **GroenLinks-Kamerlid** Laura Bromet.Uit een rondgang door de NOS langs 24 grote industriële bedrijven, die op de lijst staan van de drieduizend grootste piekbelasters van Nederland, blijkt dat de helft nog helemaal niet met het ministerie van Economische Zaken & Klimaat (EZK) heeft gesproken over het onderwerp.",N,1,N,N,N
599,d8d217422083dc8e902a2f7869051f88aafd6743d5189f8fb4698e2b-56-GL/PvdA,Environment,18:48D66 en **GL-PvdA** botsen met PVV over klimaatHet volgende thema is klimaat.,N,1,N,N,N
599,e6e9e2f3bbdd72e430723666b768fd5061f77f80f5f70a5f93741505-10-GL/PvdA,Environment,"Ouwehand is minder principieel, maar benadrukt wel dat regeringsdeelname alleen kan ""bij een echte koerswijziging"" op het gebied van dierenwelzijn, de natuur en het klimaat.Ze kan zich een kabinet voorstellen met D66, **GroenLinks-PvdA**, Volt en de SP.21:27",N,1,N,N,N
599,e6e9e2f3bbdd72e430723666b768fd5061f77f80f5f70a5f93741505-135-BBB,Environment,"Maar er zijn ook natuurgebieden met weinig veehouderij waar het niet goed gaat met de natuur.""Luister of kijk het hele gesprek met Van der **Plas** terug op de site van NPO Radio 1.Maandag is in het NOS Radio 1 Journaal PVV-leider Wilders te gast.",N,1,N,N,N
599,f81781c9684d9d625fc6bc1979d5378b862ab5060b959c21ef6592da-3-GL/PvdA,Environment,"Acht maanden na de provinciale verkiezingen lijkt de politieke interesse volledig verdwenen.Frans **Timmermans** bracht het heel nonchalant in een bijzin, begin november tijdens het eerste RTL-debat.De voorman van GroenLinks-PvdA sprak over de staat van de Nederlandse natuur, het belang van herstel en de noodzaak maatregelen te treffen.",L,1,L,L,L
599,f9efd3013ca6f565db00694ff52a0a618a4e08bc163357c0b710c0a0-25-Overig,Environment,"Bij VVD, SGP- en BBB-kiezers is die steun veel minder.„Klimaatbeleid is een zaak van de politiek en niet van de rechter”, zei **SGP-lijsttrekker** Chris Stoffer begin dit jaar.VVD en SGP vinden elkaar ook op de stelling ‘het recht op protesteren moet worden beschermd, ook als demonstranten anderen tot last zijn’ – die bescherming kan wel een tandje minder, vinden hun kiezers.",N,1,N,N,N
