jobid,unit_id,topic,text,majority,agreement,Karishma,Nisanur
643,68099ae4cf5c2774dbbb9749359ece7c3adbf6bfa2ac83ee7428146e-77-SGP,Economic,"BBB-leider Caroline van der Plas zei bij tv-programma Vandaag Inside dat ze het verstandiger vindt als Omtzigt ervoor kiest om gewoon Kamerlid te worden in plaats van premier.Het Centraal Planbureau kwam met de doorrekeningen van de verkiezingsprogramma's van VVD, D66, GroenLinks-PvdA, CDA, ChristenUnie, Volt, JA21, en **SGP**.De plannen van de partijen zijn onder meer doorgerekend op economische groei, werkgelegenheid en armoede.",N,1,N,N
643,68099ae4cf5c2774dbbb9749359ece7c3adbf6bfa2ac83ee7428146e-77-VVD,Economic,"BBB-leider Caroline van der Plas zei bij tv-programma Vandaag Inside dat ze het verstandiger vindt als Omtzigt ervoor kiest om gewoon Kamerlid te worden in plaats van premier.Het Centraal Planbureau kwam met de doorrekeningen van de verkiezingsprogramma's van **VVD**, D66, GroenLinks-PvdA, CDA, ChristenUnie, Volt, JA21, en SGP.De plannen van de partijen zijn onder meer doorgerekend op economische groei, werkgelegenheid en armoede.",N,1,N,N
643,68099ae4cf5c2774dbbb9749359ece7c3adbf6bfa2ac83ee7428146e-77-Volt,Economic,"BBB-leider Caroline van der Plas zei bij tv-programma Vandaag Inside dat ze het verstandiger vindt als Omtzigt ervoor kiest om gewoon Kamerlid te worden in plaats van premier.Het Centraal Planbureau kwam met de doorrekeningen van de verkiezingsprogramma's van VVD, D66, GroenLinks-PvdA, CDA, ChristenUnie, **Volt**, JA21, en SGP.De plannen van de partijen zijn onder meer doorgerekend op economische groei, werkgelegenheid en armoede.",N,1,N,N
643,9275c1b21a468005ac9b2c8f68b2483035fe179d1e2c10e29455ff5f-16-CU,Economic,"Ook uitkeringsgerechtigden (3,7 procent) gaan erop vooruit.Vooral de armoede wordt aangepakt door de **CU**.Die wordt meer dan gehalveerd, tot 2,5 procent van de bevolking.",L,1,L,L
643,9275c1b21a468005ac9b2c8f68b2483035fe179d1e2c10e29455ff5f-26-JA21,Economic,"De overheidsfinanciën verbeteren met een lagere schuld en een lager begrotingstekort.**JA21** geeft de komende vier jaar vooral meer uit aan sociale zekerheid, onderwijs, veiligheid en defensie.De partij zet verder het mes in internationale samenwerking en klimaat en milieu.",L,0.5,L,R
643,9275c1b21a468005ac9b2c8f68b2483035fe179d1e2c10e29455ff5f-35-JA21,Economic,"De bezuinigingen op het gebied van klimaat en milieu moeten een bezuiniging van 7,5 miljard euro opleveren.**JA21** trekt 6,6 miljard euro extra uit voor de sociale zekerheid, vooral door de introductie van een inkomensonafhankelijke huishoudtoelage.Daar staat tegenover dat de partij de zorgtoeslag, het kindgebonden budget en de kinderbijslag afschaft en uitkeringen verlaagt.",L,1,L,L
643,9275c1b21a468005ac9b2c8f68b2483035fe179d1e2c10e29455ff5f-42-JA21,Economic,"Voor bedrijven gaat het om een bedrag van 1 miljard euro.De maatregelen van **JA21** zorgen ervoor dat de economische groei uitkomt op 1,3 procent per jaar.De gemiddelde koopkracht stijgt met 0,2 procent per jaar.",N,1,N,N
643,9275c1b21a468005ac9b2c8f68b2483035fe179d1e2c10e29455ff5f-45-Volt,Economic,"De armoede stijgt met 0,6 procentpunt naar 6,7 procent.Er is geen partij die zoveel meer geld uitgeeft als **Volt**: 58,7 miljard euro.De partij gooit bijna alles op de schop.",L,0.5,L,N
643,9275c1b21a468005ac9b2c8f68b2483035fe179d1e2c10e29455ff5f-51-Volt,Economic,"Omdat dit zo'n enorm grote wijziging is, wijst het CPB erop dat deze doorrekening onzekerder is dan die bij andere partijen.In het nieuwe belastingstelsel van **Volt** wordt het inkomen voor huishoudens als het goed is voorspelbaarder, doordat er geen risico's op terugbetalingen van te veel verkregen toeslagen zijn.De laagste inkomens (2,9 procent) en mensen met een uitkering (5,9 procent) gaan er het meest op vooruit.",L,1,L,L
643,9275c1b21a468005ac9b2c8f68b2483035fe179d1e2c10e29455ff5f-67-SGP,Economic,"Ook de zorg en het onderwijs krijgen er vrijwel niets bij.**SGP** bezuinigt verder 0,5 miljard euro op klimaat en milieu.Het is verder de bedoeling dat de lasten vanaf 2028 met 0,1 miljard euro worden verlicht.",N,1,N,N
643,9275c1b21a468005ac9b2c8f68b2483035fe179d1e2c10e29455ff5f-76-SGP,Economic,"De lasten gaan omhoog vanwege de invoering van een digitale dienstenbelasting.De maatregelen van **SGP** zorgen ervoor dat de economische groei uitkomt op 1 procent, terwijl de werkloosheid in hetzelfde jaar 4,1 procent bedraagt.De gemiddelde koopkracht stijgt met 0,2 procent per jaar.",L,0.5,L,N
643,9275c1b21a468005ac9b2c8f68b2483035fe179d1e2c10e29455ff5f-8-CU,Economic,"Hieronder een overzicht van de partijen die dat wel deden.**CU** gooit de sociale zekerheid en het belastingstelsel op de schop.Veel toeslagen verdwijnen, zoals de algemene heffingskorting, de arbeidskorting, de zorgtoeslag, het kindgebonden budget en de kinderbijslag.",R,1,R,R
643,aaba9f8e4d83d1d6807cce8d6c06784927ffaf9d89faadabb7b63d5a-11-GL/PvdA,Economic,"Partijen die hun verkiezingsprogramma aan het CPB voorleggen, worden gedwongen aan te geven waar ze hun plannen van betalen.Zo blijkt dat bijvoorbeeld **GroenLinks-PvdA** een enorme rekening legt bij het bedrijfsleven wat op termijn banen kan kosten, aldus het CPB.De VVD claimt weliswaar voor gratis kinderopvang te zijn, maar zet wel een streep door de plannen van het huidige kabinet.",L,1,L,L
643,ab2450cfe315a130de5d24e7577bbb2a9eb23320161ca6b9a168a940-11-CU,Economic,"Bij alle partijen stijgt de koopkracht in de komende kabinetsperiode.GroenLinks-PvdA, **ChristenUnie** en Volt kiezen er het meest voor om de inkomensverschillen te verkleinen.Bij het CDA en de SGP verandert de inkomensverdeling ten opzichte van al eerder genomen maatregelen niet wezenlijk en bij JA21 gaan de laagste inkomens er relatief wat op achteruit.",L,1,L,L
643,ab2450cfe315a130de5d24e7577bbb2a9eb23320161ca6b9a168a940-11-GL/PvdA,Economic,"Bij alle partijen stijgt de koopkracht in de komende kabinetsperiode.**GroenLinks-PvdA**, ChristenUnie en Volt kiezen er het meest voor om de inkomensverschillen te verkleinen.Bij het CDA en de SGP verandert de inkomensverdeling ten opzichte van al eerder genomen maatregelen niet wezenlijk en bij JA21 gaan de laagste inkomens er relatief wat op achteruit.",L,1,L,L
643,ab2450cfe315a130de5d24e7577bbb2a9eb23320161ca6b9a168a940-12-CDA,Economic,"GroenLinks-PvdA, ChristenUnie en Volt kiezen er het meest voor om de inkomensverschillen te verkleinen.Bij het **CDA** en de SGP verandert de inkomensverdeling ten opzichte van al eerder genomen maatregelen niet wezenlijk en bij JA21 gaan de laagste inkomens er relatief wat op achteruit.Bij de meeste partijen daalt de armoede, hoewel ook daar de mate waarin verschilt.",L,0.5,L,N
643,ab2450cfe315a130de5d24e7577bbb2a9eb23320161ca6b9a168a940-12-JA21,Economic,"GroenLinks-PvdA, ChristenUnie en Volt kiezen er het meest voor om de inkomensverschillen te verkleinen.Bij het CDA en de SGP verandert de inkomensverdeling ten opzichte van al eerder genomen maatregelen niet wezenlijk en bij **JA21** gaan de laagste inkomens er relatief wat op achteruit.Bij de meeste partijen daalt de armoede, hoewel ook daar de mate waarin verschilt.",R,1,R,R
643,ab2450cfe315a130de5d24e7577bbb2a9eb23320161ca6b9a168a940-12-SGP,Economic,"GroenLinks-PvdA, ChristenUnie en Volt kiezen er het meest voor om de inkomensverschillen te verkleinen.Bij het CDA en de **SGP** verandert de inkomensverdeling ten opzichte van al eerder genomen maatregelen niet wezenlijk en bij JA21 gaan de laagste inkomens er relatief wat op achteruit.Bij de meeste partijen daalt de armoede, hoewel ook daar de mate waarin verschilt.",N,1,N,N
643,ab2450cfe315a130de5d24e7577bbb2a9eb23320161ca6b9a168a940-15-VVD,Economic,"Het is voor het eerst dat het Planbureau de gevolgen van de maatregelen voor de armoede heeft uitgerekend.Volgens de CPB-berekening verhoogt de **VVD** het minimumloon met 5 procent en komt het in 2028 uit op 16,72 euro per uur.Linkse partijen komen vaak rond de 18 euro uit.",L,1,L,L
643,ab2450cfe315a130de5d24e7577bbb2a9eb23320161ca6b9a168a940-20-CU,Economic,"Per saldo verlagenGroenLinks-PvdA en **ChristenUnie** de lasten voor gezinnen het meest.De VVD, D66, JA21 en de SGP verlagen die lasten ook.",N,1,N,N
643,ab2450cfe315a130de5d24e7577bbb2a9eb23320161ca6b9a168a940-20-GL/PvdA,Economic,"Per saldo verlagen**GroenLinks-PvdA** en ChristenUnie de lasten voor gezinnen het meest.De VVD, D66, JA21 en de SGP verlagen die lasten ook.",N,1,N,N
643,ab2450cfe315a130de5d24e7577bbb2a9eb23320161ca6b9a168a940-21-JA21,Economic,"GroenLinks-PvdA en ChristenUnie de lasten voor gezinnen het meest.De VVD, D66, **JA21** en de SGP verlagen die lasten ook.En bij bijna alle partijen nemen de lasten voor bedrijven toe.",N,1,N,N
643,ab2450cfe315a130de5d24e7577bbb2a9eb23320161ca6b9a168a940-21-SGP,Economic,"GroenLinks-PvdA en ChristenUnie de lasten voor gezinnen het meest.De VVD, D66, JA21 en de **SGP** verlagen die lasten ook.En bij bijna alle partijen nemen de lasten voor bedrijven toe.",N,1,N,N
643,ab2450cfe315a130de5d24e7577bbb2a9eb23320161ca6b9a168a940-21-VVD,Economic,"GroenLinks-PvdA en ChristenUnie de lasten voor gezinnen het meest.De **VVD**, D66, JA21 en de SGP verlagen die lasten ook.En bij bijna alle partijen nemen de lasten voor bedrijven toe.",N,1,N,N
643,ab2450cfe315a130de5d24e7577bbb2a9eb23320161ca6b9a168a940-23-JA21,Economic,"En bij bijna alle partijen nemen de lasten voor bedrijven toe.Alleen Volt en in iets mindere mate **JA21** verlagen die.Bij GroenLinks-PvdA nemen zowel de overheidsbestedingen als de consumptie van huishoudens toe, waardoor de economie licht groeit.",R,1,R,R
643,ab2450cfe315a130de5d24e7577bbb2a9eb23320161ca6b9a168a940-23-Volt,Economic,"En bij bijna alle partijen nemen de lasten voor bedrijven toe.Alleen **Volt** en in iets mindere mate JA21 verlagen die.Bij GroenLinks-PvdA nemen zowel de overheidsbestedingen als de consumptie van huishoudens toe, waardoor de economie licht groeit.",R,1,R,R
643,ab2450cfe315a130de5d24e7577bbb2a9eb23320161ca6b9a168a940-25-JA21,Economic,"Bij GroenLinks-PvdA nemen zowel de overheidsbestedingen als de consumptie van huishoudens toe, waardoor de economie licht groeit.Andere partijen met een positief effect op de economische groei zijn VVD, Volt en **JA21**.Geen stemwijzer",N,1,N,N
643,ab2450cfe315a130de5d24e7577bbb2a9eb23320161ca6b9a168a940-25-Volt,Economic,"Bij GroenLinks-PvdA nemen zowel de overheidsbestedingen als de consumptie van huishoudens toe, waardoor de economie licht groeit.Andere partijen met een positief effect op de economische groei zijn VVD, **Volt** en JA21.Geen stemwijzer",N,1,N,N
643,b1ff7a34d907cef1e6aaa9917aecbd53bc91bf29994fb0c132c9f481-39-NSC,Economic,19:24**Omtzigt**:ons eerste miljard gaat naar mensen onder bestaansminimum,L,1,L,L
643,b1ff7a34d907cef1e6aaa9917aecbd53bc91bf29994fb0c132c9f481-42-Overig,Economic,Bij het radioprogrammaDit is de dag Verkiezingscafé sprak **lijsttrekker** Pieter Omtzigt met mensen uit het publiek die uitlegden dat het belasting- en toeslagenstelsel zo ingewikkeld in elkaar zit dat sommige mensen netto nog onder bijstandsniveau uitkomen.Omtzigt erkent dat dit een van de grootste problemen is op zijn politieke agenda.,L,0.5,N,L
643,b1ff7a34d907cef1e6aaa9917aecbd53bc91bf29994fb0c132c9f481-44-NSC,Economic,"Omtzigt erkent dat dit een van de grootste problemen is op zijn politieke agenda.Op een vraag van presentator Tijs van den Brink waar hij zijn eerste miljard aan zou besteden antwoordde **Omtzigt**:""Daaraan, het opheffen van de situatie dat mensen onder het bestaansminimum zakken.""",L,1,L,L
643,b1ff7a34d907cef1e6aaa9917aecbd53bc91bf29994fb0c132c9f481-46-NSC,Economic,"""Daaraan, het opheffen van de situatie dat mensen onder het bestaansminimum zakken.""**Omtzigt** gaf geen antwoord op de vraag of hij premier wil worden.""Ik heb gelezen dat 85 procent van de kiezers dat ook niet belangrijk vindt.""",L,0.5,L,N
643,b1ff7a34d907cef1e6aaa9917aecbd53bc91bf29994fb0c132c9f481-55-NSC,Economic,"""We zullen het wel nader toelichten in de komende debatten"", zegt Omtzigt.**NSC** liet zijn verkiezingsprogramma niet doorrekenen door het Centraal Planbureau (CPB).Er was geen tijd voor en Omtzigt heeft veel bezwaren tegen de economische modellen die het CPB gebruikt.",N,1,N,N
643,b1ff7a34d907cef1e6aaa9917aecbd53bc91bf29994fb0c132c9f481-57-Overig,Economic,"Er was geen tijd voor en Omtzigt heeft veel bezwaren tegen de economische modellen die het CPB gebruikt.Die opstelling kwam hem in het RTL-debat van afgelopen zondag op felle kritiek te staan van **VVD-lijsttrekker** Dilan Yesilgöz.Zij vond dat het programma van NSC daarmee ""een menukaart zonder prijzen"" is.",N,1,N,N
643,bd44194cc3510d2b76197de6fe4f6a4457ebcecf4415ddb7fbc973c5-24-Overig,Economic,"Aanbevelingen**Minister** Van Gennip zou de aanbevelingen van de commissie Borstlap ter harte nemen, maar heeft het niet gedaan.Een van de aanbevelingen was dat de loondoorbetaling bij ziekte van werknemers van twee jaar teruggebracht zou worden naar één jaar.",R,1,R,R
643,c399b38d54f9d94014c0eb852194250b3defad7a4e66cd35c5a667db-2-VVD,Economic,"NU+Dit is hoe **VVD**, D66, PvdA-GL en CDA hun plannen willen betalen""De doorrekening zorgt ervoor dat politieke partijen hun plannen concreet maken en legt iedereen langs dezelfde meetlat"", schrijft het CPB.",N,1,N,N
643,c399b38d54f9d94014c0eb852194250b3defad7a4e66cd35c5a667db-24-VVD,Economic,Bedrijven gaan wel meer betalen door hogere belastingen op klimaat en milieu.Met de **VVD-plannen** daalt het aandeel mensen in de armoede tot ruim 5 procent van de bevolking.Ook de armoede onder kinderen daalt: tot ruim 6 procent.,L,1,L,L
643,c399b38d54f9d94014c0eb852194250b3defad7a4e66cd35c5a667db-27-VVD,Economic,Dat komt vooral door de verhoging van het kindgebonden budget.De koopkracht stijgt met de **VVD-plannen** een klein beetje.Mensen met een laag inkomen en mensen met een uitkering merken daar het meest van.,L,1,L,L
643,c399b38d54f9d94014c0eb852194250b3defad7a4e66cd35c5a667db-31-D66,Economic,"De economie groeit een klein beetje (0,2 procent per jaar) en de overheidsschuld daalt iets (0,8 procent in 2028).De maatregelen die **D66** in de komende vier jaar voor ogen heeft, zorgen ervoor dat de overheidsuitgaven in 2028 met 15,6 miljard euro stijgen.De partij maakt vooral extra geld vrij voor sociale zekerheid, het openbaar bestuur, onderwijs, bereikbaarheid en defensie.",L,1,L,L
643,c399b38d54f9d94014c0eb852194250b3defad7a4e66cd35c5a667db-36-D66,Economic,"Gezinnen krijgen door een stelselwijziging te maken met een lastenverlichting op het gebied van inkomen en arbeid, maar tegelijkertijd worden de lasten op het gebied van vermogen en winst verhoogd.**D66** maakt 3,9 miljard euro vrij voor sociale zekerheid, door de kinderbijslag en het kindgebonden budget te vervangen door een nieuwe regeling met een hoger bedrag.Ook verhoogt",L,1,L,L
643,c399b38d54f9d94014c0eb852194250b3defad7a4e66cd35c5a667db-38-D66,Economic,"Ook verhoogt**D66** het wettelijk minimumloon met 10 procent.Naar het onderwijs gaat 3,7 miljard euro meer.",L,1,L,L
643,c399b38d54f9d94014c0eb852194250b3defad7a4e66cd35c5a667db-48-GL/PvdA,Economic,Dat is ruim binnen de marges van de EU-regels.De linkse fusiefractie van **PvdA-GroenLinks** nivelleert in haar plannen.Lage inkomens en middeninkomens krijgen een lastenverlichting en de hoogste inkomens en bedrijven gaan juist meer betalen.,L,1,L,L
643,c399b38d54f9d94014c0eb852194250b3defad7a4e66cd35c5a667db-52-GL/PvdA,Economic,"Verreweg het hoogst van alle partijen die hun programma hebben laten doorrekenen.In totaal geeft **PvdA-GL** maar liefst een kleine 20 miljard euro meer uit.Toch blijven de overheidsfinanciën in balans, doordat de economie ermee wordt gestimuleerd.",N,1,N,N
643,c399b38d54f9d94014c0eb852194250b3defad7a4e66cd35c5a667db-7-VVD,Economic,Hieronder een overzicht van de partijen die dat wel deden.De **VVD** wil als enige van de partijen die hun programma hebben laten doorrekenen bezuinigen.De overheid moet in totaal een kleine 10 miljard euro minder uitgeven.,N,0.5,N,R
643,c399b38d54f9d94014c0eb852194250b3defad7a4e66cd35c5a667db-70-CDA,Economic,"Dat komt vooral door een hogere belastingkorting, een hoger minimumloon, lagere inkomstenbelasting en een verhoging van de kinderbijslag.Het **CDA** maakt de komende vier jaar vooral extra geld vrij voor de zorg en defensie.De christendemocraten willen verder bezuinigen op de sociale zekerheid en onderwijs.",N,0.5,N,R
643,c399b38d54f9d94014c0eb852194250b3defad7a4e66cd35c5a667db-73-CDA,Economic,"Het pakket aan maatregelen zorgt ervoor dat de overheidsuitgaven per saldo ongewijzigd blijven, terwijl de lasten met 5,3 miljard euro stijgen.Het **CDA** bezuinigt 1 miljard euro op de sociale zekerheid.Dat is terug te zien in een verlaging van de zorgtoeslag en de inkomensafhankelijke bijdrage van de kinderopvang.",R,1,R,R
643,c399b38d54f9d94014c0eb852194250b3defad7a4e66cd35c5a667db-82-CDA,Economic,"Bedrijven krijgen te maken met een lastenverhoging van 1,9 miljard euro.Verder komt er 2,3 miljard euro vrij doordat het **CDA** de vrijstelling in de dividendbelasting voor de inkoop van eigen aandelen afschaft en de partij de vliegbelasting uitbreidt.De maatregelen van het CDA leiden tot een gemiddelde stijging van de koopkracht met 0,1 procent per jaar.",L,1,L,L
643,c636e01d9bf7c7c2f99dce1e173ead7f8df87de66022a0d7846f6be7-8-VVD,Economic,"Het grote publiek misbruikt die affaire weliswaar als een stok om het eigen misnoegen te uiten, maar écht boeien doet het vrijwel niemand;dat Nederlanders weinig geven om mensen aan de onderkant had en heeft de **VVD** goed gezien.Nee, Omtzigt is vooral populair omdat hij de underdog is.",N,1,N,N
643,c636e01d9bf7c7c2f99dce1e173ead7f8df87de66022a0d7846f6be7-9-NSC,Economic,"dat Nederlanders weinig geven om mensen aan de onderkant had en heeft de VVD goed gezien.Nee, **Omtzigt** is vooral populair omdat hij de underdog is.Zeker twintig van zijn virtuele zetels zijn te danken aan 'functie elders', een afwijzing waarin sommige Nederlanders zich gretig herkennen.",N,1,N,N
643,d310f85f872648111b069ac77f166213cdca0146171fd55b49c3c91c-14-NSC,Economic,"Hij benadrukt dat GroenLinks-PvdA de klimaatambities haalt en tegelijk de bestaanszekerheid versterkt en roept NSC-leider Omtzigt op alsnog berekeningen te laten maken.Maar **NSC** is niet van plan zelf nog met een nader financieel lijstje te komen, laat kandidaat-Kamerlid Van Hijum desgevraagd weten.De partij is wel bereid antwoord te geven op specifieke vragen.",N,1,N,N
643,d310f85f872648111b069ac77f166213cdca0146171fd55b49c3c91c-14-Overig,Economic,"Hij benadrukt dat GroenLinks-PvdA de klimaatambities haalt en tegelijk de bestaanszekerheid versterkt en roept NSC-leider Omtzigt op alsnog berekeningen te laten maken.Maar NSC is niet van plan zelf nog met een nader financieel lijstje te komen, laat **kandidaat-Kamerlid** Van Hijum desgevraagd weten.De partij is wel bereid antwoord te geven op specifieke vragen.",N,1,N,N
